STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
KY,2010-01-01,-1.337179487179487,0.834375,76.15418138165444,-6.294936708860759,3.7177215189873416,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0
KY,2010-01-02,-6.653703703703704,0.0779487179487179,71.45519898203504,-10.312048192771083,-2.993827160493827,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0
KY,2010-01-03,-9.353048780487804,0.0252577319587628,71.06610636995927,-13.554878048780488,-5.151219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
KY,2010-01-04,-8.333734939759037,0.072020725388601,72.47803532451721,-12.266265060240965,-4.401204819277108,3.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0
KY,2010-01-05,-7.635365853658537,0.2444444444444444,72.97553526611871,-11.015853658536583,-4.297590361445783,5.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0
KY,2010-01-06,-7.748148148148148,0.0595959595959596,74.41735969282747,-11.142168674698794,-4.407407407407407,5.0,0.0,0.0,1.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0
KY,2010-01-07,-6.946428571428571,0.816923076923077,82.95438904901788,-10.773809523809524,-3.095294117647059,10.0,2.0,0.0,1.0,0.0,0.0,2.0,7.0,1.0,0.0,0.0,6.0,0.0,0.0,7.0,1.0,7.0,3.0,0.0,4.0
KY,2010-01-08,-9.06941176470588,2.654822335025381,76.45637005922647,-13.235294117647058,-4.903529411764706,7.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,1.0,0.0,0.0
KY,2010-01-09,-9.523456790123456,0.4724489795918368,82.40868104920594,-12.162962962962965,-6.853658536585366,7.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0
KY,2010-01-10,-8.82469135802469,0.1161458333333333,77.61731805119177,-13.058024691358025,-4.591358024691358,5.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0
KY,2010-01-11,-7.139285714285715,0.0113989637305699,73.09525591330062,-12.157142857142858,-2.1214285714285714,7.0,0.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,4.0,1.0,1.0,5.0,1.0,7.0,0.0,0.0,0.0
KY,2010-01-12,-4.308928571428571,0.0869346733668341,80.0771956919554,-8.5,-0.1178571428571428,8.0,0.0,0.0,1.0,0.0,7.0,4.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0
KY,2010-01-13,-5.102352941176471,0.0671717171717171,76.02945467923435,-11.010588235294115,0.8058823529411765,9.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
