STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MI,2010-01-01,-6.012745098039216,1.5190184049079754,80.14621829019497,-9.756372549019607,-2.2551219512195124,17.0,2.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,11.0,1.0,0.0,0.0
MI,2010-01-02,-11.88840579710145,1.2137614678899082,76.01232780559013,-16.20048309178744,-7.561057692307693,4.0,1.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,2.0,3.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,0.0
MI,2010-01-03,-13.13485576923077,0.6321212121212121,79.15503900762684,-16.920574162679426,-9.348076923076924,7.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,12.0,1.0,0.0,0.0
MI,2010-01-04,-8.768075117370891,0.9502976190476192,82.88497944279406,-11.708920187793428,-5.827230046948357,16.0,0.0,0.0,0.0,1.0,1.0,2.0,13.0,0.0,0.0,1.0,7.0,0.0,0.0,10.0,1.0,12.0,1.0,0.0,0.0
MI,2010-01-05,-5.813380281690141,0.7690751445086705,85.12225237416942,-7.313145539906103,-4.313615023474179,20.0,0.0,0.0,1.0,0.0,13.0,1.0,13.0,0.0,0.0,0.0,9.0,3.0,3.0,10.0,0.0,12.0,0.0,0.0,0.0
MI,2010-01-06,-4.933254716981132,0.3459770114942528,85.57128065094233,-6.485446009389672,-3.39245283018868,17.0,0.0,0.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1.0,7.0,0.0,0.0,0.0
MI,2010-01-07,-5.273584905660377,0.9202898550724636,87.93424929400057,-7.160849056603773,-3.386320754716981,24.0,13.0,0.0,2.0,0.0,9.0,1.0,11.0,3.0,0.0,0.0,9.0,3.0,2.0,7.0,0.0,10.0,0.0,0.0,5.0
MI,2010-01-08,-6.895990566037736,4.736467236467236,84.24800849401299,-9.519811320754718,-4.272169811320755,23.0,1.0,0.0,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0
MI,2010-01-09,-10.236778846153848,0.2021341463414634,78.02458320717379,-14.898564593301437,-5.607692307692308,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
MI,2010-01-10,-9.996875,0.0489361702127659,77.76400297602476,-15.675961538461538,-4.317788461538462,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
MI,2010-01-11,-6.977751196172249,1.7622754491017965,80.77311763611927,-10.95885167464115,-2.992857142857143,21.0,1.0,0.0,1.0,0.0,0.0,3.0,21.0,1.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,2.0
MI,2010-01-12,-7.464832535885168,0.972434017595308,83.8182412292678,-11.36842105263158,-3.561244019138756,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,0.0
MI,2010-01-13,-5.353791469194313,0.0220930232558139,82.3117778401993,-9.317061611374408,-1.3919811320754718,10.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MI,2010-01-14,-2.183333333333333,0.0258823529411764,84.12391560180295,-5.931428571428571,1.5608490566037734,25.0,0.0,0.0,0.0,1.0,1.0,6.0,18.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0
MI,2010-01-15,-0.244047619047619,0.0626086956521739,86.0657105300391,-3.143809523809524,2.655714285714286,29.0,0.0,0.0,0.0,0.0,6.0,3.0,13.0,0.0,0.0,0.0,9.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0
MI,2010-01-16,-0.6346153846153846,0.023262839879154,86.04037638689786,-3.2024038461538464,1.933173076923077,30.0,1.0,0.0,0.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MI,2010-01-17,-1.7294685990338163,0.0345454545454545,90.66033218576246,-5.365217391304348,1.906280193236715,59.0,7.0,0.0,0.0,0.0,0.0,6.0,17.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
MI,2010-01-18,-1.9956937799043064,0.0417159763313609,91.85540023217484,-5.242105263157894,1.2507177033492822,60.0,8.0,0.0,0.0,0.0,1.0,2.0,9.0,1.0,0.0,0.0,11.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,2.0
MI,2010-01-19,-1.7284688995215312,0.3183139534883721,86.51266239213481,-4.214354066985646,0.7574162679425838,32.0,0.0,0.0,0.0,0.0,5.0,2.0,13.0,0.0,0.0,0.0,11.0,1.0,1.0,6.0,0.0,7.0,1.0,0.0,0.0
MI,2010-01-20,-4.735071090047393,0.1104347826086956,80.16201935366882,-8.771090047393365,-0.6990521327014217,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
MI,2010-01-21,-5.251408450704226,0.0026239067055393,82.73534742787027,-9.732394366197184,-0.7704225352112676,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MI,2010-01-22,-2.867535545023697,0.0008849557522123,83.0806589119424,-6.811848341232228,1.0768867924528305,12.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
MI,2010-01-23,-1.0654589371980676,0.0447852760736196,86.81216032952173,-4.368599033816425,2.2376811594202897,19.0,1.0,1.0,0.0,0.0,2.0,2.0,8.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
