STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MO,2010-01-01,-7.19968152866242,0.0398720682302771,75.67995982999946,-12.632278481012658,-1.743312101910828,5.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0
MO,2010-01-02,-10.957278481012658,0.1607296137339056,73.29115908153109,-16.453416149068325,-5.475316455696203,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0
MO,2010-01-03,-12.099386503067484,1.9723542116630668,74.82411306402354,-15.829447852760737,-8.369325153374234,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0
MO,2010-01-04,-12.676993865030674,0.9512931034482758,71.3856364423619,-17.35090909090909,-8.062576687116565,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,2010-01-05,-13.714545454545457,0.0150105708245243,64.53049928643088,-18.895151515151515,-8.533939393939393,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MO,2010-01-06,-11.834638554216868,0.4371549893842887,66.10230851284119,-17.416867469879517,-6.255089820359281,16.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,5.0,1.0,0.0,6.0,1.0,8.0,1.0,0.0,3.0
MO,2010-01-07,-10.105120481927711,5.163419913419913,77.88948149479499,-14.89698795180723,-5.313253012048193,16.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,5.0,0.0,0.0,2.0,0.0,0.0,7.0,2.0,8.0,1.0,0.0,2.0
MO,2010-01-08,-13.596646341463414,0.1565874730021598,73.86135248699928,-17.053333333333335,-10.134146341463415,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,2.0,0.0,0.0
MO,2010-01-09,-14.625465838509315,0.0577586206896551,75.20766594498998,-18.22608695652174,-11.024844720496894,6.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0
MO,2010-01-10,-14.060493827160496,0.0085152838427947,73.95019244007982,-20.80864197530864,-7.312345679012346,7.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
MO,2010-01-11,-8.757407407407408,0.0049356223175965,67.47746234247663,-16.039877300613497,-1.534355828220859,8.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
MO,2010-01-12,-5.472754491017964,0.001713062098501,82.93410305323458,-11.45568862275449,0.5101796407185629,19.0,6.0,0.0,1.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0
MO,2010-01-13,-4.241212121212121,0.0088362068965517,73.38607807929769,-10.204242424242423,1.721818181818182,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2010-01-14,2.344311377245509,0.0006451612903225,75.05776623773022,-4.173053892215568,8.861676646706588,15.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
MO,2010-01-15,4.025449101796407,0.0492505353319057,91.49978752211592,-0.0724550898203592,8.123353293413173,51.0,15.0,0.0,0.0,0.0,2.0,1.0,7.0,3.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
MO,2010-01-16,2.5695783132530123,0.3084598698481561,92.55726447422435,-0.0879518072289156,5.22710843373494,54.0,15.0,0.0,0.0,1.0,2.0,1.0,10.0,3.0,0.0,1.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0
MO,2010-01-17,3.041717791411043,0.5396017699115044,93.01986258367894,-0.4423312883435583,6.5257668711656445,57.0,16.0,0.0,0.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
MO,2010-01-18,2.9826219512195125,0.023695652173913,91.48472712237891,-0.9792682926829268,6.944512195121952,64.0,16.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,6.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
MO,2010-01-19,4.465243902439024,0.2293991416309013,89.43117047128983,0.0466666666666666,8.883536585365855,44.0,12.0,1.0,1.0,3.0,2.0,1.0,8.0,4.0,0.0,0.0,6.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
MO,2010-01-20,6.360416666666667,4.908350305498982,89.1567070050005,2.7470238095238093,9.973809523809525,38.0,15.0,7.0,0.0,3.0,3.0,0.0,3.0,4.0,0.0,0.0,6.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
MO,2010-01-21,6.463988095238095,7.826229508196721,94.00193354601645,3.244047619047619,9.683928571428572,42.0,9.0,12.0,1.0,4.0,1.0,0.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0
MO,2010-01-22,3.971893491124261,4.373291925465839,93.94698491841692,1.5650887573964498,6.378698224852071,43.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2010-01-23,5.031172839506173,1.723454157782516,91.11641124577284,2.4699386503067484,7.577160493827161,29.0,2.0,4.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
MO,2010-01-24,5.798757763975155,18.91758691206544,83.90713448286273,2.2857142857142856,9.311801242236026,24.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0
MO,2010-01-25,1.4824242424242424,0.4132911392405063,67.396272206051,-2.193939393939394,5.158787878787879,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0
MO,2010-01-26,-2.710843373493976,0.0871848739495798,64.46202892112954,-6.096407185628743,0.6614457831325301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0
MO,2010-01-27,-2.4153614457831325,0.0661052631578947,76.91319796490072,-6.404819277108434,1.5740963855421688,7.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,3.0,1.0,0.0,0.0
MO,2010-01-28,-2.782831325301205,0.4447537473233404,68.63336810388344,-7.609036144578313,2.1053571428571427,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MO,2010-01-29,-6.13502994011976,1.7676789587852495,69.61756287271517,-9.011976047904191,-3.2580838323353296,11.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,2.0,8.0,1.0,0.0,2.0
MO,2010-01-30,-7.21335403726708,6.696061269146608,71.23278867498092,-10.388271604938272,-4.032298136645963,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
MO,2010-01-31,-5.738141025641026,0.1111597374179431,73.88118535094463,-12.04267515923567,0.5403846153846154,12.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
MO,2010-02-01,-3.065454545454545,0.1323340471092077,74.81686556805435,-9.236969696969696,3.106060606060606,13.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
MO,2010-02-02,-1.0545454545454545,0.1345415778251599,76.69948069451412,-5.498181818181818,3.389090909090909,16.0,1.0,0.0,0.0,0.0,1.0,4.0,15.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
MO,2010-02-03,-2.351506024096386,0.0664529914529914,74.1161653174016,-7.895783132530121,3.1927710843373496,24.0,2.0,0.0,0.0,0.0,0.0,4.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,2010-02-04,-0.9009146341463414,0.463771186440678,73.99837746433263,-5.716463414634147,3.941212121212121,19.0,0.0,1.0,6.0,3.0,0.0,4.0,15.0,0.0,0.0,1.0,3.0,1.0,0.0,8.0,3.0,6.0,1.0,0.0,0.0
MO,2010-02-05,0.6590909090909091,6.685867237687367,93.1958495985801,-0.8843373493975905,2.207878787878788,26.0,7.0,1.0,14.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,7.0,2.0,8.0,1.0,0.0,1.0
MO,2010-02-06,0.1165644171779141,6.232679738562091,86.41821653402837,-1.2883435582822085,1.521472392638037,18.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
MO,2010-02-07,-1.443558282208589,0.1991111111111111,81.0468980085546,-4.506748466257669,1.6196319018404908,11.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0
MO,2010-02-08,-1.849074074074074,3.0454545454545454,88.21592431058572,-5.087037037037037,1.3803680981595092,19.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,2.0,8.0,2.0,0.0,1.0
MO,2010-02-09,-7.325903614457831,4.068669527896995,77.14817174806113,-14.234939759036145,-0.4168674698795181,11.0,0.0,0.0,1.0,0.0,1.0,2.0,11.0,1.0,1.0,0.0,5.0,0.0,0.0,5.0,0.0,8.0,3.0,0.0,0.0
MO,2010-02-10,-7.748181818181818,0.1764957264957264,75.05790780921468,-12.833939393939394,-2.6624242424242426,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0
MO,2010-02-11,-5.950898203592814,0.0463157894736842,78.07467262628735,-11.403592814371258,-0.4720238095238095,10.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0
MO,2010-02-12,-2.932738095238096,0.238004246284501,80.48662616714454,-7.261904761904762,1.3964285714285714,17.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,1.0
MO,2010-02-13,-0.7672727272727272,0.0523706896551724,81.5859459937058,-4.676363636363637,3.1418181818181816,26.0,6.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0
MO,2010-02-14,-0.9849693251533744,0.5767391304347826,79.0418201519063,-5.474846625766871,3.5049079754601222,23.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,0.0,0.0,0.0,3.0,1.0,1.0,7.0,3.0,8.0,3.0,0.0,0.0
MO,2010-02-15,-5.282208588957055,1.002771855010661,75.9757902763084,-9.076687116564417,-1.487730061349693,10.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0
MO,2010-02-16,-5.425,0.2339055793991416,74.01259917213825,-8.290123456790123,-2.544171779141104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
MO,2010-02-17,-3.944242424242424,0.0,63.22726709739792,-8.592727272727272,0.7042424242424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2010-02-18,-1.619277108433735,0.0047817047817047,52.46250479067561,-8.418072289156626,5.179518072289157,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
