STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
PA,2010-01-01,-1.2617424242424242,3.753488372093023,86.94348744833108,-3.884090909090909,1.3606060606060606,34.0,5.0,0.0,1.0,1.0,7.0,2.0,17.0,0.0,0.0,8.0,2.0,1.0,6.0,0.0,7.0,2.0,0.0,3.0
PA,2010-01-02,-4.900751879699248,0.814,65.49193605095701,-9.069172932330828,-0.7323308270676692,8.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,2.0,0.0,0.0,4.0,1.0,5.0,2.0,0.0,1.0
PA,2010-01-03,-9.106439393939391,0.5392739273927393,65.28919891367237,-11.659090909090908,-6.553787878787879,7.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,3.0,1.0,0.0,0.0,8.0,1.0,9.0,3.0,0.0,2.0
PA,2010-01-04,-8.133082706766917,0.9262987012987012,71.10051120804685,-10.307518796992484,-5.951492537313433,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,6.0,0.0,9.0,1.0,0.0,0.0
PA,2010-01-05,-6.458646616541353,0.5983766233766233,71.75500545430043,-8.563157894736843,-4.3541353383458645,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,8.0,1.0,0.0,1.0
PA,2010-01-06,-4.740977443609022,1.0324921135646687,74.85949974426897,-6.690225563909774,-2.791729323308271,14.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,7.0,1.0,9.0,3.0,0.0,0.0
PA,2010-01-07,-3.3973880597014925,0.4085714285714285,73.25505161058543,-5.11865671641791,-1.6761194029850746,13.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,1.0,4.0,1.0,1.0,6.0,0.0,7.0,1.0,0.0,0.0
PA,2010-01-08,-4.8432330827067664,2.406472491909385,80.49980354371785,-7.313533834586466,-2.372932330827068,24.0,7.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,0.0,9.0,0.0,0.0,8.0,1.0,9.0,2.0,0.0,2.0
PA,2010-01-09,-7.560227272727273,0.9933554817275748,65.75188728606621,-10.945454545454544,-4.175,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,2.0,0.0,0.0
PA,2010-01-10,-10.389015151515151,0.1644951140065146,65.0133461564812,-16.278030303030302,-4.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0
PA,2010-01-11,-9.498872180451126,0.0853420195439739,67.01908772523659,-14.908270676691728,-4.089473684210526,13.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,1.0
PA,2010-01-12,-6.330681818181818,0.3147909967845659,72.03065644887468,-9.78939393939394,-2.871969696969697,11.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0
PA,2010-01-13,-4.713636363636364,0.1182108626198083,68.36231205333658,-7.722727272727273,-1.7045454545454546,9.0,1.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
PA,2010-01-14,-3.162781954887218,0.0586538461538461,62.78065247482292,-8.551127819548872,2.225563909774436,8.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2010-01-15,-0.0977611940298507,0.0188311688311688,65.14093729194462,-6.644029850746269,6.448507462686568,12.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2010-01-16,2.820075757575758,0.016554054054054,72.26253102157877,-0.956060606060606,6.596212121212122,23.0,3.0,0.0,0.0,0.0,1.0,1.0,14.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
PA,2010-01-17,2.196946564885496,3.306418918918919,91.50861011156512,-2.1938931297709923,6.587786259541985,45.0,8.0,0.0,1.0,6.0,1.0,0.0,10.0,3.0,0.0,9.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,2.0
PA,2010-01-18,2.2916666666666665,13.457006369426752,86.33611973870393,-0.7575757575757576,5.340909090909091,42.0,7.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,8.0,1.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0
PA,2010-01-19,2.284210526315789,0.4468852459016393,86.68463756628095,-1.4015037593984965,5.969924812030075,36.0,8.0,0.0,0.0,1.0,2.0,3.0,15.0,1.0,0.0,7.0,1.0,1.0,7.0,1.0,3.0,2.0,0.0,1.0
PA,2010-01-20,-0.4293233082706766,0.2176282051282051,69.8170556398767,-3.581203007518797,2.722556390977444,4.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
PA,2010-01-21,-2.628731343283582,0.0594249201277955,68.96149649783432,-7.567164179104478,2.3097014925373136,6.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
PA,2010-01-22,-1.019318181818182,1.0907643312101911,69.31361039807017,-5.808333333333334,3.7696969696969695,10.0,0.0,0.0,12.0,4.0,12.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,5.0,2.0,1.0,3.0,0.0,0.0
PA,2010-01-23,-0.9523076923076924,0.1558528428093645,63.68223111152616,-6.156153846153845,4.251538461538462,9.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PA,2010-01-24,1.7446564885496183,2.0595317725752507,78.42195647019022,-3.870229007633588,7.359541984732824,28.0,1.0,0.0,0.0,7.0,1.0,1.0,8.0,0.0,0.0,6.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0
PA,2010-01-25,6.74589552238806,30.458385093167703,87.85571354021556,1.0955223880597016,12.396268656716416,43.0,3.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,9.0,8.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0
PA,2010-01-26,3.193984962406016,11.369444444444444,67.57277731791388,-2.180451127819549,8.568421052631578,10.0,1.0,0.0,0.0,2.0,1.0,0.0,7.0,1.0,1.0,4.0,1.0,0.0,7.0,0.0,7.0,2.0,0.0,2.0
