STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
WI,2010-01-01,-11.737165775401069,0.1947552447552447,75.9625885740758,-16.292513368983958,-7.181818181818182,7.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0
WI,2010-01-02,-16.676612903225806,0.1145390070921985,72.67933303489751,-22.94224598930481,-10.420744680851064,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WI,2010-01-03,-18.2425925925926,0.0289198606271777,75.59337771305306,-23.30368421052632,-13.187301587301588,6.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
WI,2010-01-04,-14.240263157894738,0.0329861111111111,77.28940415340017,-18.407894736842103,-10.072631578947368,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
WI,2010-01-05,-11.874603174603177,0.0206779661016949,75.60715208643363,-16.08730158730159,-7.663350785340314,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
WI,2010-01-06,-11.33842105263158,0.0324137931034482,78.48706393252384,-16.544736842105262,-6.132105263157894,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0
WI,2010-01-07,-9.315,2.746938775510204,86.60724630402547,-13.079473684210528,-5.550526315789473,19.0,8.0,0.0,2.0,0.0,2.0,0.0,12.0,1.0,0.0,7.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,5.0
WI,2010-01-08,-9.239947089947089,4.554325259515571,76.52593364172634,-13.01851851851852,-5.461375661375661,9.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0
WI,2010-01-09,-13.862096774193548,0.0184397163120567,77.38328817010235,-19.63368983957219,-8.098387096774193,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
WI,2010-01-10,-14.01084656084656,0.0109540636042402,75.20112960151566,-19.88941798941799,-8.132275132275133,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
