STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22
CO,2011-01-01,0.2910677618069815,74.00650007969182,-24.757583547557843,-11.75655526992288,-18.24483204134367,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2011-01-02,0.3151609553478712,70.44852749522013,-21.656153846153845,-5.203316326530612,-13.429358974358976,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2011-01-03,0.4509605662285136,74.66742652117091,-15.867938931297711,-1.5304347826086957,-8.698721227621483,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2011-01-04,0.0993914807302231,80.53449636444634,-15.812436548223353,-2.1324808184143222,-8.970460358056265,5.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
CO,2011-01-05,0.1420159680638722,73.47649962909831,-14.15470737913486,-0.6160714285714286,-7.385714285714285,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2011-01-06,0.0984863773965691,72.69729446645252,-11.588746803069052,3.3233333333333333,-4.122107969151671,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2011-01-07,0.0381287726358148,75.20919949866897,-9.717091836734694,4.665306122448979,-2.525892857142857,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2011-01-08,0.3358817533129459,80.73215609456547,-10.253452685421994,4.057289002557545,-3.098081841432225,10.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
CO,2011-01-09,1.8607569721115536,86.58579818778959,-13.095652173913043,0.4739130434782609,-6.310869565217391,21.0,4.0,0.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,6.0,3.0,1.0
CO,2011-01-10,5.08544061302682,81.50423334416315,-21.365816326530613,-7.571867007672634,-14.461381074168797,21.0,1.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0
