STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IA,2011-01-01,1.6033898305084744,67.66357801748254,-15.233333333333333,-2.6712121212121214,-8.934090909090909,8.0,2.0,0.0,5.0,0.0,2.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0
IA,2011-01-02,0.0435555555555555,69.83204072388583,-15.25925925925926,-7.302985074626866,-11.271641791044775,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2011-01-03,0.0025751072961373,72.33744470456742,-13.119565217391305,-0.7101449275362319,-6.9148550724637685,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IA,2011-01-04,0.0059322033898305,73.01431804230998,-14.575,-0.0078571428571428,-7.291428571428572,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2011-01-05,0.1940425531914893,76.19379713281191,-13.724460431654675,-2.305755395683453,-8.015107913669064,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IA,2011-01-06,0.0576131687242798,79.52652193415094,-8.055714285714286,0.9521428571428572,-3.5517857142857143,12.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IA,2011-01-07,0.914516129032258,81.26880613715218,-7.793571428571428,-1.894285714285714,-4.843928571428571,9.0,2.0,0.0,1.0,1.0,0.0,9.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0
IA,2011-01-08,0.2466386554621848,70.1140183955259,-15.119852941176472,-4.785294117647059,-9.952573529411763,6.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
IA,2011-01-09,0.1165217391304347,73.37295692808895,-17.19626865671642,-8.249253731343284,-12.72276119402985,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
IA,2011-01-10,3.293801652892562,76.13125538322487,-13.282857142857145,-6.012857142857143,-9.647857142857143,12.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0
IA,2011-01-11,6.84758064516129,83.96474413398376,-11.416428571428572,-4.686428571428571,-8.051428571428572,14.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0
IA,2011-01-12,0.6572033898305084,79.74225930956376,-16.310714285714287,-8.416428571428572,-12.36357142857143,12.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
IA,2011-01-13,0.0047413793103448,80.32450219015928,-20.93,-10.051428571428572,-15.490714285714285,12.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
