STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
IN,2011-01-01,15.555156950672648,76.78129207682468,0.2785046728971962,14.48411214953271,7.381308411214954,15.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
IN,2011-01-02,0.3045130641330166,64.61887566940128,-8.603703703703705,2.6666666666666665,-2.968518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2011-01-03,0.0,66.08497194819535,-8.00909090909091,0.5418181818181819,-3.7336363636363634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2011-01-04,0.0064516129032258,66.18769622753648,-6.339814814814815,3.488888888888889,-1.425462962962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2011-01-05,0.0013698630136986,72.6546848769289,-9.840366972477064,1.26,-4.294495412844037,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2011-01-06,0.0697674418604651,77.58065802766919,-7.849090909090909,0.8645454545454545,-3.492272727272727,8.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
IN,2011-01-07,0.5851415094339623,76.87393540807864,-7.723636363636364,-1.0745454545454545,-4.3990909090909085,13.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
IN,2011-01-08,1.5429629629629629,77.88775387549919,-12.24074074074074,-3.887037037037037,-8.063888888888888,10.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0
IN,2011-01-09,0.5975186104218363,79.25314785978104,-15.005607476635513,-4.846728971962617,-9.926168224299063,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
IN,2011-01-10,0.060048426150121,74.08390721354765,-12.594545454545456,-1.6827272727272726,-7.138636363636364,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IN,2011-01-11,1.513744075829384,81.47368721929918,-7.446788990825689,-1.732727272727273,-4.60045871559633,13.0,10.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
IN,2011-01-12,6.025899280575539,84.14194268597144,-7.496363636363637,-3.4527272727272726,-5.474545454545455,12.0,1.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2011-01-13,0.5681265206812652,82.95648255658436,-11.007272727272726,-4.165454545454545,-7.586363636363636,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2011-01-14,0.0590361445783132,77.92555546573792,-10.377272727272729,-3.617272727272727,-6.997272727272728,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2011-01-15,0.0424552429667519,76.3778821617076,-7.042990654205608,0.762037037037037,-3.1397196261682243,8.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2011-01-16,0.0581047381546134,78.17810352121862,-10.93611111111111,-0.0129629629629629,-5.474537037037037,13.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IN,2011-01-17,0.0792270531400966,76.4899866163454,-11.00091743119266,-1.0394495412844036,-6.020183486238532,15.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
IN,2011-01-18,3.558233890214797,91.03438083923112,-5.6481818181818175,3.750909090909091,-0.9486363636363636,33.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
IN,2011-01-19,1.9453201970443348,84.84027004034299,-3.811009174311927,2.456363636363636,-0.6862385321100917,21.0,0.0,0.0,2.0,0.0,10.0,8.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0
IN,2011-01-20,1.2061425061425062,83.37751461911479,-7.364545454545455,-2.223636363636364,-4.794090909090909,14.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
IN,2011-01-21,3.466666666666667,74.50043389737687,-17.76909090909091,-6.013636363636364,-11.891363636363636,5.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2011-01-22,0.0932114882506527,75.41129337913081,-19.01651376146789,-8.78532110091743,-13.900917431192662,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2011-01-23,0.1360526315789473,73.18858135956769,-15.115596330275228,-5.418348623853211,-10.26697247706422,8.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2011-01-24,0.8965260545905708,80.15763422576036,-11.604545454545455,-2.710909090909091,-7.157727272727273,15.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
IN,2011-01-25,0.2496332518337408,89.30958646049817,-6.915596330275229,1.0581818181818183,-2.9339449541284406,25.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2011-01-26,0.3136585365853658,87.33783233005309,-5.79158878504673,-0.9336448598130842,-3.3626168224299064,23.0,1.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2011-01-27,0.1804938271604938,85.72904349942618,-6.169444444444445,-0.8351851851851853,-3.502314814814815,18.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0
IN,2011-01-28,1.501231527093596,84.58776054167578,-5.66788990825688,-0.2770642201834862,-2.9724770642201834,17.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0
