STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
KY,2011-01-01,13.28217391304348,78.42103176393802,2.7010869565217392,16.491397849462366,9.58641304347826,12.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
KY,2011-01-02,3.720283018867924,65.39322994584444,-5.905434782608695,8.26774193548387,1.1478260869565218,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2011-01-03,0.2047169811320754,63.47214424917458,-8.512500000000001,3.581443298969072,-2.4526315789473685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2011-01-04,0.0,54.11748555983184,-6.414583333333333,6.4505050505050505,0.040625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2011-01-05,0.0013888888888888,66.57367093398685,-7.203061224489796,6.255555555555556,-0.4897959183673469,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KY,2011-01-06,0.0173708920187793,69.31994342186204,-6.247422680412371,4.154639175257732,-1.0463917525773196,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
KY,2011-01-07,0.4160550458715596,79.77003282157459,-4.111340206185568,4.031958762886598,-0.0396907216494845,10.0,2.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0
KY,2011-01-08,2.70377358490566,71.33383827672398,-8.520212765957446,-0.3287234042553191,-4.424468085106383,8.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,3.0
KY,2011-01-09,0.3747524752475247,72.32208135157245,-15.103157894736842,-3.72,-9.41157894736842,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2011-01-10,0.3663461538461539,64.54155096669176,-10.960204081632652,-1.6636363636363636,-6.311734693877551,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
