STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MI,2011-01-01,7.390372670807452,83.16085724827572,-1.8354066985645927,9.083732057416269,3.624162679425837,50.0,7.0,2.0,1.0,1.0,1.0,5.0,0.0,0.0,7.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,1.0
MI,2011-01-02,0.7041139240506329,74.11134819585395,-9.974528301886792,1.7009433962264149,-4.136792452830188,10.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0
MI,2011-01-03,0.3601910828025477,75.98054655283943,-9.888732394366198,-3.444859813084112,-6.664553990610329,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0
MI,2011-01-04,1.3420245398773003,83.36726387772684,-8.893953488372093,-1.4618604651162792,-5.177906976744186,23.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0
MI,2011-01-05,0.6037037037037036,80.90150687167989,-11.955092592592594,-2.713425925925926,-7.33425925925926,21.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
MI,2011-01-06,1.0705329153605017,85.59317040852964,-10.150467289719623,-3.889719626168224,-7.020093457943925,24.0,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,12.0,1.0,0.0,3.0
MI,2011-01-07,1.8903726708074533,81.75181525443489,-11.7,-4.918224299065421,-8.30911214953271,23.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0
MI,2011-01-08,2.8521739130434782,84.0618305357096,-15.337264150943396,-5.791943127962085,-10.561374407582935,21.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0
MI,2011-01-09,0.7188854489164086,81.65041763983808,-15.385446009389671,-4.1773584905660375,-9.780896226415097,11.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0
MI,2011-01-10,0.2566153846153846,83.5344207957787,-15.025352112676057,-2.990566037735849,-9.012028301886792,16.0,5.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
MI,2011-01-11,0.572644376899696,85.34104533183428,-11.549767441860464,-3.188785046728972,-7.37803738317757,23.0,7.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,6.0
MI,2011-01-12,3.430153846153846,83.21302028602634,-8.57196261682243,-3.696261682242991,-6.119718309859155,17.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
MI,2011-01-13,0.835076923076923,82.64293686767611,-10.22570093457944,-4.2372093023255815,-7.229672897196262,24.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
MI,2011-01-14,1.5357142857142858,87.10052801734884,-11.26509433962264,-4.253990610328638,-7.752594339622641,25.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
MI,2011-01-15,3.97515923566879,84.91591849977766,-10.265402843601896,-3.2445497630331754,-6.754976303317536,26.0,3.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,3.0
MI,2011-01-16,0.5685897435897436,75.44214063683224,-14.600471698113209,-5.012264150943396,-9.8063679245283,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0
MI,2011-01-17,0.5032051282051282,79.16145760347257,-15.153023255813954,-6.09906976744186,-10.626046511627909,15.0,2.0,0.0,0.0,0.0,3.0,14.0,0.0,0.0,6.0,1.0,1.0,3.0,3.0,8.0,1.0,0.0,3.0
MI,2011-01-18,4.651692307692308,88.49516461188195,-10.317674418604652,-1.2421296296296296,-5.771162790697674,36.0,3.0,0.0,6.0,0.0,12.0,15.0,0.0,0.0,9.0,1.0,0.0,9.0,3.0,11.0,2.0,0.0,1.0
MI,2011-01-19,0.8334384858044164,82.76249109668878,-12.34279069767442,-3.5079439252336453,-7.926869158878504,21.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0
MI,2011-01-20,0.3953846153846154,84.09119374363101,-14.891666666666666,-6.95,-10.908644859813084,26.0,3.0,0.0,0.0,0.0,0.0,18.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0
MI,2011-01-21,1.9749196141479104,77.63364213000118,-16.083644859813084,-7.512206572769952,-11.796478873239437,11.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
MI,2011-01-22,0.9534426229508196,80.73014322919309,-18.102816901408453,-10.309004739336492,-14.203554502369668,18.0,3.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,3.0
MI,2011-01-23,1.1278688524590164,77.459653625244,-22.94600938967136,-10.328909952606637,-16.658056872037914,10.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MI,2011-01-24,0.4562700964630225,79.46397220281479,-20.399061032863848,-8.231924882629109,-14.334433962264152,27.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,11.0,3.0,3.0,0.0,0.0,12.0,1.0,0.0,1.0
MI,2011-01-25,0.65,88.15967072870698,-10.523364485981308,-3.1083720930232555,-6.817370892018779,28.0,0.0,0.0,0.0,0.0,7.0,19.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0
MI,2011-01-26,0.0679365079365079,85.22604239017518,-5.3345794392523365,-1.961214953271028,-3.647897196261682,23.0,0.0,0.0,0.0,0.0,5.0,18.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
MI,2011-01-27,0.3996865203761755,86.70004926084083,-6.3,-2.2597222222222224,-4.279861111111111,26.0,2.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,9.0,2.0,0.0,3.0,1.0,12.0,0.0,0.0,1.0
MI,2011-01-28,1.667628205128205,84.3007680323736,-7.655399061032863,-2.791588785046729,-5.220892018779343,27.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
MI,2011-01-29,3.205448717948718,85.06689134021977,-9.59951690821256,-3.339903846153846,-6.471014492753623,25.0,1.0,0.0,1.0,0.0,7.0,18.0,0.0,0.0,9.0,2.0,1.0,4.0,3.0,11.0,0.0,0.0,2.0
MI,2011-01-30,0.3380794701986754,81.42314448367974,-12.720754716981132,-4.274407582938388,-8.48957345971564,23.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0
MI,2011-01-31,0.1960912052117263,77.00604823848694,-16.428169014084506,-6.074766355140187,-11.243661971830988,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
MI,2011-02-01,1.962235649546828,78.8481375596665,-13.937037037037037,-7.394930875576037,-10.66388888888889,22.0,5.0,2.0,1.0,0.0,0.0,15.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0
MI,2011-02-02,11.29009009009009,79.25152073057721,-12.518433179723502,-6.087096774193549,-9.302764976958526,23.0,15.0,6.0,5.0,0.0,3.0,10.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,7.0
MI,2011-02-03,1.0738601823708207,71.28424412287602,-16.70140186915888,-4.837383177570094,-10.769392523364486,6.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
MI,2011-02-04,0.0859813084112149,68.96243937268221,-12.962790697674418,-2.770232558139535,-7.866511627906976,5.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0
MI,2011-02-05,0.4929260450160772,77.61314612194253,-9.852582159624411,-1.1859154929577465,-5.519248826291079,19.0,6.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,3.0
MI,2011-02-06,1.9022222222222225,87.25019948213854,-7.741037735849056,-0.780188679245283,-4.26061320754717,26.0,4.0,0.0,0.0,0.0,9.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0
MI,2011-02-07,1.4890282131661443,85.49759710086094,-8.17953488372093,-1.6310185185185186,-4.905116279069767,24.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0
MI,2011-02-08,0.6932098765432099,75.48879430360427,-17.09360730593607,-5.042009132420092,-11.06780821917808,9.0,1.0,0.0,0.0,0.0,1.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0
MI,2011-02-09,0.1966049382716049,73.74323722260543,-16.540639269406395,-7.75068493150685,-12.14566210045662,8.0,2.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,3.0
MI,2011-02-10,0.3018461538461538,72.30590603539547,-19.01454545454545,-8.47181818181818,-13.74318181818182,16.0,1.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0
MI,2011-02-11,0.1328220858895705,73.91807621586854,-19.7054794520548,-6.754337899543379,-13.229908675799086,17.0,1.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
MI,2011-02-12,1.1334375,73.56992043597884,-13.252803738317755,-2.312616822429906,-7.782710280373831,23.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0
MI,2011-02-13,0.5113564668769716,81.20029601022965,-5.915813953488373,2.610697674418605,-1.6525581395348838,14.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,8.0,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0
MI,2011-02-14,0.4335365853658536,74.91226916560616,-4.224423963133641,5.836818181818181,0.8004608294930875,6.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,1.0
MI,2011-02-15,0.0230538922155688,72.08481642793805,-11.473059360730591,2.20365296803653,-4.634703196347032,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0
MI,2011-02-16,0.1118181818181818,77.17423434529998,-6.557407407407408,5.140092165898618,-0.7173611111111112,21.0,1.0,0.0,0.0,0.0,5.0,17.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0
MI,2011-02-17,0.3075528700906344,86.81849018481991,0.5268518518518518,10.212844036697248,5.366898148148148,46.0,4.0,7.0,0.0,0.0,0.0,13.0,0.0,1.0,7.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0
MI,2011-02-18,0.2570552147239264,74.19351350686307,0.2747663551401869,10.104186046511629,5.179439252336448,22.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,11.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0
MI,2011-02-19,0.1060509554140127,67.72229753216081,-7.017307692307692,3.4904306220095696,-1.7776442307692308,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0
