STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
MN,2011-01-01,3.808675799086758,79.19849722729421,-18.45851063829787,-9.28031914893617,-13.86941489361702,10.0,0.0,0.0,11.0,0.0,10.0,14.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,11.0,6.0,0.0,1.0
MN,2011-01-02,0.8828571428571429,74.21331770547232,-22.023529411764702,-12.894148936170213,-17.457754010695187,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
MN,2011-01-03,1.0138248847926268,80.63156782456842,-23.775,-10.699481865284977,-17.23046875,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
MN,2011-01-04,0.4736842105263157,79.22978402213057,-24.24896907216495,-10.730927835051547,-17.48994845360825,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0
MN,2011-01-05,0.2299145299145299,82.83961953240329,-20.60721649484536,-9.534715025906737,-15.069689119170985,14.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
MN,2011-01-06,0.4676855895196506,82.93617324309602,-18.682474226804125,-8.365284974093264,-13.543523316062176,14.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
MN,2011-01-07,0.4888888888888889,81.11108654028288,-16.959793814432988,-10.918134715025904,-13.949740932642488,9.0,1.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,5.0,0.0,1.0
MN,2011-01-08,0.3017937219730942,76.20559480340017,-21.20899470899471,-11.429100529100529,-16.31904761904762,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
MN,2011-01-09,0.077533039647577,78.48164182487203,-25.813756613756613,-11.49578947368421,-18.655820105820105,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2011-01-10,1.245414847161572,81.75621338821351,-21.83298969072165,-9.145128205128206,-15.491237113402065,13.0,2.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,3.0
MN,2011-01-11,3.783690987124463,86.70495419713696,-13.314358974358976,-6.976410256410257,-10.145384615384614,16.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0
MN,2011-01-12,0.6232067510548522,83.16903201210778,-15.267010309278351,-7.529896907216495,-11.398453608247424,10.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
MN,2011-01-13,0.2991304347826087,82.95885981675659,-17.38,-8.970256410256411,-13.175128205128203,17.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0
MN,2011-01-14,1.674583333333333,83.99149100883717,-15.49378238341969,-9.007253886010362,-12.250518134715026,13.0,9.0,0.0,1.0,0.0,0.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,7.0
MN,2011-01-15,2.8126637554585154,79.64648852451685,-18.71851851851852,-9.97830687830688,-14.348412698412698,5.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
MN,2011-01-16,0.2074074074074074,76.15714787565042,-22.82085561497326,-12.187765957446809,-17.50133689839572,7.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
MN,2011-01-17,2.3046296296296296,83.35801860864206,-18.260106382978723,-8.312169312169312,-13.284574468085106,14.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0
MN,2011-01-18,0.4493087557603686,75.92862501082978,-20.26546391752577,-8.983076923076924,-14.64020618556701,8.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
