STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
ND,2011-01-01,2.368478260869565,77.64026837816435,-23.143636363636364,-16.954054054054055,-20.052727272727275,4.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
ND,2011-01-02,0.7979166666666666,78.50839207383935,-22.944144144144147,-12.037837837837838,-17.49099099099099,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ND,2011-01-03,1.1745283018867925,82.07516894502254,-21.94690265486725,-11.61858407079646,-16.76875,10.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ND,2011-01-04,0.2456521739130435,81.28696629545409,-22.382456140350875,-10.79396551724138,-16.564601769911505,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2011-01-05,0.5320388349514563,86.8186619158833,-14.949137931034482,-4.649152542372882,-9.78146551724138,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
ND,2011-01-06,0.7570093457943925,88.08563059497446,-10.854237288135591,-3.1220338983050846,-6.988135593220339,15.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0
ND,2011-01-07,0.8333333333333334,86.89051595048707,-12.517094017094015,-3.7299145299145295,-8.123504273504274,11.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0
ND,2011-01-08,0.2597938144329896,85.20162546477373,-17.22654867256637,-9.47982456140351,-13.343362831858409,11.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
ND,2011-01-09,2.363207547169812,83.78687324821173,-20.68434782608696,-13.78448275862069,-17.238695652173913,17.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0
ND,2011-01-10,1.738181818181818,85.67174785751318,-23.1,-14.603478260869569,-18.85782608695652,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ND,2011-01-11,1.2321100917431191,84.95870734674429,-23.72457627118644,-15.302542372881357,-19.5135593220339,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0
ND,2011-01-12,0.6153061224489796,82.86123181211623,-26.509401709401708,-15.489830508474576,-21.004273504273502,18.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0
ND,2011-01-13,0.3495049504950495,84.18506402796278,-22.443103448275863,-12.011864406779662,-17.160775862068967,10.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
ND,2011-01-14,1.9669642857142853,85.11342078097611,-17.482905982905983,-10.71965811965812,-14.10128205128205,11.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,5.0
ND,2011-01-15,2.981651376146789,83.32826203010616,-19.39646017699115,-12.007964601769912,-15.70221238938053,10.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
