STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
TN,2011-01-01,33.3184584178499,80.20215480400407,5.529487179487179,16.67594936708861,11.102884615384616,13.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
TN,2011-01-02,6.674842767295598,65.96849850272156,-4.87452229299363,9.758709677419354,2.433870967741936,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
TN,2011-01-03,0.0068230277185501,59.922156887748216,-8.317682926829269,5.264242424242425,-1.551219512195122,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2011-01-04,0.0194915254237288,53.93584795136763,-5.73395061728395,8.039263803680981,1.1552469135802468,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2011-01-05,0.6277310924369748,74.01285287741328,-3.090740740740741,8.96768292682927,2.9219135802469136,10.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,7.0,1.0,6.0,4.0,0.0,0.0
TN,2011-01-06,3.57004132231405,79.02942396458548,-3.257142857142857,5.119254658385094,0.931055900621118,18.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,5.0,1.0,0.0,2.0
TN,2011-01-07,0.2627705627705627,69.61976596732896,-1.9814814814814807,6.961349693251534,2.4839506172839507,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,7.0,1.0,0.0,1.0
TN,2011-01-08,1.8051339285714287,65.39894157353407,-4.7525,5.645962732919255,0.4384375,7.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,2.0
TN,2011-01-09,0.5061224489795918,59.61487543359762,-11.82625,-0.3415094339622641,-6.084276729559749,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
TN,2011-01-10,7.7532327586206895,76.56688668358564,-8.958490566037737,-0.8886792452830189,-4.923584905660378,11.0,2.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0
TN,2011-01-11,1.0692482915717538,85.39272590437749,-4.60375,-0.0025,-2.303125,10.0,0.0,0.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,6.0,3.0,1.0,3.0,2.0,9.0,2.0,0.0,0.0
TN,2011-01-12,0.7025462962962963,68.48784654432023,-8.011612903225807,-0.883225806451613,-4.4474193548387095,5.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
TN,2011-01-13,0.3025171624713959,71.0165869124612,-9.646296296296295,-2.432098765432099,-6.039197530864198,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
