STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
NE,2012-01-01,0.4523308270676692,60.14829543977299,-6.431137724550898,7.016666666666667,0.27874251497006,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2012-01-02,0.0084592145015105,54.669956411892926,-11.8562874251497,3.4827380952380955,-4.1913173652694615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2012-01-03,0.0034534534534534,56.76545997069096,-10.029239766081872,6.678488372093024,-1.662280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2012-01-04,0.0,56.96099196335817,-5.629824561403509,12.70058479532164,3.5353801169590646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2012-01-05,0.0,51.1426358933891,-3.052906976744186,15.720348837209302,6.333720930232559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2012-01-06,0.0,53.16446163481277,-3.284210526315789,16.440350877192984,6.578070175438596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2012-01-07,0.0027067669172932,65.23869708843736,-8.621084337349396,7.424698795180723,-0.5981927710843373,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NE,2012-01-08,0.0583458646616541,74.5357501452887,-7.922289156626506,4.716265060240964,-1.6030120481927712,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NE,2012-01-09,0.0011958146487294,67.11561383745351,-7.038372093023256,7.867441860465116,0.4145348837209302,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2012-01-10,0.0019461077844311,63.2562738993492,-5.682456140350878,12.716374269005849,3.516959064327485,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
