STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
OH,2012-01-01,0.5118577075098815,83.12603790330972,0.1873873873873873,9.523423423423422,4.855405405405405,17.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,5.0,0.0,0.0,10.0,0.0,9.0,1.0,0.0,1.0
OH,2012-01-02,1.2910505836575876,78.18747409225418,-4.246428571428571,5.809821428571429,0.7816964285714285,19.0,12.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,5.0
OH,2012-01-03,1.6383399209486167,74.63685732112731,-8.75575221238938,-2.767256637168141,-5.761504424778761,4.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0
OH,2012-01-04,0.3338461538461538,71.2500024041972,-9.25,-1.8280701754385968,-5.539035087719299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
OH,2012-01-05,0.0149425287356321,74.65820566770397,-5.14561403508772,3.889473684210526,-0.6280701754385964,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2012-01-06,0.0,64.53725831713741,-0.1894736842105263,9.876521739130434,4.860087719298245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2012-01-07,0.008203125,68.7250514762822,1.1221238938053095,11.453982300884956,6.2880530973451325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2012-01-08,0.0,74.51467213742231,-3.375892857142857,7.644642857142857,2.134375,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2012-01-09,0.0,71.30352285452054,-3.805217391304348,6.35304347826087,1.2739130434782608,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2012-01-10,0.0011538461538461,71.77991758142906,-3.232173913043478,8.216379310344827,2.515652173913044,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
