STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
TX,2012-01-01,0.0685856432125088,54.51084373978826,3.621399176954733,20.982956878850104,12.300308641975308,29.0,13.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,10.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
TX,2012-01-02,0.0486373165618448,49.17271294792887,-0.2282208588957055,14.8,7.283811475409836,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2012-01-03,0.0016759776536312,50.73753179485451,-2.292494929006085,14.83407258064516,6.287728194726166,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2012-01-04,0.000976290097629,58.84736715335448,0.2995951417004048,17.778629032258067,9.043016194331983,17.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TX,2012-01-05,0.0107340720221606,62.94609494813464,1.77,19.3774,10.570440881763526,17.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX,2012-01-06,0.0600840336134453,65.93438296331215,4.097590361445784,20.93152610441767,12.514558232931726,55.0,14.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0
TX,2012-01-07,0.0413447782546494,68.57745885991652,5.202439024390244,20.79391480730223,12.997256097560976,55.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
TX,2012-01-08,0.4824199288256227,75.3740598959274,5.474897959183673,18.12044989775051,11.80439672801636,61.0,23.0,22.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,16.0,1.0,22.0,0.0,1.0,0.0,0.0,0.0
TX,2012-01-09,12.680185758513932,86.2329761074167,5.847034764826176,15.525918367346938,10.692126789366052,56.0,9.0,84.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,0.0,20.0,3.0,31.0,0.0,4.0,1.0,0.0,0.0
TX,2012-01-10,13.033991088478675,78.89506423640883,2.8024340770791074,11.91419878296146,7.358316430020285,54.0,2.0,32.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,16.0,3.0,15.0,0.0,2.0,1.0,0.0,1.0
TX,2012-01-11,0.4327766179540709,63.44825769092706,1.688508064516129,15.970564516129032,8.83111111111111,11.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2012-01-12,0.0165730337078651,52.2613648569775,-1.148296593186373,15.470340681362725,7.161022044088176,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX,2012-01-13,0.0002112676056338,49.18238154893087,-3.0466666666666664,10.226113360323886,3.5888663967611336,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
