STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
IL,2013-01-01,-9.921582733812947,-5.110507246376812,-0.2956521739130434,1.6672443674176776,80.39271355251698,11.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-02,-14.255,-9.04820143884892,-3.8307142857142855,0.0036332179930795,74.11889732407903,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
IL,2013-01-03,-12.391428571428571,-6.759285714285714,-1.0880281690140845,0.0022222222222222,78.30855231352301,10.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2013-01-04,-11.07323943661972,-5.1394366197183095,0.7943661971830985,0.0380136986301369,78.24874972291693,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-05,-9.097183098591549,-3.452112676056338,2.192957746478873,0.0285961871750433,82.73109542257907,19.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,6.0,0.0,6.0,1.0,0.0,0.0
IL,2013-01-06,-6.685714285714286,-1.9353571428571428,2.8457746478873243,0.3797909407665505,81.00465248792433,14.0,1.0,0.0,2.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-07,-9.03191489361702,-3.7953900709219854,1.454225352112676,0.0005145797598627,81.53209948589536,14.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-08,-6.3957746478873245,-0.6503521126760564,5.102097902097902,0.0,78.71674268281741,14.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-09,-2.665714285714285,2.7839285714285715,8.238297872340425,0.4954924874791319,74.01519894556411,10.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-10,-1.932857142857143,3.896785714285714,9.753521126760564,1.051414309484193,80.0395139901333,28.0,6.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-11,2.1382978723404253,7.199290780141844,12.267605633802816,18.972274143302183,91.35752930003908,53.0,6.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-12,4.635251798561151,9.066906474820144,13.498561151079135,1.209581881533101,83.58463522964202,26.0,1.0,5.0,7.0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,2.0,0.0,0.0
IL,2013-01-13,-5.848936170212767,0.8348920863309353,7.530935251798561,14.503672787979967,87.6027996982743,18.0,0.0,5.0,21.0,2.0,36.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0
IL,2013-01-14,-10.999295774647887,-7.035,-3.065,0.5317324185248714,77.83145231588288,3.0,0.0,0.0,6.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-15,-10.979020979020978,-6.944405594405594,-2.9097902097902097,0.009090909090909,80.1737804204595,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-16,-9.66382978723404,-4.884042553191489,-0.1042553191489362,0.0142857142857142,77.58286755902166,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IL,2013-01-17,-7.126950354609929,-2.256737588652482,2.6134751773049647,0.0005163511187607,72.65505462334927,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-18,-7.221678321678322,-2.015384615384616,3.190909090909091,0.000511073253833,74.44358850946186,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-19,-3.658156028368794,2.442553191489361,8.543262411347516,0.0053285968028419,66.68815899264463,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-20,-8.110000000000001,0.0233812949640288,8.119424460431654,0.0044091710758377,61.74858420247255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IL,2013-01-21,-11.982394366197184,-8.372142857142856,-4.7057142857142855,0.0181660899653979,61.59784925863131,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
IL,2013-01-22,-15.822857142857142,-12.276785714285714,-8.730714285714285,0.0046471600688468,58.22694380864262,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-23,-14.554676258992805,-10.31223021582734,-6.069784172661871,0.0154905335628227,61.36621975551624,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2013-01-24,-13.102877697841729,-7.168345323741007,-1.233812949640288,0.0615384615384615,60.96196017160977,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IL,2013-01-25,-10.765248226950357,-6.406737588652482,-2.04822695035461,0.6581881533101045,58.9004348723751,11.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
IL,2013-01-26,-10.121739130434785,-4.213768115942029,1.6942028985507245,0.0931407942238267,64.89670906433571,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-27,-8.255555555555556,-3.095925925925926,2.1750000000000003,0.5803956834532374,76.48108167681615,21.0,3.0,13.0,12.0,1.0,18.0,8.0,0.0,0.0,2.0,3.0,4.0,2.0,1.0,2.0,0.0,0.0
IL,2013-01-28,-0.5260869565217392,5.048188405797101,10.581428571428573,7.223567921440263,93.401296370366,59.0,8.0,16.0,20.0,1.0,18.0,4.0,0.0,0.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-29,7.668085106382979,11.96985815602837,16.27163120567376,4.387722132471729,91.2140620601384,47.0,6.0,47.0,1.0,3.0,0.0,5.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
IL,2013-01-30,2.0397163120567376,8.749285714285715,15.37714285714286,35.89209726443769,91.85942411105086,43.0,2.0,48.0,3.0,0.0,4.0,5.0,1.0,3.0,3.0,2.0,5.0,1.0,5.0,1.0,0.0,1.0
IL,2013-01-31,-9.407042253521126,-2.909219858156028,3.548936170212766,2.669349315068493,73.3173637069441,15.0,1.0,1.0,2.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
IL,2013-02-01,-16.25142857142857,-10.815942028985509,-5.357971014492754,0.1204585537918871,66.9553506005689,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
IL,2013-02-02,-14.00597014925373,-8.456766917293233,-2.9133333333333336,1.630755395683453,73.0394252255565,14.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
IL,2013-02-03,-9.129927007299267,-5.212773722627737,-1.3172661870503597,0.7179023508137432,77.48468644548056,19.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
IL,2013-02-04,-7.08768115942029,-3.3822463768115942,0.2375886524822695,1.3067736185383243,76.32039780604822,9.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IL,2013-02-05,-7.57304964539007,-1.786170212765957,3.995774647887324,0.1301587301587301,81.77215436069403,17.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2013-02-06,-6.565248226950355,-0.5049645390070923,5.571126760563381,0.224390243902439,77.3005143274202,18.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2013-02-07,-4.129577464788732,1.6542253521126762,7.438028169014085,2.349912739965096,81.83877215123626,24.0,4.0,0.0,11.0,0.0,7.0,10.0,1.0,0.0,4.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0
IL,2013-02-08,-2.6829787234042555,1.536170212765957,5.8300699300699295,11.565494137353436,87.19848126019623,14.0,0.0,0.0,5.0,0.0,4.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2013-02-09,-3.638686131386861,-1.1386029411764709,1.3824817518248176,0.0867145421903052,79.72629882734712,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
IL,2013-02-10,-1.3892086330935252,2.448920863309352,6.287050359712231,3.803448275862069,86.08312921082056,23.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,6.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0
