STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT22
KS,2013-01-01,-10.375471698113207,-6.116352201257862,-1.831875,5.262797619047619,83.84446067824011,18.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,0.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0
KS,2013-01-02,-13.378048780487806,-8.05276073619632,-2.7030674846625766,0.1288743882544861,80.84393641427806,16.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
KS,2013-01-03,-11.55421686746988,-5.255722891566266,1.0427710843373494,0.0245557350565428,79.25820894529801,11.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0
KS,2013-01-04,-12.06987951807229,-5.178915662650603,1.7120481927710842,0.0,74.2235578003993,6.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
KS,2013-01-05,-9.866666666666667,-2.5616352201257864,4.743396226415094,0.0023064250411861,71.92014476474968,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
KS,2013-01-06,-7.856875,-0.985625,5.885625,0.0018032786885245,67.61889103746938,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2013-01-07,-6.704968944099379,0.2549689440993788,7.214906832298136,0.0,61.89994227141957,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2013-01-08,-3.8560975609756096,2.8094512195121952,9.475,0.0042345276872964,65.26278583002633,4.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2013-01-09,-4.662576687116564,3.0828220858895707,10.828220858895705,0.0810147299509001,72.45769020466723,10.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
KS,2013-01-10,-2.123170731707317,4.239634146341463,10.602439024390245,4.442450142450142,82.27676082567302,44.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,1.0,0.0
KS,2013-01-11,2.2939024390243903,5.785365853658536,9.276829268292683,4.092857142857143,80.65149567342579,55.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0
