STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22
MN,2013-01-01,-24.919680851063827,-17.60718085106383,-10.29468085106383,0.0118589743589743,79.11419899771644,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
MN,2013-01-02,-17.736842105263158,-12.268947368421053,-6.801052631578948,0.1947882736156351,86.85834250034227,17.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,2.0
MN,2013-01-03,-15.281151832460733,-10.452356020942409,-5.623560209424083,0.2293548387096774,80.45747225246073,12.0,0.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
MN,2013-01-04,-15.118279569892474,-9.987634408602151,-4.856989247311828,0.0035714285714285,76.21449289940092,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MN,2013-01-05,-16.148387096774194,-9.595698924731185,-3.043010752688172,0.0009771986970684,82.62236208687008,12.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
MN,2013-01-06,-15.305945945945943,-10.093243243243244,-4.851075268817204,0.0009771986970684,80.05214193833332,8.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
MN,2013-01-07,-12.296791443850267,-6.866666666666667,-1.460215053763441,0.013564668769716,75.8430114283146,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MN,2013-01-08,-11.991935483870968,-5.327956989247312,1.336021505376344,0.0164516129032258,83.69694612934939,19.0,5.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,4.0,0.0,4.0
MN,2013-01-09,-8.672432432432434,-4.085135135135135,0.5021621621621621,0.1894039735099337,76.02374875603924,5.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
MN,2013-01-10,-6.061827956989247,-1.5658602150537635,2.9301075268817205,0.4809061488673139,69.96607816768159,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,10.0,1.0,0.0,11.0,3.0,1.0,3.0,0.0
MN,2013-01-11,-2.682978723404255,0.5672872340425531,3.817553191489362,6.252848101265823,91.16218343263044,53.0,10.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,5.0,2.0,0.0,9.0,2.0,4.0,1.0,0.0
MN,2013-01-12,-12.72864864864865,-5.790810810810811,1.147027027027027,2.257482993197278,81.89271324895303,27.0,0.0,0.0,2.0,0.0,8.0,10.0,0.0,0.0,9.0,1.0,0.0,4.0,0.0,11.0,2.0,0.0
MN,2013-01-13,-19.37540983606557,-14.953551912568306,-10.531693989071035,0.1220338983050847,74.950748457417,3.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
MN,2013-01-14,-19.14973544973545,-15.899202127659576,-12.670744680851064,0.1421926910299003,75.74268621969233,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
MN,2013-01-15,-17.432804232804234,-12.83174603174603,-8.230687830687831,0.0435897435897435,74.66971557929355,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
MN,2013-01-16,-15.097849462365591,-8.393279569892474,-1.688709677419355,0.4168789808917197,74.92869871439326,10.0,0.0,0.0,0.0,0.0,5.0,9.0,1.0,0.0,6.0,1.0,1.0,5.0,3.0,11.0,2.0,0.0
MN,2013-01-17,-19.153684210526315,-12.19342105263158,-5.233157894736842,0.2728476821192053,65.1084907110152,3.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
MN,2013-01-18,-16.458602150537637,-10.998118279569892,-5.490374331550802,0.9427609427609428,77.47810429102545,8.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0
MN,2013-01-19,-12.846448087431694,-6.494808743169399,-0.0572972972972972,0.6792857142857143,81.80918602016261,7.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0
MN,2013-01-20,-22.248128342245987,-14.086898395721924,-5.92566844919786,0.117993079584775,70.23248704175575,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0
MN,2013-01-21,-26.85217391304348,-22.12103825136612,-17.343169398907104,0.0269102990033222,65.89843242191905,1.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0
MN,2013-01-22,-28.66349206349206,-23.78021390374332,-18.8903743315508,0.0278688524590163,68.4633533247302,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
MN,2013-01-23,-26.771052631578947,-20.77777777777778,-14.766137566137568,0.1042207792207792,70.73408921084574,7.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0
MN,2013-01-24,-26.90947368421053,-20.318947368421053,-13.72842105263158,0.0523026315789473,62.99193668824707,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
MN,2013-01-25,-22.821578947368423,-16.61894736842105,-10.416315789473684,0.7376666666666667,68.76450495350002,3.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0
MN,2013-01-26,-22.76318681318681,-15.78434065934066,-8.805494505494504,0.0723776223776223,71.97948118481645,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2013-01-27,-16.604347826086954,-10.101358695652175,-3.5983695652173915,0.4164948453608247,71.14191007799182,12.0,4.0,0.0,6.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,6.0,5.0,9.0,3.0,1.0
MN,2013-01-28,-6.358510638297873,-3.3136363636363635,-0.3813829787234042,4.6683168316831685,91.831536178486,51.0,7.0,2.0,15.0,0.0,14.0,2.0,0.0,1.0,2.0,1.0,1.0,7.0,5.0,4.0,2.0,5.0
MN,2013-01-29,-4.932275132275133,-2.453174603174603,0.0259259259259259,3.399348534201954,91.53763181192237,36.0,3.0,6.0,5.0,1.0,16.0,4.0,0.0,0.0,8.0,2.0,0.0,6.0,1.0,5.0,1.0,0.0
MN,2013-01-30,-12.871122994652406,-7.952406417112299,-3.033689839572192,0.169047619047619,79.42824231388718,6.0,0.0,1.0,0.0,0.0,3.0,12.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0
MN,2013-01-31,-22.32620320855615,-17.010160427807488,-11.694117647058825,0.4017006802721088,72.06954289830996,3.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,0.0
MN,2013-02-01,-28.920744680851065,-23.304278074866307,-17.65187165775401,0.1056105610561056,67.71110077386729,6.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
MN,2013-02-02,-27.245555555555555,-20.995555555555555,-14.734806629834257,0.7910652920962199,74.10869733926837,9.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
MN,2013-02-03,-22.11741573033708,-16.93314606741573,-11.723204419889504,0.6159574468085107,74.54392871292416,5.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0
MN,2013-02-04,-23.002173913043475,-16.956521739130434,-10.902702702702705,1.037847222222222,73.05466363633987,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
MN,2013-02-05,-19.462032085561496,-12.798395721925134,-6.140425531914894,1.91948051948052,77.87295902003044,10.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0
MN,2013-02-06,-17.257754010695187,-11.159358288770054,-5.037234042553192,0.4268211920529801,79.96509440732093,14.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,9.0,1.0,3.0
MN,2013-02-07,-13.124210526315789,-8.441578947368422,-3.758947368421053,0.990764331210191,86.35274514575576,21.0,2.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,9.0,2.0,1.0,2.0,2.0,4.0,0.0,0.0
MN,2013-02-08,-14.985638297872342,-9.57313829787234,-4.168253968253968,0.0537974683544303,79.98773890413729,13.0,3.0,0.0,1.0,0.0,5.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
MN,2013-02-09,-10.989617486338798,-6.8765027322404375,-2.7633879781420765,0.033904109589041,84.26233493305733,15.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,11.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
MN,2013-02-10,-4.850543478260869,-3.0671195652173915,-1.283695652173913,3.34425087108014,90.6650941142422,21.0,13.0,1.0,11.0,0.0,12.0,6.0,0.0,0.0,2.0,1.0,1.0,5.0,1.0,11.0,0.0,4.0
MN,2013-02-11,-8.11505376344086,-4.926612903225807,-1.7381720430107528,13.433670033670037,84.42952788523068,14.0,0.0,0.0,13.0,1.0,10.0,9.0,1.0,1.0,8.0,1.0,1.0,1.0,0.0,11.0,3.0,0.0
MN,2013-02-12,-12.263101604278074,-7.621774193548387,-2.9591397849462364,0.1543130990415335,78.65202560514749,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
MN,2013-02-13,-10.206878306878306,-4.98968253968254,0.2275132275132275,0.129073482428115,81.46644399783953,11.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,9.0,3.0,3.0
MN,2013-02-14,-10.842631578947367,-5.552631578947368,-0.2626315789473684,2.1568750000000003,79.94721545834334,11.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0
MN,2013-02-15,-18.83052631578948,-12.41137566137566,-6.001587301587302,0.02,70.97923706318313,7.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
MN,2013-02-16,-20.591803278688527,-14.479234972677595,-8.392972972972974,0.0353333333333333,75.87750223100566,12.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0
MN,2013-02-17,-17.446994535519128,-11.304120879120878,-5.147802197802197,0.0874172185430463,76.78374366715941,3.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
MN,2013-02-18,-13.542857142857144,-7.457142857142857,-1.394535519125683,0.8242524916943521,78.63650141577229,9.0,2.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,11.0,6.0,2.0
MN,2013-02-19,-21.11989247311828,-13.965860215053764,-6.811827956989247,0.4375426621160409,70.65529744281814,1.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0
MN,2013-02-20,-25.24973544973545,-19.20212765957447,-13.17659574468085,0.0031948881789137,66.50211201621939,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MN,2013-02-21,-23.243617021276595,-15.868617021276595,-8.493617021276595,0.0352564102564102,66.81143816435328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
MN,2013-02-22,-15.288888888888888,-10.06058201058201,-4.856315789473684,3.1545454545454548,80.01864800162592,13.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,11.0,0.0,6.0
MN,2013-02-23,-12.160655737704918,-7.433060109289618,-2.705464480874317,1.1072131147540982,83.03516947133444,13.0,4.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0
MN,2013-02-24,-16.301648351648353,-8.711878453038674,-1.1303867403314918,0.0053511705685618,80.78988126863767,28.0,8.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
MN,2013-02-25,-14.058288770053476,-7.089839572192513,-0.1213903743315508,0.0292604501607717,81.50493634706163,27.0,6.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
MN,2013-02-26,-12.469148936170212,-5.729787234042553,1.0095744680851064,0.0,83.4895910956962,38.0,5.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
MN,2013-02-27,-10.31891891891892,-4.417027027027027,1.4848648648648648,0.021172638436482,76.14751721798142,12.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2013-02-28,-8.013297872340425,-3.844414893617021,0.3244680851063829,0.0364217252396166,75.59090631018613,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
MN,2013-03-01,-12.148167539267016,-7.1646596858638745,-2.181151832460733,0.0015822784810126,68.7942309122875,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
MN,2013-03-02,-19.03837837837838,-10.751351351351351,-2.464324324324324,0.0,68.8009914242782,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
MN,2013-03-03,-15.025806451612905,-8.284408602150538,-1.543010752688172,0.0228476821192052,62.37673241364302,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MN,2013-03-04,-9.14095744680851,-5.071808510638298,-1.002659574468085,1.8445512820512824,67.65782875813586,13.0,4.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,3.0,6.0
MN,2013-03-05,-7.73,-5.2728947368421055,-2.804188481675393,8.83429487179487,84.68727656096677,11.0,3.0,0.0,1.0,0.0,3.0,11.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,11.0,2.0,6.0
MN,2013-03-06,-12.333333333333334,-7.60925925925926,-2.885185185185185,1.9554517133956384,79.49267143189437,9.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
MN,2013-03-07,-17.531413612565444,-9.843717277486911,-2.156020942408377,0.0065625,77.07421249455983,19.0,6.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
MN,2013-03-08,-13.028947368421052,-6.4839473684210525,0.0610526315789473,0.1107142857142857,78.95814094907496,10.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
