STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT17,WT18,WT19,WT21,WT22
NC,2013-01-01,0.8824742268041238,5.662113402061856,10.479591836734691,1.0994880546075083,71.86235958662043,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-02,4.498507462686567,7.036069651741293,9.61871921182266,10.41403785488959,89.64935169402536,41.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-03,1.2203980099502487,4.203482587064676,7.233497536945813,0.5926470588235294,81.27975233606928,25.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-04,-3.62089552238806,1.7972636815920398,7.248514851485149,0.2481418918918919,68.83422463217838,19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-05,-3.9290816326530615,2.7892857142857146,9.52994923857868,0.0394045534150612,59.81043375234509,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-06,-0.7751269035532994,4.547448979591836,9.88274111675127,0.4970149253731343,75.28196432629359,13.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-07,-1.3343283582089551,4.57375,10.524752475247524,0.3517587939698492,70.82401890841089,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-08,-1.9,5.326633165829146,12.5545,0.0093062605752961,77.11137005011008,13.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-09,1.0226600985221674,8.306650246305418,15.584803921568628,0.0154621848739495,79.2391236798615,24.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-10,5.077611940298508,11.278109452736318,17.463366336633662,0.0504966887417218,73.96976253733482,23.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
NC,2013-01-11,6.086069651741293,11.4865,16.934158415841583,2.6421800947867298,81.71821644324193,40.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-12,8.945226130653266,13.386180904522613,17.8435,3.4440261865793778,91.48440259735824,54.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-13,10.778282828282828,16.06725888324873,21.37070707070707,0.2149122807017544,86.98993692975368,44.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2013-01-14,11.333990147783252,16.358866995073893,21.40147058823529,4.605610561056106,86.37386716874997,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
NC,2013-01-15,8.13448275862069,12.857389162561578,17.613725490196078,17.298104265402845,92.8328205743322,43.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0
