STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT22
ND,2013-01-01,-21.00526315789474,-14.189247311827955,-7.476344086021505,0.164516129032258,87.31539374902894,9.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0
ND,2013-01-02,-14.721052631578948,-8.493157894736843,-2.264948453608248,0.3261538461538461,88.76610431845587,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
ND,2013-01-03,-13.53131313131313,-8.426262626262627,-3.3212121212121213,0.0839694656488549,82.06068925263575,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0
ND,2013-01-04,-13.505,-8.274,-3.043,0.0,76.24152508581561,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
ND,2013-01-05,-15.350526315789471,-9.94421052631579,-4.537894736842105,0.0441860465116279,87.02218712795552,6.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,1.0,3.0
ND,2013-01-06,-14.595833333333331,-9.5875,-4.579166666666667,0.0023076923076923,88.81229038350686,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
ND,2013-01-07,-11.737623762376238,-6.155940594059406,-0.5742574257425742,0.0059259259259259,78.30582455269747,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2013-01-08,-12.175,-5.6645,0.846,0.1653846153846153,86.83338867793194,6.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0
ND,2013-01-09,-10.006,-4.187,1.632,0.063076923076923,80.88145770574211,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2013-01-10,-8.134,-2.9315,2.271,0.0854961832061068,82.77333949550005,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
ND,2013-01-11,-12.183157894736842,-6.175789473684211,-0.14375,0.75,92.2503196783637,7.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,7.0,3.0,7.0,1.0,1.0
ND,2013-01-12,-20.30744680851064,-15.5494623655914,-10.79462365591398,2.4656,82.20432933832716,0.0,2.0,0.0,0.0,0.0,1.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0
ND,2013-01-13,-22.96842105263158,-19.097894736842104,-15.227368421052631,0.0468253968253968,77.9048898734025,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
ND,2013-01-14,-22.794,-18.0805,-13.367,0.0507462686567164,80.6268690662368,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
ND,2013-01-15,-19.574,-12.788,-6.002000000000001,0.151937984496124,81.80704078586399,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0
ND,2013-01-16,-12.727272727272728,-5.328787878787878,2.06969696969697,0.4511811023622047,84.64572549753524,1.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,7.0,3.0,1.0
ND,2013-01-17,-11.886,-7.146464646464646,-2.511111111111111,0.1717557251908397,82.0535929126112,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
ND,2013-01-18,-8.922448979591836,-4.780612244897959,-0.6387755102040816,0.2817460317460317,85.433277268799,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
ND,2013-01-19,-14.243478260869566,-6.370652173913044,1.502173913043478,0.065079365079365,82.2669975251524,1.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,7.0,2.0,0.0
ND,2013-01-20,-22.51052631578948,-16.365263157894738,-10.22,0.4661538461538461,74.26343657195575,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0
ND,2013-01-21,-26.02526315789473,-21.408947368421053,-16.79263157894737,0.0248,68.74845126895687,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2013-01-22,-23.92886597938144,-19.163541666666667,-14.502061855670105,0.1171875,75.32527735774872,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
ND,2013-01-23,-21.983838383838386,-17.427272727272726,-12.870707070707072,0.0772727272727272,77.47675001303737,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ND,2013-01-24,-22.22577319587629,-17.063402061855673,-11.901030927835052,0.0203007518796992,74.06331813040936,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
ND,2013-01-25,-20.207070707070702,-13.947448979591837,-7.686868686868687,0.1046511627906976,76.1691549485306,3.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
ND,2013-01-26,-17.54148936170213,-11.917021276595746,-6.361052631578947,0.0225806451612903,79.5389831351248,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ND,2013-01-27,-13.941489361702128,-8.391489361702128,-2.841489361702128,0.0888,86.82920993196507,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
ND,2013-01-28,-11.956701030927835,-6.979381443298969,-2.002061855670103,0.7015384615384616,91.57665710201344,8.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0
ND,2013-01-29,-13.803061224489795,-8.46173469387755,-3.1204081632653065,1.60703125,92.43824787547396,12.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,4.0
ND,2013-01-30,-22.80309278350516,-16.56237113402062,-10.321649484536085,0.08515625,78.72416645527484,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0
