STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
OH,2013-01-01,-6.231372549019608,-2.769607843137255,0.692156862745098,1.6485943775100402,84.04686188099038,22.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
OH,2013-01-02,-11.52,-6.903809523809524,-2.287619047619048,0.0502008032128514,80.08462614325715,21.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OH,2013-01-03,-13.233333333333334,-7.683333333333333,-2.1333333333333333,0.0159533073929961,76.59350095766355,17.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
OH,2013-01-04,-8.59537037037037,-4.440277777777778,-0.2851851851851852,0.003125,73.11810030675342,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
OH,2013-01-05,-7.696261682242991,-3.23785046728972,1.2205607476635514,0.0011904761904761,76.96454579876062,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0
OH,2013-01-06,-4.713461538461538,-0.85625,3.0009615384615387,0.0521912350597609,78.79144310932976,18.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,8.0,2.0,0.0,0.0
OH,2013-01-07,-4.525233644859813,-1.010747663551402,2.503738317757009,0.1944881889763779,81.48270388899277,20.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
OH,2013-01-08,-6.338181818181819,-1.08,4.178181818181819,0.0186046511627906,77.71346127372195,15.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2013-01-09,-3.750925925925926,1.9555555555555555,7.688990825688074,0.1992277992277992,77.11054999974104,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
OH,2013-01-10,-4.123853211009174,1.4967889908256882,7.117431192660551,0.5767175572519084,82.408914070308,31.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0
OH,2013-01-11,-0.0241071428571428,5.774553571428571,11.573214285714286,6.149635036496351,80.6194000900835,25.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
OH,2013-01-12,6.563207547169812,11.078301886792453,15.593396226415097,6.10968992248062,89.26959983173053,31.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0
OH,2013-01-13,5.801869158878504,11.618691588785047,17.43551401869159,10.968656716417913,90.1000360740374,31.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0
