STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
PA,2013-01-01,-5.051428571428572,-1.5582142857142858,1.935,0.4965417867435159,75.85444196905455,7.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,1.0,0.0,0.0
PA,2013-01-02,-7.284507042253522,-3.7154929577464793,-0.1464788732394366,0.156980056980057,65.50247157827636,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
PA,2013-01-03,-11.095804195804195,-6.44020979020979,-1.7846153846153845,0.0201634877384196,68.72965010074041,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.0
PA,2013-01-04,-8.826896551724138,-4.355862068965517,0.1151724137931034,0.043526170798898,65.787982135952,4.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
PA,2013-01-05,-3.982269503546099,-1.3464539007092198,1.2893617021276595,0.0182608695652173,65.76834999894676,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
PA,2013-01-06,-3.7467625899280574,-0.3838129496402877,2.9791366906474823,0.1023391812865497,72.24927690334863,13.0,1.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0
PA,2013-01-07,-2.753900709219858,0.5843971631205674,3.922695035460993,0.1585714285714285,71.89174099013533,11.0,0.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0
PA,2013-01-08,-7.490714285714286,-1.8057142857142856,3.8792857142857136,0.0219444444444444,74.03855912151396,13.0,1.0,1.0,0.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2013-01-09,-6.9,-0.1017482517482517,6.696503496503497,0.0352459016393442,79.46110436075531,16.0,2.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,5.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
PA,2013-01-10,-4.257638888888889,1.516083916083916,7.3195804195804195,0.1610354223433242,66.47248333452946,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
