STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
WI,2013-01-01,-20.54974358974359,-13.76082474226804,-6.967692307692308,0.0062706270627062,75.10487955945054,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
WI,2013-01-02,-17.904736842105265,-13.03078947368421,-8.151832460732985,0.0119601328903654,76.90105457703629,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
WI,2013-01-03,-11.01157894736842,-8.10657894736842,-5.206735751295336,0.0784565916398713,80.11296489545276,10.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
WI,2013-01-04,-12.821243523316062,-8.337564766839378,-3.837244897959184,0.0064308681672025,76.6274741675346,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2013-01-05,-14.067875647668393,-7.42890625,-0.8165803108808289,0.0331168831168831,82.32457515876348,14.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
WI,2013-01-06,-11.686979166666667,-6.046875,-0.4103626943005181,0.2402597402597402,80.78385676600784,13.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
WI,2013-01-07,-11.855263157894736,-6.184473684210526,-0.496875,0.0062295081967213,76.69613247064433,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2013-01-08,-9.927179487179489,-3.657692307692308,2.611794871794872,0.0009584664536741,83.47571545899345,31.0,10.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
WI,2013-01-09,-7.821428571428571,-2.178061224489796,3.46530612244898,0.0032258064516129,75.13403890325843,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2013-01-10,-8.438144329896907,-2.4654639175257733,3.503589743589744,0.6618892508143323,75.70767698969108,20.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,7.0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0
WI,2013-01-11,-5.089795918367347,-0.1760204081632653,4.737755102040817,8.264331210191083,94.48505750490676,61.0,19.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0
WI,2013-01-12,-2.559278350515464,2.574226804123711,7.716410256410256,0.4222950819672131,84.12784452018413,35.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0,0.0
WI,2013-01-13,-11.25699481865285,-5.547409326424871,0.2256410256410256,0.8679611650485437,74.81225974579174,4.0,0.0,0.0,2.0,0.0,3.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
WI,2013-01-14,-15.26205128205128,-11.564948453608247,-7.86340206185567,0.1045454545454545,74.30673218269737,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
WI,2013-01-15,-15.102072538860105,-10.269689119170984,-5.429381443298968,0.0019169329073482,73.6019920568632,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,2013-01-16,-11.969743589743588,-6.623333333333333,-1.2769230769230768,0.2117088607594937,73.71349538122784,9.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
WI,2013-01-17,-12.94102564102564,-7.186923076923077,-1.4328205128205127,0.0560509554140127,64.08000680581706,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
WI,2013-01-18,-14.652083333333332,-9.275520833333331,-3.904663212435233,0.6273885350318471,77.37036360852925,11.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
WI,2013-01-19,-10.3139896373057,-3.340155440414508,3.611855670103093,0.526158940397351,81.70797840135823,8.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.0
WI,2013-01-20,-16.680927835051545,-7.770103092783506,1.1517948717948718,0.2086378737541528,64.18669559639562,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
WI,2013-01-21,-20.72553191489362,-16.503723404255318,-12.28191489361702,0.0405405405405405,64.84960759997097,2.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
WI,2013-01-22,-24.140740740740743,-20.75873015873016,-17.396315789473686,0.0347682119205298,65.24876039190737,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
WI,2013-01-23,-23.03650793650793,-18.25026455026455,-13.464021164021164,0.0613333333333333,70.70443690397241,7.0,1.0,0.0,0.0,0.0,0.0,14.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
WI,2013-01-24,-21.279894179894185,-15.705026455026456,-10.13015873015873,0.3447019867549669,67.32482798635377,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
WI,2013-01-25,-18.916402116402114,-13.737566137566136,-8.558730158730159,1.4458471760797342,74.70481375377271,13.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0
WI,2013-01-26,-17.367021276595743,-11.66336898395722,-5.935294117647059,0.4525951557093426,73.57637273356934,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WI,2013-01-27,-13.531382978723403,-8.303989361702127,-3.076595744680851,0.7303448275862069,72.41228201895815,15.0,7.0,6.0,10.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,7.0,1.0,0.0,0.0
WI,2013-01-28,-4.495135135135135,-1.6867567567567567,1.139153439153439,7.270945945945945,93.22451288532532,33.0,2.0,6.0,19.0,0.0,19.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0
WI,2013-01-29,-1.432804232804233,1.4798941798941798,4.395789473684211,12.19635761589404,95.50870346171644,56.0,14.0,29.0,1.0,1.0,18.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0
WI,2013-01-30,-4.548148148148148,0.6322751322751323,5.8126984126984125,10.411333333333332,89.16633448888774,28.0,10.0,3.0,4.0,0.0,5.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,7.0,2.0,0.0,3.0
WI,2013-01-31,-14.59315789473684,-9.43191489361702,-4.242553191489362,6.009030100334448,75.51539513627829,2.0,0.0,0.0,1.0,0.0,1.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0
WI,2013-02-01,-22.880000000000003,-17.583589743589744,-12.287179487179488,0.2,70.25788325476393,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
WI,2013-02-02,-21.833157894736843,-17.71263157894737,-13.593717277486911,1.2704918032786885,72.3843263920241,10.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
WI,2013-02-03,-18.60210526315789,-14.584736842105263,-10.575916230366492,0.2411764705882353,74.02436192620928,9.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0
WI,2013-02-04,-17.859375,-13.375916230366492,-8.912565445026178,1.2527868852459014,71.51135686995462,14.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
WI,2013-02-05,-18.476041666666667,-12.7546875,-7.007772020725389,1.0019417475728156,77.51833665201647,18.0,7.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0
WI,2013-02-06,-19.57894736842105,-11.64157894736842,-3.696335078534031,0.907142857142857,80.76662695691556,23.0,10.0,0.0,1.0,0.0,2.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,6.0,0.0,0.0,3.0
WI,2013-02-07,-15.121761658031089,-8.44481865284974,-1.7678756476683937,2.2150159744408944,90.59219374502838,28.0,8.0,0.0,4.0,0.0,14.0,8.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,2.0,6.0,1.0,0.0,0.0
WI,2013-02-08,-11.3578125,-6.602864583333333,-1.8352331606217616,6.769677419354839,80.38590603872944,18.0,0.0,0.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
WI,2013-02-09,-16.253645833333334,-9.752083333333331,-3.2505208333333333,0.057190635451505,85.9145054796282,30.0,5.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0
WI,2013-02-10,-8.994240837696335,-4.696335078534031,-0.3984293193717277,1.4037037037037037,91.20292624175084,34.0,8.0,1.0,7.0,0.0,11.0,10.0,0.0,0.0,0.0,3.0,2.0,0.0,7.0,2.0,4.0,0.0,0.0,1.0
WI,2013-02-11,-3.9739583333333335,-0.431151832460733,3.1244791666666667,11.162458471760798,87.989739801951,25.0,0.0,0.0,13.0,0.0,12.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,7.0,5.0,0.0,0.0
WI,2013-02-12,-7.654166666666666,-3.9533854166666655,-0.2526041666666667,0.2284313725490196,77.7020836874933,9.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
WI,2013-02-13,-8.716666666666667,-4.586197916666666,-0.4557291666666667,0.0366336633663366,83.69236696767582,20.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0
WI,2013-02-14,-7.0528497409326425,-2.368134715025907,2.316580310880829,2.1266881028938904,85.18310284668034,23.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,7.0,3.0,0.0,0.0
