STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
IL,2014-01-01,-11.155223880597015,-6.856343283582089,-2.557462686567164,1.7793499043977057,79.40841425529938,13.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
IL,2014-01-02,-12.638059701492535,-7.827985074626866,-3.1,4.942401500938086,81.58102195749315,13.0,0.0,0.0,2.0,0.0,2.0,8.0,1.0,0.0
IL,2014-01-03,-20.70217391304348,-13.997426470588236,-7.241176470588235,0.4717017208413002,76.17821653841933,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
IL,2014-01-04,-15.653676470588236,-8.5875,-1.5213235294117649,0.1881422924901185,68.93811854817235,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
IL,2014-01-05,-11.529545454545456,-5.231439393939394,1.0666666666666669,7.204678362573099,85.11136975756557,13.0,6.0,0.0,2.0,0.0,3.0,8.0,2.0,1.0
IL,2014-01-06,-24.996268656716417,-17.249624060150374,-9.507518796992482,6.721729957805907,66.39450488497839,2.0,0.0,0.0,3.0,0.0,1.0,13.0,6.0,4.0
IL,2014-01-07,-24.761194029850746,-21.03320895522388,-17.305223880597016,0.0,67.96004006969814,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
IL,2014-01-08,-20.40833333333333,-14.810687022900764,-9.264885496183206,0.0025896414342629,73.61329666684867,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
IL,2014-01-09,-14.22074074074074,-9.65037037037037,-5.079411764705882,0.2153696498054474,82.53826000666085,17.0,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0
IL,2014-01-10,-8.133088235294117,-3.271691176470588,1.589705882352941,1.8946534653465343,94.65748580457108,55.0,6.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0
IL,2014-01-11,-0.6305970149253731,2.274626865671642,5.180882352941176,17.34776119402985,90.00121741396994,35.0,5.0,4.0,0.0,0.0,5.0,7.0,0.0,0.0
IL,2014-01-12,-2.942537313432836,1.2988636363636366,5.551515151515151,0.0557504873294346,81.00325179828118,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
IL,2014-01-13,-1.5147058823529411,3.489705882352941,8.494117647058824,0.1116634799235181,72.05793205121913,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IL,2014-01-14,-3.994202898550725,1.7062043795620438,7.411678832116788,0.0889513108614232,81.43333523269804,15.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0
IL,2014-01-15,-8.902205882352941,-3.542222222222222,1.777037037037037,0.368785046728972,69.48735917326626,6.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,1.0
IL,2014-01-16,-9.189051094890512,-4.769485294117647,-0.3514705882352941,0.314366729678639,76.26221254160892,10.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
IL,2014-01-17,-12.069565217391304,-5.403260869565218,1.2630434782608695,0.483921568627451,72.92583836667652,12.0,0.0,0.0,2.0,0.0,0.0,10.0,1.0,0.0
