STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
MI,2014-01-01,-16.898421052631576,-13.772368421052631,-10.646315789473684,1.6624242424242426,80.41219916136026,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
MI,2014-01-02,-17.889690721649483,-14.716494845360824,-11.543298969072165,2.6045045045045043,81.24139581686705,12.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0
MI,2014-01-03,-22.77577319587629,-16.812886597938142,-10.85,0.8093093093093093,78.35581380415609,4.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
MI,2014-01-04,-17.284736842105264,-11.089210526315789,-4.894240837696335,1.4239520958083831,76.14204076775881,14.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0
MI,2014-01-05,-11.13031914893617,-7.004521276595744,-2.844791666666667,5.245697329376855,87.52164371184377,14.0,8.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0
MI,2014-01-06,-18.39421052631579,-12.794973544973544,-7.25421052631579,8.44585798816568,82.69904658814438,7.0,2.0,0.0,0.0,0.0,0.0,7.0,9.0,3.0
MI,2014-01-07,-24.11322751322751,-19.408244680851062,-14.731382978723405,1.7240356083086052,78.02508804111237,2.0,3.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
MI,2014-01-08,-22.1171875,-17.696614583333332,-13.276041666666666,0.573293768545994,80.24457345730681,6.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
MI,2014-01-09,-21.29948453608248,-15.000257731958763,-8.70103092783505,0.2269794721407624,82.95698327709493,12.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
MI,2014-01-10,-15.981025641025642,-9.177692307692308,-2.4263959390862944,1.5876080691642651,91.60490912534269,28.0,8.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0
MI,2014-01-11,-3.785185185185185,-0.3134920634920635,3.164736842105263,11.545074626865672,95.82275920978374,40.0,8.0,0.0,1.0,0.0,8.0,2.0,0.0,2.0
MI,2014-01-12,-1.7621052631578948,0.6097368421052631,2.981578947368421,0.9790123456790124,84.66128495579521,9.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
MI,2014-01-13,-1.512690355329949,1.1302030456852792,3.773096446700508,0.0643067846607669,82.2277048138498,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MI,2014-01-14,-5.2915,-1.0905,3.1105,0.3426136363636363,84.1047435180449,18.0,3.0,0.0,0.0,0.0,5.0,11.0,0.0,2.0
MI,2014-01-15,-8.42908163265306,-4.5984693877551015,-0.7355329949238579,2.9634285714285715,82.57568703919445,13.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,0.0
MI,2014-01-16,-9.397969543147209,-6.8365482233502535,-4.2751269035533,1.2194285714285715,84.56150759690138,11.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0
MI,2014-01-17,-8.39746192893401,-5.5626903553299485,-2.720100502512562,3.2271428571428573,88.14680495563529,16.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
MI,2014-01-18,-11.804188481675393,-7.875263157894737,-3.9366492146596856,0.643620178041543,85.39033364949795,15.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
MI,2014-01-19,-12.04502617801047,-7.857853403141361,-3.670680628272252,0.9296072507552868,86.47735969105251,15.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,2.0
MI,2014-01-20,-12.746113989637308,-7.856770833333333,-2.9760416666666667,0.6032934131736527,80.82537808411206,9.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0
MI,2014-01-21,-20.463589743589743,-15.041666666666666,-9.5921875,0.5378048780487805,75.04013691591565,5.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
MI,2014-01-22,-21.866326530612245,-17.109948979591838,-12.35357142857143,0.7,80.67175715519537,9.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
MI,2014-01-23,-19.672727272727272,-15.729545454545454,-11.786363636363635,2.4873529411764705,81.47955505198186,9.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0
MI,2014-01-24,-21.366497461928933,-15.60456852791878,-9.842639593908627,0.9239393939393938,80.85993248915189,10.0,3.0,0.0,0.0,0.0,0.0,14.0,5.0,4.0
MI,2014-01-25,-16.797894736842103,-10.89315789473684,-4.988541666666666,5.416720257234727,81.4926606959592,12.0,5.0,0.0,0.0,0.0,0.0,9.0,4.0,3.0
MI,2014-01-26,-18.70691489361702,-13.572340425531914,-8.437765957446809,1.850974025974026,82.08492524311261,13.0,1.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0
MI,2014-01-27,-19.115463917525773,-14.167010309278352,-9.218556701030929,3.384639498432602,78.34112920575278,10.0,5.0,0.0,0.0,0.0,0.0,12.0,7.0,1.0
