STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
IA,2015-01-01,-17.12463768115942,-10.92753623188406,-4.730434782608695,0.0,67.04133992805369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-01-02,-11.097058823529412,-5.355555555555555,0.3834532374100719,0.0049056603773584,76.91374101738816,5.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
IA,2015-01-03,-9.635555555555555,-4.657835820895523,0.2940740740740741,0.3690839694656488,85.03089980371267,23.0,7.0,0.0,4.0,0.0,3.0,8.0,0.0,0.0,0.0
IA,2015-01-04,-16.677777777777777,-8.710820895522389,-0.7440298507462687,2.303921568627451,75.23152199100312,13.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,0.0
IA,2015-01-05,-20.917857142857144,-16.902573529411764,-12.855882352941178,0.6325757575757576,71.83763132002292,14.0,9.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
IA,2015-01-06,-22.186013986013982,-17.23838028169014,-12.306338028169014,5.298161764705882,79.91370580886232,12.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0
IA,2015-01-07,-22.32836879432624,-17.579285714285714,-12.84142857142857,0.0274074074074074,66.93285430619216,2.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0
IA,2015-01-08,-23.82246376811594,-18.24671532846716,-12.65912408759124,0.0583643122676579,71.1392915434844,10.0,5.0,0.0,1.0,0.0,0.0,7.0,10.0,0.0,1.0
IA,2015-01-09,-18.986524822695035,-12.949642857142855,-6.915714285714286,0.3309701492537313,68.05782290708402,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0
IA,2015-01-10,-20.979562043795617,-15.474632352941178,-9.95441176470588,0.0,68.3197813092487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-01-11,-16.40071942446043,-9.267028985507244,-2.139130434782609,0.0417624521072797,70.2999043186359,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-01-12,-16.3136690647482,-10.066423357664233,-3.8686131386861313,0.1722222222222222,71.28616370177133,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-01-13,-23.138571428571428,-16.53535714285714,-9.932142857142855,0.0010948905109489,73.94692286537106,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-01-14,-20.164285714285715,-12.79714285714286,-5.430000000000001,0.0,75.68475308529436,12.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
IA,2015-01-15,-9.654285714285711,-5.208992805755395,-0.7618705035971224,0.0,81.27563716274294,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IA,2015-01-16,-8.157142857142857,-1.935251798561151,4.281294964028777,0.0,81.98621331589368,20.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-01-17,-4.577697841726619,1.4706521739130434,7.489928057553956,0.0030075187969924,72.18787141414124,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IA,2015-01-18,-2.530935251798561,2.065693430656934,6.65912408759124,0.0154716981132075,75.25076884286318,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-01-19,-4.99568345323741,1.1047445255474453,7.156934306569343,0.1026022304832713,83.53632674875072,10.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
IA,2015-01-20,-3.3579710144927533,1.6054744525547444,6.556934306569342,0.2498168498168498,83.77945346240162,12.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
IA,2015-01-21,-1.9419117647058823,1.2266666666666666,4.446323529411765,0.6053030303030302,85.38938944140558,10.0,0.0,0.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0
IA,2015-01-22,-3.99136690647482,-1.6010948905109488,0.7824817518248175,0.1179775280898876,83.23031142182255,11.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0
IA,2015-01-23,-5.919424460431654,-2.4144927536231884,1.092753623188406,0.0,79.35994101118924,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IA,2015-01-24,-5.037593984962406,0.3140151515151515,5.672388059701492,0.0637795275590551,79.81293441850323,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-01-25,-3.415151515151515,1.9087786259541983,7.229007633587786,1.97175572519084,86.97617057995713,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-01-26,-4.23768115942029,-0.6025735294117647,3.005147058823529,0.9361538461538462,83.92215972258397,8.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
IA,2015-01-27,-3.5285714285714285,1.791726618705036,7.133571428571429,0.1739622641509434,84.57539077736504,15.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IA,2015-01-28,-3.184507042253521,0.9769503546099292,5.125531914893617,0.0,85.41128751117063,27.0,4.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0
IA,2015-01-29,-3.15177304964539,1.2885714285714287,5.715714285714286,0.0037174721189591,83.00290390319041,18.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0
IA,2015-01-30,-10.274468085106385,-4.602877697841726,1.0402877697841726,0.0029739776951672,72.33128373307022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-01-31,-8.781884057971014,-3.898175182481752,0.9525547445255474,1.0507575757575758,82.5445425275584,16.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0
IA,2015-02-01,-7.8606060606060595,-3.4729007633587785,0.9090909090909092,19.432818532818533,93.44579073536356,17.0,8.0,0.0,0.0,0.0,1.0,7.0,5.0,0.0,0.0
IA,2015-02-02,-21.26714285714285,-13.478571428571428,-5.69,4.2828793774319065,77.50178858884547,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
IA,2015-02-03,-20.02867647058824,-14.610294117647058,-9.202189781021898,0.0575187969924812,83.62597967012455,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
IA,2015-02-04,-16.030656934306567,-10.705839416058394,-5.38102189781022,0.770566037735849,83.37022046679095,12.0,2.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
IA,2015-02-05,-24.758273381294966,-16.7507299270073,-8.718978102189782,0.6747126436781609,76.08171406857956,10.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
IA,2015-02-06,-20.9268115942029,-12.877536231884058,-4.849640287769784,0.0,75.24474576493542,13.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IA,2015-02-07,-7.764705882352941,-2.156617647058824,3.434306569343066,0.0,87.90489837870314,22.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
IA,2015-02-08,-2.928985507246377,1.6094202898550725,6.147826086956521,0.1723735408560311,89.08428017954098,28.0,0.0,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0
IA,2015-02-09,-3.267391304347826,-0.2159420289855072,2.835507246376812,0.0477272727272727,86.05535773841828,16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
IA,2015-02-10,-6.1036231884057965,-3.1386029411764707,-0.1698529411764706,0.0167300380228136,86.80623975017379,17.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0
IA,2015-02-11,-8.106569343065694,-3.050735294117647,2.023529411764706,0.061977186311787,80.44807960164806,9.0,0.0,0.0,5.0,0.0,4.0,2.0,2.0,0.0,0.0
IA,2015-02-12,-17.232142857142858,-10.791428571428572,-4.350714285714286,0.0059701492537313,67.32871052758625,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IA,2015-02-13,-15.820863309352518,-10.789208633093525,-5.757553956834533,0.0396946564885496,71.9949512045729,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
IA,2015-02-14,-13.072992700729928,-6.2226277372262775,0.6277372262773723,0.0077821011673151,64.9793585575094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
IA,2015-02-15,-16.77173913043478,-13.11824817518248,-9.45985401459854,0.0,56.37136549717573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-02-16,-15.210294117647058,-11.933333333333334,-8.683703703703703,0.0019083969465648,64.21377958228132,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IA,2015-02-17,-13.481428571428571,-9.051079136690646,-4.639568345323741,0.010566037735849,69.6129158236464,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
IA,2015-02-18,-19.22142857142857,-13.751798561151078,-8.292086330935252,0.0350746268656716,60.02745228304038,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
IA,2015-02-19,-21.81428571428572,-17.02517985611511,-12.263309352517984,0.0,59.71500518473159,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-02-20,-19.15839416058394,-12.881985294117648,-6.652941176470589,0.039922480620155,60.31410482315137,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IA,2015-02-21,-11.257352941176473,-5.17074074074074,0.848529411764706,0.019140625,78.3586571777706,16.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
IA,2015-02-22,-16.896323529411767,-10.224444444444444,-3.562962962962963,0.00234375,60.06178707306106,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-02-23,-22.374285714285715,-16.225539568345322,-10.107913669064748,0.0,57.63016407897239,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-02-24,-18.981159420289856,-11.505797101449277,-4.030434782608696,0.0,57.27991588477209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2015-02-25,-10.724460431654675,-4.379136690647482,1.9661870503597123,0.6330827067669174,69.04076204405763,14.0,9.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0
IA,2015-02-26,-19.83450704225352,-12.76056338028169,-5.686619718309859,4.6507299270073,71.59112899172372,4.0,0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0
IA,2015-02-27,-25.615384615384617,-19.020422535211267,-12.425352112676055,0.0,71.2491265534829,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2015-02-28,-24.531654676258995,-17.091366906474818,-9.651079136690647,0.0167938931297709,72.70770906762945,14.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
IA,2015-03-01,-18.558992805755395,-11.746043165467626,-4.933093525179856,0.1433460076045627,80.70596136727964,22.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
IA,2015-03-02,-14.23404255319149,-7.686524822695035,-1.1076923076923078,0.031060606060606,74.7271527709127,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
