STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
ND,2015-01-01,-12.85357142857143,-7.6797619047619055,-2.5352941176470587,0.0855855855855855,80.01659451409581,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2015-01-02,-10.556818181818182,-5.728977272727272,-0.9011363636363636,0.2289473684210526,86.72711521397241,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2015-01-03,-20.32588235294118,-11.474117647058822,-2.8046511627906976,1.6920353982300884,79.62407408722324,8.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0
ND,2015-01-04,-26.75,-22.19302325581395,-17.636046511627907,0.0798245614035087,72.63469608426229,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ND,2015-01-05,-28.021348314606744,-23.88314606741573,-19.74494382022472,0.7359649122807017,73.35263189360586,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
ND,2015-01-06,-24.905617977528088,-20.991011235955057,-17.07777777777778,0.861864406779661,74.13445648907637,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
ND,2015-01-07,-26.252808988764045,-21.08820224719101,-15.923595505617978,0.1728070175438596,71.23114426509514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2015-01-08,-23.414772727272727,-16.854545454545455,-10.297752808988765,0.3585585585585585,76.9308843134918,5.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,1.0
ND,2015-01-09,-22.072222222222223,-17.37303370786517,-12.619101123595504,0.3241071428571428,70.25213960583966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
ND,2015-01-10,-23.685714285714283,-19.122619047619047,-14.636470588235293,0.0223214285714285,69.8775983641839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2015-01-11,-21.695348837209306,-17.326162790697673,-12.956976744186044,0.1307017543859649,71.09031620237528,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
