STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
OH,2015-01-01,-8.834313725490196,-4.791176470588235,-0.7480392156862745,0.0094339622641509,56.076282536164655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2015-01-02,-5.890384615384615,-1.7721153846153848,2.3461538461538463,0.0771217712177121,66.52588398612507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
OH,2015-01-03,-3.4480392156862743,2.1666666666666665,7.781372549019609,9.338970588235291,86.66240320903617,17.0,1.0,2.0,1.0,0.0,9.0,0.0,0.0,0.0
OH,2015-01-04,-1.846,5.525,12.896,22.314855072463768,87.5174208066168,15.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0
OH,2015-01-05,-10.735294117647058,-3.485294117647059,3.764705882352941,1.647037037037037,69.5123009649541,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0
OH,2015-01-06,-11.702912621359223,-9.577184466019418,-7.451456310679611,4.447955390334572,75.64644619673844,11.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
OH,2015-01-07,-14.692307692307692,-11.457211538461538,-8.222115384615385,0.5254612546125461,68.3265472084331,6.0,2.0,0.0,0.0,0.0,0.0,9.0,4.0,1.0
OH,2015-01-08,-20.296116504854368,-14.701941747572816,-9.107766990291262,0.3377862595419847,65.48995102880903,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
OH,2015-01-09,-18.262135922330096,-12.180582524271845,-6.099029126213592,1.179770992366412,67.87491969657411,7.0,5.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0
OH,2015-01-10,-19.21078431372549,-13.379901960784316,-7.549019607843137,0.1273437499999999,64.31164690826355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2015-01-11,-14.018627450980391,-7.919607843137254,-1.8205882352941176,0.5877470355731225,55.394003450540254,11.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0
OH,2015-01-12,-6.322330097087379,-2.5898058252427183,1.1427184466019418,8.056296296296296,88.85937829167142,18.0,2.0,0.0,1.0,0.0,12.0,7.0,1.0,0.0
OH,2015-01-13,-11.773076923076925,-6.787019230769231,-1.8009615384615385,1.2104247104247103,74.13014223950921,7.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0
OH,2015-01-14,-14.858252427184468,-10.408252427184465,-5.958252427184466,0.031578947368421,77.22558388264697,10.0,3.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
OH,2015-01-15,-13.24757281553398,-8.133009708737864,-3.0184466019417475,0.0206106870229007,73.16300959563132,11.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
OH,2015-01-16,-8.383495145631068,-3.685922330097087,0.9855769230769232,0.0052044609665427,74.69685932596158,8.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
OH,2015-01-17,-7.212000000000001,-1.064,5.03960396039604,0.0326848249027237,73.8609136456482,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
OH,2015-01-18,-2.6260000000000003,2.704,8.033999999999999,1.0173584905660378,71.24307570065085,8.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0
OH,2015-01-19,-2.351485148514852,1.4222772277227724,5.196039603960395,0.4305882352941176,80.81544128746846,10.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
OH,2015-01-20,-2.0294117647058822,1.7401960784313726,5.509803921568627,0.256060606060606,82.55237225172016,11.0,2.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0
OH,2015-01-21,-1.549514563106796,1.5150485436893204,4.579611650485437,1.1325842696629214,85.45254461566257,17.0,4.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0
OH,2015-01-22,-2.0682692307692307,0.1557692307692307,2.3798076923076925,1.269485294117647,83.5954237982708,16.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
OH,2015-01-23,-2.835576923076923,-1.1009615384615383,0.6336538461538462,0.0245283018867924,75.97133032592656,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
