STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
SD,2015-01-01,-14.990140845070425,-8.527816901408451,-2.065492957746479,0.0022988505747126,73.14970866412312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2015-01-02,-9.63450704225352,-4.2936619718309865,1.0471830985915491,0.0513207547169811,80.2589199117658,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2015-01-03,-15.281818181818185,-7.731468531468531,-0.1811188811188811,0.2890566037735849,81.11348323477073,10.0,2.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,1.0
SD,2015-01-04,-22.670422535211262,-17.017957746478874,-11.36549295774648,0.5857677902621723,75.00978482675197,2.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0
SD,2015-01-05,-22.95845070422536,-17.058450704225354,-11.158450704225352,1.0182835820895522,78.42522764403617,11.0,5.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0
SD,2015-01-06,-20.26879432624113,-14.923404255319149,-9.578014184397164,2.217437722419929,79.35659186893585,5.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0
SD,2015-01-07,-22.73028169014085,-16.330281690140847,-9.930281690140845,0.4191011235955056,71.14297497643038,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0
SD,2015-01-08,-19.91197183098592,-11.120422535211269,-2.3867132867132868,0.1177606177606177,72.70500591061317,3.0,1.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,1.0
SD,2015-01-09,-20.162937062937065,-13.493356643356645,-6.823776223776224,0.0988593155893536,65.9760752049283,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0
SD,2015-01-10,-19.095104895104896,-12.514335664335665,-5.933566433566433,0.0069498069498069,69.31065641632213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2015-01-11,-16.321678321678323,-10.98111888111888,-5.640559440559441,0.0023346303501945,75.69662695697969,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SD,2015-01-12,-21.53986013986014,-15.586013986013988,-9.632167832167832,0.0114068441064638,77.21747594435203,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2015-01-13,-20.692307692307693,-13.884265734265735,-7.076223776223776,0.0103053435114503,78.54855124818238,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
SD,2015-01-14,-14.105594405594404,-7.545454545454546,-0.9853146853146854,0.0507518796992481,77.34149722290506,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SD,2015-01-15,-7.940140845070423,-2.3630281690140844,3.214084507042253,0.015057915057915,74.23882015245854,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2015-01-16,-6.75625,-0.6715277777777778,5.413194444444445,0.0231939163498098,76.00830717753507,14.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
SD,2015-01-17,-4.122916666666667,0.8652777777777777,5.853472222222222,0.0458015267175572,74.41331731546391,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
SD,2015-01-18,-4.163636363636363,1.347902097902098,6.859440559440559,0.013953488372093,67.90890702460595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SD,2015-01-19,-2.500699300699301,2.6283216783216785,7.757342657342657,0.115648854961832,73.33220213365456,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
SD,2015-01-20,-2.237762237762238,1.7104895104895104,5.658741258741259,0.5902621722846442,78.78872030325627,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SD,2015-01-21,-5.411888111888112,-1.9419580419580416,1.527972027972028,0.955350553505535,83.98071428353656,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SD,2015-01-22,-9.958741258741258,-3.774825174825175,2.409090909090909,0.1224719101123595,76.33137340615833,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2015-01-23,-5.654166666666667,0.2635416666666666,6.18125,0.0,68.58881487919535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
