STATE,DATE,TMIN,TAVG,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
TN,2015-01-01,-5.533783783783784,-1.2763513513513514,2.981081081081081,0.0274774774774774,68.8959796151105,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2015-01-02,-1.1967320261437908,2.0444444444444447,5.28562091503268,0.5451541850220264,81.50719625548282,13.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0
TN,2015-01-03,3.4533783783783787,8.227702702702704,13.002027027027026,3.857174392935982,91.26579703825888,14.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
TN,2015-01-04,5.031578947368421,10.47549668874172,15.897350993377485,25.48972746331237,82.82234954531474,9.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
TN,2015-01-05,-5.684967320261437,1.869934640522876,9.42483660130719,0.7086283185840708,64.96165897986128,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2015-01-06,-5.925827814569536,-1.3195364238410596,3.2867549668874174,0.0853070175438596,64.69341466848036,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-07,-7.266666666666667,-1.874,3.4735099337748343,0.0142857142857142,62.45962874032264,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
TN,2015-01-08,-16.326623376623377,-9.611363636363636,-2.896103896103896,0.0159737417943107,52.92717322474872,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-09,-13.4562091503268,-7.277124183006537,-1.105194805194805,0.0011111111111111,44.70341791505515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-10,-12.81721854304636,-5.759271523178808,1.2986754966887415,0.0040358744394618,49.64007199603245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-11,-9.364900662251657,-2.7466666666666666,3.874834437086093,0.311529933481153,56.75345371388557,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-12,-0.3987179487179487,3.52948717948718,7.457692307692308,13.910042735042737,87.69611399299978,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-13,-0.8500000000000001,2.803246753246753,6.456493506493507,12.028540772532187,86.91517872408924,13.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
TN,2015-01-14,-2.3546052631578944,-0.2526315789473684,1.849342105263158,0.3953436807095344,81.70444257708274,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
TN,2015-01-15,-4.025161290322581,-0.8,2.4251612903225803,0.1485393258426966,80.6647826325384,10.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
TN,2015-01-16,-4.798026315789474,0.1039473684210526,5.005921052631579,0.2035874439461883,71.82898270406582,13.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
TN,2015-01-17,-4.292763157894737,3.5730263157894737,11.438815789473685,0.0100227790432801,63.98771254987869,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-18,-1.1906666666666663,6.304,13.798666666666668,0.2964523281596452,50.62419553336284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-19,-0.6208053691275168,6.988926174496644,14.582666666666666,0.0293577981651376,49.33010718393356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-20,0.1934640522875816,8.5218954248366,16.85032679738562,0.0041284403669724,54.60764516673787,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2015-01-21,-0.7640522875816994,7.291503267973855,15.34705882352941,0.0176870748299319,59.70555924299276,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-22,-1.4763157894736842,5.1078947368421055,11.692105263157895,0.0452054794520547,66.59521991133724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-23,-0.1328947368421053,3.029934210526316,6.192763157894737,3.5851528384279474,78.67324735937632,11.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,0.0
TN,2015-01-24,-1.916107382550336,1.7197986577181208,5.355704697986577,11.114125560538117,78.74547620943954,12.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
TN,2015-01-25,-2.089189189189189,3.744932432432433,9.579054054054057,0.6228971962616823,72.33515934478072,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TN,2015-01-26,-1.081456953642384,4.399668874172185,9.880794701986757,4.078947368421052,80.42333882717918,8.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
TN,2015-01-27,-1.80974025974026,1.177922077922078,4.165584415584416,0.5771618625277162,78.80111426534293,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
TN,2015-01-28,-3.9464052287581697,1.153921568627451,6.254248366013072,0.1298405466970387,62.54618466442498,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2015-01-29,-2.264900662251656,4.508940397350994,11.282781456953645,0.1954233409610984,56.1042671520908,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2015-01-30,-0.8933774834437086,6.285099337748345,13.463576158940397,0.283644859813084,59.84189392956026,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
TN,2015-01-31,-5.677857142857143,0.6521428571428571,6.982142857142857,0.0077858880778588,58.1852488956704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2015-02-01,-1.4923611111111112,3.968402777777778,9.429166666666667,1.7723557692307692,57.44816229207418,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
