STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT11
NC,2016-01-01,10.508157894736842,6.156284153005464,78.56973907121966,5.905263157894737,15.111052631578946,10.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2016-01-02,5.136436170212765,0.0972582972582972,62.08669735398693,-0.2696808510638298,10.542857142857144,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC,2016-01-03,4.455585106382979,0.0023255813953488,69.65123780708339,-1.6473684210526316,10.56436170212766,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC,2016-01-04,3.213020833333333,0.2279554937413073,63.05108963929355,-1.925520833333333,8.3515625,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC,2016-01-05,-1.0507936507936508,0.0808683853459972,48.1733236184264,-5.780729166666667,3.751578947368421,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC,2016-01-06,-0.3652849740932642,0.0598360655737704,60.3220092221758,-6.330051813471503,5.610824742268041,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC,2016-01-07,3.747135416666667,0.0456431535269709,77.67433247821032,-2.1026041666666666,9.607772020725388,15.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC,2016-01-08,6.997105263157895,0.5863201094391245,92.50962133266684,3.148421052631579,10.8484375,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2016-01-09,8.38770053475936,2.5020408163265304,95.1976429033615,5.800534759358289,11.002127659574468,27.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2016-01-10,9.167277486910995,8.31812255541069,81.08426557892403,4.514583333333333,13.781675392670158,18.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
NC,2016-01-11,3.2693298969072164,0.3536011080332409,49.75102187181841,-4.218556701030928,10.784615384615384,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2016-01-12,1.8191709844559585,0.0076177285318559,53.49002824540307,-4.694845360824743,8.354358974358973,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
NC,2016-01-13,2.2489583333333334,0.0184466019417475,41.02624133457002,-4.160416666666666,8.654639175257731,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
