STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
ND,2016-01-01,-7.231111111111111,0.0024193548387096,77.48626494091779,-11.045555555555556,-3.4166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-01-02,-6.195555555555556,0.0,74.2818245153299,-10.27111111111111,-2.120879120879121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-01-03,-8.664285714285715,0.0,85.63940357731246,-14.87912087912088,-2.4228260869565217,4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2016-01-04,-8.820108695652175,0.0,86.10428648985219,-14.820652173913045,-2.8010752688172045,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2016-01-05,-8.195555555555556,0.0,84.92417052903788,-12.77,-3.636263736263736,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2016-01-06,-8.092553191489362,0.0244094488188976,90.789157696006,-11.74255319148936,-4.442553191489362,18.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ND,2016-01-07,-7.591489361702128,0.7544776119402985,94.38138036171816,-9.752127659574468,-5.430851063829787,21.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ND,2016-01-08,-10.39095744680851,0.4,89.76088349478431,-14.348936170212763,-6.432978723404256,11.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0
ND,2016-01-09,-18.26868131868132,0.0527131782945736,78.08665552910824,-23.552747252747256,-12.984615384615385,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
ND,2016-01-10,-21.58494623655914,0.0061068702290076,80.6506234082612,-27.3505376344086,-15.819354838709678,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
ND,2016-01-11,-17.093548387096774,0.0624060150375939,83.54462542594318,-23.225806451612904,-11.004255319148935,7.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0
ND,2016-01-12,-15.875268817204304,0.2259259259259259,80.98943005124893,-22.433333333333334,-9.317204301075268,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2016-01-13,-11.570652173913045,0.1078125,86.92102934935131,-18.23010752688172,-5.003260869565217,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
ND,2016-01-14,-7.835483870967742,0.9776,89.78617988384863,-12.623655913978494,-3.008510638297873,7.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,0.0
ND,2016-01-15,-12.256989247311829,2.017692307692308,84.8240197629228,-17.217021276595744,-7.279569892473118,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2016-01-16,-20.5125,0.1792,75.95758225019152,-26.5858695652174,-14.43913043478261,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ND,2016-01-17,-23.36684782608696,0.0040322580645161,74.52524154783616,-27.78817204301076,-18.957608695652173,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2016-01-18,-19.847252747252742,0.142063492063492,79.64770038955132,-24.428571428571427,-15.265934065934069,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2016-01-19,-14.804891304347825,0.5141732283464566,86.91648516982755,-19.90543478260869,-9.704347826086956,13.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2016-01-20,-10.129032258064516,0.1140625,92.81843492431112,-14.478494623655914,-5.779569892473118,21.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ND,2016-01-21,-9.793010752688172,0.1976923076923077,92.15196146040108,-12.895698924731182,-6.619148936170213,21.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
ND,2016-01-22,-9.66263157894737,0.23359375,91.10146662573496,-13.875789473684211,-5.451041666666666,13.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0
ND,2016-01-23,-4.594565217391304,0.0,85.44097247069435,-9.364893617021275,0.1369565217391304,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
ND,2016-01-24,-2.8387640449438205,0.0891666666666666,93.19234234093716,-6.870786516853933,1.228888888888889,13.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
ND,2016-01-25,-5.317391304347826,0.3520325203252032,93.43204910146352,-7.484782608695652,-3.15,9.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2016-01-26,-5.641052631578948,0.027906976744186,88.48058675578147,-9.005263157894737,-2.2768421052631576,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-01-27,-2.6355555555555554,0.0088,82.97138717894273,-8.41,3.138888888888889,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
ND,2016-01-28,-0.5075268817204301,0.0224,85.56896610012701,-5.538709677419355,4.523655913978494,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ND,2016-01-29,0.2829787234042553,0.0080645161290322,83.16971982062859,-3.861702127659575,4.427659574468085,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-01-30,0.8945054945054945,0.1232,80.56396399128265,-3.354945054945055,5.143956043956044,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-01-31,-1.5794444444444444,0.065040650406504,87.54606420123322,-6.745555555555556,3.586666666666667,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-01,-3.044148936170213,0.0114503816793893,89.31117319752884,-8.291489361702128,2.203191489361702,10.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2016-02-02,-4.31595744680851,0.0046511627906976,86.36222911903123,-8.836170212765957,0.2042553191489361,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2016-02-03,-7.511956521739131,0.08984375,86.33725325895772,-12.827173913043476,-2.1967391304347825,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2016-02-04,-6.647311827956989,0.3903999999999999,81.26177903337525,-12.198924731182796,-1.0956989247311828,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-05,-5.04945652173913,0.1793388429752066,81.9765521180981,-10.303260869565218,0.2043478260869565,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-06,-1.146111111111111,0.1016,76.06203365935927,-6.85934065934066,4.5200000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-07,0.7752747252747253,0.4733870967741935,74.67193755825218,-4.067032967032968,5.652688172043011,4.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
ND,2016-02-08,-4.667741935483871,0.4312977099236641,75.13919501043313,-8.752127659574468,-0.4425531914893618,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
ND,2016-02-09,-5.869021739130435,0.0224,73.45456524524047,-10.059139784946236,-1.6543478260869564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-10,-6.783333333333333,0.7715447154471544,83.41665334452617,-11.110752688172042,-2.455913978494624,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2016-02-11,-9.713736263736264,0.8623999999999999,85.63189103258212,-13.076086956521738,-6.37912087912088,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2016-02-12,-13.648387096774194,0.5344262295081967,77.624545168174,-19.338297872340423,-7.888172043010753,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2016-02-13,-14.78722222222222,0.7902439024390243,77.96316048079142,-19.39333333333333,-10.227472527472528,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
ND,2016-02-14,-8.38426966292135,2.6024590163934427,88.21356704849714,-13.575280898876406,-3.193258426966292,5.0,1.0,0.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0
ND,2016-02-15,-3.109550561797753,0.2786885245901639,89.75786804591124,-8.185393258426966,1.910989010989011,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
ND,2016-02-16,-2.444086021505377,0.4825396825396825,91.74779890064728,-6.683870967741936,1.7956989247311828,10.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
ND,2016-02-17,-3.1888297872340425,0.2426356589147286,92.68934883818038,-6.36063829787234,-0.0170212765957446,21.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
ND,2016-02-18,-0.8391304347826087,0.1,95.29831858006315,-3.844565217391304,2.166304347826087,22.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0
ND,2016-02-19,2.288829787234042,1.0564885496183207,84.86338615314973,-1.396808510638298,5.974468085106383,13.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
ND,2016-02-20,2.1870786516853933,0.1504,85.30233851930024,-3.557303370786517,7.931460674157303,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2016-02-21,-2.4471910112359554,0.3238095238095237,87.11337213415047,-7.830337078651685,2.935955056179776,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ND,2016-02-22,-2.9104395604395608,0.1015625,85.14920893196397,-7.619780219780219,1.7989010989010992,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2016-02-23,0.0205555555555555,0.1234375,83.35168785736,-5.172222222222223,5.1923076923076925,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2016-02-24,-1.717032967032967,0.044,86.86109434087312,-6.78021978021978,3.3521739130434782,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2016-02-25,-2.880434782608696,0.1168,76.23352813560743,-7.223913043478261,1.4630434782608694,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-26,-0.8033707865168539,0.0,69.55419558278565,-6.83370786516854,5.226966292134831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-27,4.3597701149425285,0.0024193548387096,64.01760142295984,-3.532183908045977,12.226136363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-02-28,3.002247191011236,0.0368,79.82337906366176,-5.031460674157303,11.073333333333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
ND,2016-02-29,-5.958720930232559,0.1388429752066115,69.04897386970443,-15.208139534883722,3.2906976744186047,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
ND,2016-03-01,-10.573936170212766,0.2109375,73.7582244937718,-15.376595744680852,-5.7712765957446805,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2016-03-02,-5.358241758241758,0.2448,81.6370920867961,-10.242857142857144,-0.5591397849462365,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2016-03-03,-2.7016129032258065,0.4294573643410853,83.10377698214216,-6.023655913978495,0.5778947368421052,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2016-03-04,-0.9747368421052632,0.0407692307692307,83.56760590711335,-5.16,3.210526315789474,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
