STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
NE,2016-01-01,-7.040251572327045,0.0,70.00601588444883,-13.343396226415091,-0.7371069182389938,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2016-01-02,-4.194062499999999,0.0074666666666666,67.54700563139255,-11.06375,2.675625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2016-01-03,-3.8878125,0.0005434782608695,72.04110652191586,-10.815,3.039375,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
NE,2016-01-04,-5.619496855345912,0.0133971291866028,82.33406605074215,-12.227672955974842,0.9391304347826086,37.0,8.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
NE,2016-01-05,-4.345911949685535,0.0007444168734491,80.60526997663564,-10.264150943396226,1.555625,29.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
NE,2016-01-06,-1.4273584905660377,0.1545023696682464,85.02207489276772,-6.305660377358491,3.450943396226416,44.0,11.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0
NE,2016-01-07,-1.496078431372549,0.5802784222737819,92.83124805422572,-4.41437908496732,1.4222222222222225,74.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
NE,2016-01-08,-3.6405228758169934,4.791666666666667,91.4055884362221,-6.249019607843137,-1.0320261437908498,45.0,1.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0
NE,2016-01-09,-8.79313725490196,0.7323907455012852,82.3274289389333,-14.105882352941176,-3.461688311688312,12.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0
NE,2016-01-10,-12.697452229299364,0.0087765957446808,76.50677210834112,-19.61910828025477,-5.837974683544304,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
NE,2016-01-11,-7.133121019108281,0.0048543689320388,73.61951906218654,-14.224840764331212,-0.0414012738853503,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NE,2016-01-12,-4.378930817610063,0.0135922330097087,69.46409094464477,-11.30251572327044,2.5446540880503146,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2016-01-13,-2.778481012658228,0.0,69.98162157188337,-9.48987341772152,3.911949685534591,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2016-01-14,1.9126582278481008,0.00475,62.73924678738898,-4.818987341772152,8.610691823899371,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NE,2016-01-15,0.3544025157232704,0.0559405940594059,77.36190993632562,-5.588050314465409,6.29685534591195,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NE,2016-01-16,-5.275796178343949,0.1217158176943699,77.60805372057092,-10.41783439490446,-0.1337579617834395,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
NE,2016-01-17,-10.676774193548388,0.765891472868217,75.6871012946071,-17.82193548387097,-3.531612903225806,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
NE,2016-01-18,-12.3425,0.0974937343358395,76.96599842475098,-18.133125,-6.551875,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
