STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
SD,2016-01-01,-6.74136690647482,0.0121771217712177,71.14624733975444,-11.671942446043166,-1.8107913669064748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SD,2016-01-02,-4.602877697841726,0.0091911764705882,71.012300220071,-10.015827338129498,0.8100719424460431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2016-01-03,-6.364130434782608,0.0,78.22678556462816,-12.480434782608697,-0.2478260869565217,11.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SD,2016-01-04,-7.033571428571429,0.0007299270072992,80.0944378834878,-13.483571428571429,-0.5835714285714285,14.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SD,2016-01-05,-5.037857142857143,0.0,79.71012028783417,-10.531428571428572,0.4557142857142857,12.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SD,2016-01-06,-4.922302158273381,0.0048148148148148,87.67234867251771,-9.388489208633093,-0.4371428571428571,25.0,7.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
SD,2016-01-07,-5.0,0.1856088560885609,91.39256420797598,-7.890647482014388,-2.109352517985612,28.0,5.0,0.0,1.0,0.0,8.0,2.0,0.0,0.0
SD,2016-01-08,-6.831071428571429,1.024908424908425,89.07536742538342,-10.232142857142858,-3.43,20.0,3.0,0.0,3.0,0.0,7.0,9.0,0.0,0.0
SD,2016-01-09,-13.732142857142858,0.4602230483271375,80.95767601519093,-19.391428571428573,-8.072857142857144,8.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0
SD,2016-01-10,-16.532857142857143,0.0342105263157894,79.58698549058552,-23.054285714285715,-10.01142857142857,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SD,2016-01-11,-10.584642857142857,0.0298892988929889,79.24449273250829,-16.72714285714286,-4.442142857142857,6.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
SD,2016-01-12,-8.984782608695653,0.1070110701107011,78.05562516437053,-16.155797101449274,-1.8137681159420287,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SD,2016-01-13,-6.059352517985611,0.0074074074074074,77.42179899007247,-12.4431654676259,0.3244604316546762,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD,2016-01-14,-2.4913669064748203,0.1917602996254681,79.18172797883935,-7.985611510791367,3.0028776978417264,15.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
SD,2016-01-15,-5.475547445255474,0.5059040590405904,83.59838937052716,-10.345255474452554,-0.6058394160583942,9.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
SD,2016-01-16,-13.071376811594202,0.6217712177121771,80.49151882907486,-18.893478260869568,-7.249275362318841,9.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0
SD,2016-01-17,-19.11050724637681,0.2328358208955223,76.59429065656816,-24.465217391304343,-13.755797101449277,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
SD,2016-01-18,-16.455035971223023,0.0846441947565543,79.94012662914386,-21.85611510791367,-11.053956834532372,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
SD,2016-01-19,-10.657971014492754,0.4567765567765567,83.2029380655064,-15.955797101449276,-5.425179856115108,13.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
SD,2016-01-20,-6.221785714285714,0.2819188191881919,86.02507835077071,-10.794285714285715,-1.6492857142857142,15.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SD,2016-01-21,-4.9640287769784175,0.4547445255474452,88.94133071636588,-8.400719424460432,-1.527338129496403,23.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
SD,2016-01-22,-6.463120567375886,0.5202898550724637,86.31096661582004,-10.572340425531916,-2.3539007092198583,12.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
SD,2016-01-23,-3.654609929078014,0.0052044609665427,80.95147034388609,-8.843971631205674,1.5347517730496454,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SD,2016-01-24,-1.716187050359712,0.1470149253731343,86.95318731133422,-6.046043165467625,2.6136690647482017,18.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
SD,2016-01-25,-3.2417857142857143,1.8396428571428567,89.5558956214316,-5.961428571428572,-0.5221428571428571,19.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0
