STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
IN,2017-01-01,1.3115789473684212,0.0692307692307692,76.00035976428609,-4.372631578947368,6.99578947368421,8.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
IN,2017-01-02,3.331382978723404,0.7310880829015544,84.80057454104106,-1.5042553191489365,8.167021276595746,31.0,2.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
IN,2017-01-03,5.711170212765958,11.053398058252426,96.01490036792,1.9148936170212767,9.50744680851064,47.0,10.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0
IN,2017-01-04,-1.0152631578947369,6.344080604534005,75.80263624199556,-7.86421052631579,5.833684210526316,14.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
IN,2017-01-05,-8.132105263157895,0.5913157894736841,72.83927768566316,-11.21157894736842,-5.052631578947368,7.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0
IN,2017-01-06,-12.79468085106383,0.7767955801104972,70.7245427302795,-16.19787234042553,-9.391489361702128,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
IN,2017-01-07,-14.079999999999998,0.051063829787234,70.1547851306851,-18.050526315789472,-10.109473684210526,2.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0
IN,2017-01-08,-12.249468085106384,0.0830645161290322,66.21032425217153,-16.76808510638298,-7.730851063829788,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
IN,2017-01-09,-7.18494623655914,0.02,63.31744220071238,-12.221505376344084,-2.148387096774193,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2017-01-10,1.6962765957446808,1.3913265306122449,76.98501712259734,-3.877659574468085,7.270212765957447,13.0,0.0,11.0,1.0,0.0,6.0,4.0,0.0,2.0
IN,2017-01-11,5.476842105263158,6.875609756097561,87.11001741897213,-2.210526315789474,13.164210526315788,19.0,5.0,11.0,0.0,0.0,4.0,3.0,0.0,4.0
IN,2017-01-12,7.473157894736842,10.905489260143195,90.12348577922975,-0.756842105263158,15.703157894736842,26.0,1.0,18.0,2.0,0.0,4.0,2.0,0.0,1.0
IN,2017-01-13,1.015625,6.317603911980441,77.15323797798393,-3.920833333333333,5.952083333333333,4.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0
IN,2017-01-14,-1.2734375,2.307049608355092,81.15686195006032,-3.217708333333333,0.6708333333333334,16.0,0.0,0.0,1.0,0.0,8.0,5.0,0.0,0.0
IN,2017-01-15,-0.6152631578947368,2.628571428571429,85.4382178961312,-2.668421052631579,1.4378947368421051,18.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0
IN,2017-01-16,2.4821052631578944,1.9381818181818184,89.95871090231851,-0.8778947368421053,5.8968750000000005,24.0,3.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0
IN,2017-01-17,7.733854166666667,14.415942028985508,93.24573986900042,2.4791666666666665,12.988541666666668,27.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0
IN,2017-01-18,4.988297872340425,0.7014527845036319,92.24904624591608,1.680851063829787,8.284210526315789,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
IN,2017-01-19,3.4105263157894736,1.089578163771712,89.54804707251061,1.3926315789473684,5.428421052631579,22.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0
IN,2017-01-20,6.6390625000000005,24.713470319634705,93.16556272707028,3.623958333333333,9.654166666666669,22.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0
IN,2017-01-21,10.624193548387096,0.4058974358974359,85.26441033612582,6.493548387096774,14.704255319148936,20.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0
IN,2017-01-22,10.942631578947369,0.8165816326530613,90.28573757888532,5.542105263157895,16.34315789473684,28.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2017-01-23,8.382631578947368,0.121091811414392,93.6209168593234,4.38,12.385263157894736,28.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
IN,2017-01-24,4.73404255319149,0.988118811881188,85.55270735797308,3.1242105263157898,6.357446808510638,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IN,2017-01-25,5.634736842105263,0.0494974874371859,81.06969939107127,2.4305263157894736,8.838947368421053,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
