STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT17
MO,2017-01-01,1.8029605263157893,0.0720164609053498,77.07712336506479,-5.0131578947368425,8.61907894736842,11.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MO,2017-01-02,2.9549668874172186,0.6824949698189134,90.44953340358632,-2.178807947019868,8.088741721854305,28.0,15.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
MO,2017-01-03,5.067532467532468,2.854775828460039,93.45257290278052,0.8454545454545453,9.28961038961039,35.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
MO,2017-01-04,-3.623376623376624,0.1736633663366336,67.75981653029878,-10.474025974025974,3.227272727272727,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MO,2017-01-05,-7.609677419354838,1.6975659229208924,73.59318966630231,-11.27741935483871,-3.941935483870968,14.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
MO,2017-01-06,-12.340522875816992,0.1862068965517241,68.0471130131702,-16.357142857142858,-8.347402597402597,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MO,2017-01-07,-13.011842105263158,0.0269776876267748,66.06035611108743,-18.10065359477124,-7.922222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
MO,2017-01-08,-9.167207792207792,0.0193018480492813,70.98910178881611,-16.069032258064514,-2.2870129870129867,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MO,2017-01-09,-4.670192307692307,0.002016129032258,64.31998466696379,-10.618589743589745,1.2782051282051283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,2017-01-10,4.297770700636943,0.0699604743083004,70.55751247940948,-4.296202531645569,12.919108280254775,4.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
MO,2017-01-11,8.265286624203823,0.1514792899408284,73.87378581437629,-0.7694267515923566,17.3,10.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0
MO,2017-01-12,6.457142857142857,0.1168,77.20077728121716,-3.0220779220779224,15.936363636363636,19.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0
MO,2017-01-13,-1.7282894736842105,2.326834381551363,75.55409569517869,-5.188235294117646,1.7217105263157897,15.0,1.0,3.0,2.0,0.0,24.0,1.0,0.0,0.0
