STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11
ND,2017-01-01,-8.468539325842697,0.1379629629629629,83.98437007097688,-12.287640449438202,-4.6466666666666665,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2017-01-02,-12.12032967032967,4.208620689655172,87.05929897080968,-15.23956043956044,-9.001098901098901,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
ND,2017-01-03,-18.593478260869563,4.310924369747899,81.8792864932976,-23.48586956521739,-13.701086956521738,8.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0
ND,2017-01-04,-23.04408602150537,0.1040983606557377,78.24968278949258,-27.6483870967742,-18.43978494623656,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
ND,2017-01-05,-22.82228260869565,0.03,78.79319944386928,-26.893478260869564,-18.75108695652174,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
ND,2017-01-06,-21.765934065934065,0.0711864406779661,81.36738450301672,-26.303296703296706,-17.22826086956522,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
ND,2017-01-07,-23.114044943820225,0.0694915254237288,79.12508515337457,-28.718888888888888,-17.51123595505618,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2017-01-08,-22.14887640449438,0.1262711864406779,80.87875457630822,-27.146067415730336,-17.151685393258425,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0
ND,2017-01-09,-18.41774193548387,0.7296610169491525,83.43461382934278,-22.032258064516128,-14.803225806451614,9.0,1.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0
ND,2017-01-10,-17.431666666666665,2.2206896551724133,81.24109528800305,-20.48777777777778,-14.38901098901099,7.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0,1.0
ND,2017-01-11,-20.97043010752688,0.90327868852459,77.25319802736162,-25.47419354838709,-16.46666666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
ND,2017-01-12,-21.870212765957447,0.0285714285714285,73.9072374664437,-27.423404255319152,-16.317021276595746,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0
ND,2017-01-13,-22.96827956989248,0.0121951219512195,74.7120361933786,-29.738709677419354,-16.197849462365593,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0
ND,2017-01-14,-17.405494505494506,0.0,78.99220906019575,-23.068131868131868,-11.717391304347826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2017-01-15,-13.570108695652175,0.0016528925619834,76.48965752521832,-19.00869565217392,-8.131521739130434,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2017-01-16,-10.864285714285714,0.0041666666666666,79.35445626311153,-16.216483516483517,-5.47608695652174,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2017-01-17,-9.142857142857142,0.0,82.2210652372855,-15.003296703296703,-3.2163043478260867,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2017-01-18,-4.301595744680851,0.0065573770491803,77.6356276510398,-9.98191489361702,1.3787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2017-01-19,-2.802127659574468,0.0,84.22397535381502,-8.37872340425532,2.774468085106383,8.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
ND,2017-01-20,-3.882258064516129,0.0743801652892562,92.69376012459765,-8.689247311827957,0.9247311827956988,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ND,2017-01-21,-2.7978021978021976,0.056198347107438,94.64499203597823,-5.9010989010989015,0.308695652173913,22.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ND,2017-01-22,-2.703888888888889,0.0621848739495798,94.78542388469543,-5.191208791208791,-0.1955555555555555,18.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ND,2017-01-23,-2.809895833333333,0.0368,88.74483752922369,-4.591666666666667,-1.028125,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2017-01-24,-4.966666666666667,0.1379032258064516,88.72601119280999,-6.874468085106384,-3.0623655913978496,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2017-01-25,-7.342553191489362,0.2663934426229508,89.6423463792845,-9.241489361702127,-5.443617021276595,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
ND,2017-01-26,-9.25752688172043,0.1688524590163934,86.15235304399714,-12.15268817204301,-6.36236559139785,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
