STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
NE,2017-01-01,-2.7112179487179486,0.0021333333333333,72.93247949408966,-8.792307692307691,3.369871794871796,4.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0
NE,2017-01-02,-2.979559748427673,0.0523929471032745,83.4216546915421,-7.728930817610063,1.7698113207547168,59.0,12.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0
NE,2017-01-03,-7.908598726114651,0.2167883211678831,74.12262658341862,-13.347770700636945,-2.4694267515923567,26.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0
NE,2017-01-04,-12.739666666666666,0.693233082706767,72.4943770910041,-16.162000000000003,-9.317333333333332,15.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
NE,2017-01-05,-15.88375796178344,2.100455580865604,76.16203931040275,-19.89171974522293,-11.875796178343949,7.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0
NE,2017-01-06,-17.72579617834395,0.0911270983213429,68.73137711073932,-24.41910828025478,-11.03248407643312,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2017-01-07,-14.975159235668787,0.0,70.49031164096498,-22.26751592356688,-7.6828025477707005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NE,2017-01-08,-10.568987341772152,0.0325520833333333,75.61213184136002,-17.936708860759495,-3.2012658227848103,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
NE,2017-01-09,-3.507594936708861,0.0590123456790123,75.07621835280528,-10.09240506329114,3.0772151898734177,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
NE,2017-01-10,-0.9031847133757962,0.400235294117647,72.87055920223399,-7.057324840764331,5.250955414012739,7.0,1.0,0.0,1.0,0.0,13.0,0.0,0.0,0.0
NE,2017-01-11,-3.456818181818182,0.2151898734177215,73.31950224267564,-10.722077922077922,3.80844155844156,12.0,2.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0
NE,2017-01-12,-10.356493506493509,0.6441326530612245,72.94783939244115,-15.58051948051948,-5.132467532467532,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
NE,2017-01-13,-9.416139240506327,0.0288607594936708,69.47827361295376,-13.816455696202532,-5.015822784810126,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NE,2017-01-14,-6.211217948717949,0.0,67.98768353439918,-11.61025641025641,-0.8121794871794872,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
NE,2017-01-15,-3.093624161073825,0.431283422459893,75.52535697778423,-8.994630872483222,2.8,14.0,0.0,0.0,3.0,0.0,27.0,3.0,0.0,0.0
