STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
TN,2017-01-01,6.113703703703704,7.152803738317758,94.36903924995556,3.107407407407408,9.126470588235296,15.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2017-01-02,10.117045454545456,5.1025404157043885,95.71281346040698,6.728030303030304,13.521804511278196,23.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2017-01-03,13.393939393939394,13.757272727272726,93.98259622141616,9.895454545454546,16.91578947368421,16.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2017-01-04,7.2748120300751875,2.672935779816514,72.19437885890066,0.1458646616541354,14.40820895522388,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TN,2017-01-05,-0.1607407407407407,0.2575471698113207,67.69463603769289,-4.083088235294118,3.759558823529412,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
TN,2017-01-06,-3.8544520547945207,0.9837037037037036,75.19368376315443,-7.27054794520548,-0.4312925170068027,10.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
TN,2017-01-07,-8.346153846153847,2.048387096774193,63.274969890800335,-11.973426573426574,-4.725,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
TN,2017-01-08,-9.565140845070422,0.1120689655172413,66.21112238014238,-14.644366197183098,-4.489510489510489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2017-01-09,-5.970469798657718,0.0031100478468899,51.07726428906289,-11.957718120805367,0.0053333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2017-01-10,2.5808219178082195,0.2457345971563981,54.59711581945034,-3.5383561643835617,8.723809523809525,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
TN,2017-01-11,10.581944444444444,8.932959641255605,86.53753488697038,6.6625,14.50896551724138,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
TN,2017-01-12,14.780405405405403,1.6656470588235293,77.11724090824003,11.022297297297296,18.55973154362416,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2017-01-13,13.536824324324323,0.6988262910798122,89.52117510275005,8.20135135135135,18.872297297297298,13.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2017-01-14,11.5645390070922,0.9527980535279804,91.15811317754054,8.303472222222222,14.729577464788733,22.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
TN,2017-01-15,12.68041958041958,2.375358851674641,91.3937771973872,8.276388888888889,17.02013888888889,18.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
