STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
IA,2018-01-01,-24.707751937984497,0.0093984962406015,69.04772506926555,-29.498449612403103,-19.85151515151515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2018-01-02,-22.952692307692303,0.0075187969924812,70.47936086613258,-29.37,-16.561832061068703,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
IA,2018-01-03,-16.513358778625953,0.1529629629629629,71.6212178431999,-24.977862595419847,-8.050757575757576,9.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0
IA,2018-01-04,-17.763805970149253,0.0058181818181818,74.91733426135542,-22.60597014925373,-12.951094890510948,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IA,2018-01-05,-17.32595419847328,0.0456521739130434,71.19414521948171,-21.540909090909093,-13.131060606060606,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
IA,2018-01-06,-17.978968253968254,0.0,71.30502001394301,-23.83015873015873,-12.155813953488371,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IA,2018-01-07,-11.909615384615384,0.0314606741573033,70.72306331794013,-19.32230769230769,-4.575757575757576,14.0,0.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,0.0
IA,2018-01-08,-3.043233082706767,0.2092592592592592,88.05325945774433,-8.258646616541354,2.1686567164179107,20.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
IA,2018-01-09,-0.6284090909090909,0.0,86.06690416452251,-5.730303030303031,4.481481481481482,23.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
IA,2018-01-10,1.6496296296296296,0.0072727272727272,93.17771949204378,-1.654814814814815,4.954074074074073,41.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2018-01-11,-1.2143939393939396,1.1604562737642583,88.13553377717587,-8.628030303030304,6.24436090225564,26.0,3.0,0.0,14.0,0.0,19.0,0.0,13.0,5.0,0.0
IA,2018-01-12,-12.86455223880597,1.7288973384030415,71.2589479401437,-19.519259259259258,-6.064444444444445,2.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0
IA,2018-01-13,-16.201587301587303,0.0018939393939393,64.13529324805528,-20.34140625,-12.082539682539684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2018-01-14,-14.241269841269842,0.1749049429657794,76.60282003901878,-18.92301587301588,-9.55952380952381,13.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0
IA,2018-01-15,-11.947265625,1.985490196078432,78.32452921455749,-18.49609375,-5.403875968992248,12.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,5.0,1.0
IA,2018-01-16,-18.05708661417323,0.1103053435114503,74.71713074559592,-21.427692307692308,-14.714173228346455,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0
IA,2018-01-17,-15.558846153846154,0.0022140221402214,75.46166014363601,-20.8175572519084,-10.378030303030304,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IA,2018-01-18,-8.847744360902256,0.0029739776951672,69.20229415333897,-15.58496240601504,-2.110526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
