STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT18
IN,2018-01-01,-16.881249999999998,0.2256906077348066,71.07961436677057,-21.67395833333333,-12.088541666666666,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
IN,2018-01-02,-18.852604166666666,0.0427027027027027,69.10454687219912,-24.171875,-13.533333333333331,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN,2018-01-03,-14.839130434782607,0.0769820971867007,70.77259285285214,-20.9494623655914,-8.719354838709677,7.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2018-01-04,-12.274468085106385,0.3897297297297297,74.2331656565806,-17.2468085106383,-7.3021276595744675,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IN,2018-01-05,-14.161578947368422,0.3655172413793103,71.47553351568513,-18.80315789473684,-9.52,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
IN,2018-01-06,-15.025263157894738,0.29,71.67410175399795,-20.69684210526316,-9.353684210526316,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IN,2018-01-07,-10.888829787234044,0.1002747252747252,61.787606421182815,-18.18191489361702,-3.595744680851064,5.0,0.0,0.0,3.0,0.0,10.0,2.0,0.0,0.0,0.0
IN,2018-01-08,-1.9854166666666664,5.32434554973822,87.21213446158556,-6.39375,2.4229166666666666,21.0,2.0,0.0,2.0,0.0,11.0,3.0,0.0,0.0,0.0
IN,2018-01-09,0.1894736842105263,0.2130548302872062,94.29492181264328,-1.954736842105263,2.333684210526316,38.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IN,2018-01-10,3.24247311827957,0.4498694516971279,95.40514042877672,-1.086021505376344,7.570967741935484,35.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
IN,2018-01-11,8.922872340425531,1.4766066838046272,90.60191571390033,3.7638297872340414,14.081914893617022,24.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0
IN,2018-01-12,3.214736842105264,15.496833773087072,88.36950531130898,-5.081052631578947,11.510526315789471,16.0,3.0,0.0,26.0,0.0,31.0,5.0,2.0,1.0,0.0
IN,2018-01-13,-7.883152173913044,4.460339943342777,71.72325166384286,-12.251063829787231,-3.4717391304347824,4.0,0.0,0.0,11.0,0.0,7.0,4.0,0.0,0.0,0.0
IN,2018-01-14,-12.003296703296703,0.145042492917847,75.1978182437472,-17.674725274725276,-6.3318681318681325,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
IN,2018-01-15,-10.270744680851063,2.376323119777159,83.04695458266504,-15.385106382978725,-5.161052631578947,12.0,2.0,0.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0
IN,2018-01-16,-12.802604166666669,2.024207492795389,76.49244809715577,-18.90520833333333,-6.7,4.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0,0.0
