STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT15,WT18
KS,2018-01-01,-15.927450980392155,0.0,61.56285286475608,-20.96732026143791,-10.903246753246751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KS,2018-01-02,-14.070063694267516,0.0008347245409015,53.49553971745269,-19.80251572327044,-8.385987261146497,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
KS,2018-01-03,-8.725624999999999,0.0,52.947779909978735,-15.921875,-1.529375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KS,2018-01-04,-4.75126582278481,0.0,59.4602533536434,-12.294303797468354,2.7917721518987344,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
KS,2018-01-05,-3.487974683544304,0.0,59.3748651115412,-11.813291139240508,4.800000000000001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
KS,2018-01-06,-3.890728476821192,0.0005050505050505,58.98291365253121,-11.544736842105262,3.762251655629139,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
KS,2018-01-07,-1.3344155844155845,0.1760797342192691,61.71073285873726,-8.792857142857143,6.124025974025974,7.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
KS,2018-01-08,2.263207547169812,1.4650641025641025,70.74879241600514,-5.215723270440251,9.742138364779874,10.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
KS,2018-01-09,4.709235668789809,0.0055646481178396,64.44384526158855,-3.6821656050955416,13.10063694267516,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
KS,2018-01-10,7.585161290322581,0.0329470198675496,68.23370637002604,0.648076923076923,14.478205128205127,14.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
