STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
MI,2018-01-01,-15.502747252747254,0.7481927710843373,78.46169397413333,-19.72087912087912,-11.243478260869566,17.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
MI,2018-01-02,-12.85601092896175,0.3003003003003003,76.19914904519797,-16.014673913043477,-9.681720430107529,14.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0
MI,2018-01-03,-11.765489130434782,0.7883381924198251,78.5188342603042,-15.338043478260868,-8.1475935828877,21.0,4.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0
MI,2018-01-04,-13.895652173913044,1.4636363636363636,74.84649845123468,-17.9,-9.84462365591398,5.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0
MI,2018-01-05,-17.716486486486488,0.8352238805970149,74.08377265526167,-21.795675675675675,-13.55989304812834,7.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0
MI,2018-01-06,-18.329444444444444,0.9782089552238804,75.12136393232959,-22.975,-13.634065934065935,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
MI,2018-01-07,-14.0275,0.3023598820058997,74.65810989112113,-20.62555555555556,-7.43021978021978,16.0,1.0,0.0,1.0,0.0,8.0,8.0,2.0,0.0
MI,2018-01-08,-4.707909604519774,3.656379821958457,84.82874512906109,-9.111299435028249,-0.2320652173913043,22.0,1.0,0.0,1.0,0.0,4.0,12.0,2.0,0.0
MI,2018-01-09,-3.773224043715847,0.0770114942528735,82.57204417400527,-8.502185792349728,1.0155080213903744,16.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
MI,2018-01-10,-2.2016042780748664,0.1221606648199446,90.31912837230732,-7.366310160427807,2.9703703703703703,35.0,4.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0
MI,2018-01-11,3.756182795698925,1.7424157303370784,94.45975682506906,-1.335483870967742,8.868983957219251,46.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
MI,2018-01-12,-0.9548648648648648,8.161218836565096,85.50341625033226,-9.146486486486486,7.313368983957218,34.0,4.0,0.0,4.0,0.0,7.0,5.0,2.0,2.0
MI,2018-01-13,-11.306793478260868,1.6743283582089552,72.85188669916168,-15.410326086956522,-7.182162162162163,9.0,1.0,0.0,2.0,0.0,1.0,11.0,0.0,2.0
MI,2018-01-14,-13.592702702702702,0.2855457227138643,76.87266667106607,-18.108648648648646,-9.06989247311828,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0
MI,2018-01-15,-11.204594594594594,1.3681547619047618,80.32667253151607,-15.019459459459458,-7.386021505376344,21.0,4.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
MI,2018-01-16,-10.905645161290323,2.1360119047619044,84.79729771334782,-15.090322580645164,-6.7176470588235295,21.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
MI,2018-01-17,-11.4272972972973,0.4982404692082111,79.20518742728693,-16.882702702702705,-5.960752688172043,17.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
MI,2018-01-18,-6.814673913043479,0.0055072463768115,76.55475560137569,-11.382065217391306,-2.244324324324324,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
MI,2018-01-19,-3.1559782608695657,0.0028653295128939,77.22948903809348,-7.178260869565217,0.8735135135135135,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MI,2018-01-20,0.1601092896174863,0.0008771929824561,76.57106295457885,-3.93879781420765,4.257065217391304,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MI,2018-01-21,1.3812154696132597,0.0412280701754386,92.13452906926145,-2.466298342541436,5.238797814207651,34.0,10.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
MI,2018-01-22,1.9019230769230768,5.440659340659341,94.98609807112554,-0.8884615384615384,4.7135869565217385,44.0,17.0,8.0,0.0,0.0,4.0,2.0,0.0,0.0
MI,2018-01-23,0.0885869565217391,11.093478260869563,90.55419612821552,-3.548924731182796,3.786486486486487,24.0,4.0,7.0,5.0,1.0,13.0,7.0,1.0,2.0
MI,2018-01-24,-5.120923913043479,0.7433802816901408,79.736397425618,-8.617837837837838,-1.5688172043010753,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
MI,2018-01-25,-5.739130434782608,0.0373595505617977,81.6123134445108,-8.671351351351351,-2.787027027027027,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MI,2018-01-26,-1.2620218579234972,0.0152542372881355,80.51116818168434,-5.621739130434783,3.0767567567567564,15.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
MI,2018-01-27,3.052209944751381,0.0236994219653179,68.29916424542384,-2.434806629834254,8.557065217391305,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
