STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT15,WT18
CO,2019-01-01,-13.7109243697479,3.1661347517730496,79.21699275833183,-20.00443213296399,-7.431578947368422,21.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-02,-12.886974789915966,0.3919475655430711,68.7152620406831,-21.023055555555555,-4.704120879120879,8.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-03,-7.592757660167131,0.2335190343546889,60.50696114099532,-16.30191256830601,1.0616666666666663,6.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-04,-2.706564245810056,0.0992571959145775,60.46909670479685,-11.23801652892562,5.8027700831024935,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-05,-0.709065934065934,0.1783910196445275,58.939594544264175,-8.760054347826086,7.334520547945205,6.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-06,-1.3209944751381215,1.2821428571428573,65.19087387429157,-7.605464480874317,4.9088397790055245,13.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-07,-2.612603878116344,1.3996333638863427,61.8139738934204,-8.261748633879781,2.978393351800554,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0
CO,2019-01-08,-2.359972299168976,0.3402394106813996,60.29411839327907,-9.37967032967033,4.626038781163435,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0
CO,2019-01-09,-1.580833333333333,0.0556169429097605,62.36731508003464,-8.827671232876712,5.671270718232044,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
CO,2019-01-10,-0.867817679558011,0.1812962962962963,59.78324646236006,-7.912876712328766,6.1646408839779,8.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
CO,2019-01-11,-2.102747252747253,2.9792825112107626,77.05820509719801,-7.1808743169398905,2.964010989010989,30.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
