STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11
NC,2019-01-01,14.970491803278687,2.265379494007989,84.6645115290027,10.52295081967213,19.418032786885245,19.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NC,2019-01-02,11.852659574468086,0.9461847389558232,80.44734787764175,7.612234042553191,16.09308510638298,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-01-03,10.26837837837838,8.424724602203183,94.36583797674513,7.871505376344086,12.691891891891892,30.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0
NC,2019-01-04,10.985245901639344,5.675658720200753,96.5834613306846,8.333333333333334,13.637158469945357,28.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
NC,2019-01-05,10.291256830601093,12.219595448798987,72.39569021404473,5.950273224043716,14.632240437158467,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC,2019-01-06,9.88586956521739,0.1241891891891892,62.88454809880025,3.039130434782609,16.732608695652175,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
NC,2019-01-07,9.760215053763442,0.0176470588235294,71.2640626056274,3.7161290322580647,15.804301075268818,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-01-08,10.953208556149733,0.108203125,75.6050478449055,5.460427807486632,16.42074468085106,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
NC,2019-01-09,9.737165775401069,0.019631093544137,49.15352905500036,3.5625668449197865,15.94255319148936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
NC,2019-01-10,2.7449197860962564,0.0003947368421052,48.06215667087629,-2.843617021276596,8.33957219251337,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC,2019-01-11,0.2964864864864865,0.0,54.125764902156334,-5.485483870967742,6.081081081081081,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
NC,2019-01-12,1.2595628415300546,0.2865671641791044,65.03250461970384,-3.684699453551912,6.17608695652174,10.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0
NC,2019-01-13,2.703225806451613,17.277496839443742,91.98406166193038,0.2795698924731182,5.126881720430108,21.0,1.0,0.0,16.0,0.0,19.0,0.0,0.0
NC,2019-01-14,2.555235602094241,4.523207301173403,88.77859913061732,-0.0664921465968586,5.17696335078534,18.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0
NC,2019-01-15,2.4073684210526314,0.15859375,79.78499696435725,-1.3368421052631578,6.151578947368421,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC,2019-01-16,2.996524064171123,0.026887417218543,76.8749462348949,-3.458288770053476,9.445212765957448,12.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
NC,2019-01-17,3.8574468085106384,0.1385733157199471,82.28850746637468,-2.301063829787234,9.971957671957671,14.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
