STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
KS,2020-01-01,1.8246666666666669,0.0012903225806451,64.24046622525638,-5.218,8.867333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2020-01-02,4.71078431372549,0.0008025682182985,74.36755401018662,-2.531372549019608,11.952941176470588,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KS,2020-01-03,3.745454545454545,0.0009677419354838,73.41368738613798,-2.5376623376623377,10.028571428571428,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
KS,2020-01-04,2.349673202614379,0.012520325203252,59.13905349452055,-4.777777777777778,9.477124183006536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2020-01-05,3.1973684210526314,0.0,52.35902889241567,-4.249342105263158,10.644078947368422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2020-01-06,2.6074675324675325,0.0,60.98106288015988,-5.4480519480519485,10.662987012987012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KS,2020-01-07,2.715483870967742,0.0028662420382165,52.76224739340739,-5.265161290322581,10.696129032258066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KS,2020-01-08,4.590127388535032,0.0,54.39580736910474,-4.454140127388535,13.6343949044586,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
KS,2020-01-09,5.856410256410257,0.0698872785829307,51.84730422109597,-1.9243589743589744,13.637179487179488,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KS,2020-01-10,5.176948051948052,1.89765625,80.04534070363077,-1.5974025974025974,11.9512987012987,28.0,2.0,26.0,4.0,3.0,9.0,0.0,6.0,1.0,0.0
KS,2020-01-11,-4.669934640522876,9.904229607250755,78.21401268563145,-11.305882352941175,1.966013071895425,17.0,3.0,25.0,17.0,2.0,27.0,0.0,5.0,1.0,2.0
KS,2020-01-12,-5.5777777777777775,0.8806397306397307,80.04046107918664,-10.663398692810455,-0.492156862745098,25.0,3.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0
KS,2020-01-13,-1.0028846153846154,0.189351081530782,78.25146413330995,-7.182692307692308,5.176923076923077,50.0,9.0,0.0,1.0,0.0,12.0,0.0,3.0,0.0,0.0
KS,2020-01-14,2.9638709677419355,0.19344,77.91438923671464,-3.935483870967742,9.863225806451611,60.0,13.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
KS,2020-01-15,3.451910828025478,0.042215088282504,76.42783230984467,-2.780254777070064,9.68407643312102,48.0,4.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0
KS,2020-01-16,-2.897727272727273,0.117124394184168,68.32505359911136,-10.646103896103895,4.85064935064935,10.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0
KS,2020-01-17,-3.835483870967742,6.406521739130435,85.15627894769598,-8.81225806451613,1.1412903225806452,26.0,2.0,0.0,34.0,1.0,78.0,0.0,1.0,0.0,0.0
KS,2020-01-18,1.0473509933774834,3.3177814029363786,65.76634137089864,-4.319205298013245,6.413907284768212,31.0,0.0,1.0,7.0,0.0,18.0,0.0,0.0,0.0,1.0
KS,2020-01-19,-2.1624161073825503,0.0264755480607082,62.249545565746736,-8.01006711409396,3.6852348993288593,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
