STATE,DATE,TAVG,PRCP,RH,TMIN,TMAX,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,WT18
OH,2020-01-01,1.4803030303030302,0.9543478260869566,73.51455306056175,-1.295959595959596,4.256565656565656,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
OH,2020-01-02,3.5077319587628866,0.3136645962732919,67.26742340703366,-0.663917525773196,7.679381443298968,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2020-01-03,6.495408163265306,10.504398826979472,92.82297974596476,3.3204081632653057,9.670408163265307,32.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
OH,2020-01-04,5.073979591836735,6.827927927927927,91.9992158524928,1.8928571428571428,8.255102040816327,27.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0
OH,2020-01-05,2.022164948453608,1.2360759493670888,76.51808784339329,-1.0051546391752575,5.049484536082474,6.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0
OH,2020-01-06,2.304081632653061,0.0584374999999999,68.97299610249276,-1.2020408163265306,5.810204081632653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OH,2020-01-07,1.6893939393939394,0.3160990712074303,66.35619839851934,-3.306060606060606,6.684848484848485,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
OH,2020-01-08,0.3601010101010101,0.3105263157894737,63.24713394214216,-4.401010101010101,5.121212121212121,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
OH,2020-01-09,-0.5252577319587629,0.2692546583850931,62.09767655499,-6.903030303030302,5.780612244897959,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
OH,2020-01-10,6.16,8.764606741573033,71.57066167534236,0.131,12.189,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
OH,2020-01-11,12.446464646464648,11.908309455587393,81.73504515634959,7.427272727272727,17.465656565656566,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
OH,2020-01-12,8.653500000000001,12.4316091954023,84.73703291719094,1.483,15.824000000000002,21.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,4.0,0.0
OH,2020-01-13,3.4025,0.268693009118541,82.34182842138952,0.137,6.667999999999999,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
OH,2020-01-14,3.9424242424242415,0.0163076923076923,86.28828320548308,-0.4,8.284848484848485,22.0,9.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0
OH,2020-01-15,4.320707070707071,0.2169753086419753,90.60278693247852,-0.8878787878787879,9.529292929292929,41.0,14.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
