STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11
CO,2021-01-01,-6.013194444444444,-12.952185792349727,0.8972299168975069,0.0131322094055013,69.70843393408418,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CO,2021-01-02,-6.60702479338843,-13.661852861035422,0.4318681318681318,0.050839964633068,69.22478362539498,4.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CO,2021-01-03,-4.895604395604396,-12.064227642276425,2.2706043956043955,0.1649466192170818,59.56763056519589,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
CO,2021-01-04,-2.899724517906336,-10.266304347826088,4.377961432506887,0.1683055311676909,58.06767629118508,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
CO,2021-01-05,-2.986065573770492,-9.72222222222222,3.703825136612021,0.499475982532751,60.95023965018643,9.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
CO,2021-01-06,-4.664010989010989,-12.597275204359672,3.248767123287671,0.2978165938864628,61.903974991105706,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
CO,2021-01-07,-4.129041095890411,-11.900270270270273,3.5904371584699453,0.0097969991173874,61.43472159541884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2021-01-08,-5.25958904109589,-12.86820652173913,2.29344262295082,0.0088830255057167,61.76190833638714,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CO,2021-01-09,-6.449315068493151,-12.730434782608697,-0.2166666666666666,0.1094107299912049,73.38560179872678,21.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
CO,2021-01-10,-8.032271468144044,-14.418082191780822,-1.7176308539944904,2.2290534979423864,82.18284508754333,32.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
CO,2021-01-11,-8.16625344352617,-16.510899182561307,0.1631868131868132,0.0353562005277044,65.20477168335592,15.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
CO,2021-01-12,-5.864010989010989,-14.45054054054054,2.727945205479452,0.0534513274336283,52.023067353064114,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
CO,2021-01-13,-2.358855585831063,-10.137027027027026,5.399456521739131,0.0577639751552795,52.4792634325779,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
CO,2021-01-14,-3.4241803278688523,-9.658333333333331,2.7775956284153005,0.0794400699912511,48.39510050722041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,13.0
CO,2021-01-15,-4.415846994535519,-11.294037940379404,2.4607629427792914,0.0420123565754633,44.656398185588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,12.0
CO,2021-01-16,-2.653856749311295,-8.7289972899729,3.3443526170798896,0.1832743362831858,52.98826839138277,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0
CO,2021-01-17,-1.2075342465753425,-7.086720867208672,4.6197260273972605,0.2959605026929982,57.46685453201331,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
CO,2021-01-18,-2.946969696969697,-8.781521739130435,2.7978021978021976,0.3361013986013986,59.8356942123576,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0
CO,2021-01-19,-5.266115702479339,-11.343631436314364,0.7258241758241758,1.6661876584953508,67.56997456053722,14.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CO,2021-01-20,-3.842779291553133,-10.875067750677507,3.1997282608695654,0.2419840566873339,61.87858790723265,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,2021-01-21,-1.6732876712328768,-8.234770889487871,4.827123287671233,0.1314387211367673,58.96086467116216,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0
CO,2021-01-22,-2.2250688705234163,-8.226630434782608,3.748209366391184,0.4890362511052166,65.95455641427705,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CO,2021-01-23,-2.8908219178082195,-8.565582655826558,2.7174863387978143,1.500354609929078,71.3537524205964,21.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0
CO,2021-01-24,-4.677929155313351,-10.607588075880756,1.261141304347826,1.1571428571428573,77.05382661630944,27.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0
CO,2021-01-25,-6.954520547945206,-12.270958904109587,-1.6258855585831065,1.9638225255972688,82.34848334877323,33.0,6.0,0.0,1.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0
CO,2021-01-26,-9.68870523415978,-14.909615384615384,-4.498076923076923,1.6088210347752332,84.14922412449414,38.0,9.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0
CO,2021-01-27,-10.64060773480663,-17.99641873278237,-3.2656593406593406,2.053904282115869,74.22551959820778,26.0,6.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0
CO,2021-01-28,-3.913128491620112,-11.171349862258952,3.332033426183844,0.0740072202166065,65.62744113474523,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
CO,2021-01-29,-0.703305785123967,-7.662739726027397,6.244903581267218,0.3298736462093863,56.584132290599605,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
CO,2021-01-30,-2.23054794520548,-8.331062670299728,3.856712328767123,0.921370604147881,59.50013571551506,14.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
CO,2021-01-31,-3.51625,-11.843801652892562,4.755401662049862,0.1200904977375565,56.72817523231134,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
CO,2021-02-01,-1.7195290858725762,-9.43956043956044,6.018732782369146,0.0977638640429338,51.346679779999896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2021-02-02,1.1636986301369865,-5.828882833787466,8.133424657534245,0.13898756660746,52.53688942721569,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CO,2021-02-03,1.5016528925619836,-5.930790190735695,8.883471074380164,1.0679045092838195,57.85621561840291,10.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0
CO,2021-02-04,-4.083150684931507,-11.220325203252033,3.036438356164384,2.0796666666666668,62.23507644458902,13.0,1.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0
CO,2021-02-05,-6.033060109289617,-11.20189701897019,-0.9013661202185792,0.9258289703315882,57.82596250373015,9.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0
CO,2021-02-06,-4.864931506849315,-10.122070844686649,0.3387978142076503,1.060438596491228,61.38886441559576,7.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0
CO,2021-02-07,-2.5349726775956283,-8.55570652173913,3.4940054495912807,0.3479185119574845,51.37425507001461,14.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,4.0
CO,2021-02-08,-2.02013698630137,-8.839945652173913,4.779234972677596,0.0606485539000876,53.36133380743962,27.0,4.0,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,3.0
CO,2021-02-09,-2.180906593406593,-7.013858695652174,2.565384615384615,0.3576419213973799,63.627187126395135,32.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,3.0
CO,2021-02-10,-2.9756164383561643,-7.286065573770491,1.3226775956284154,0.640274207369323,77.03608985905856,34.0,7.0,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0
CO,2021-02-11,-3.758563535911602,-9.36174863387978,1.7958563535911602,0.2334208223972003,73.07598845830861,31.0,2.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0
