STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
IL,2021-01-01,-2.6452,-5.5552,0.2761904761904761,4.85043630017452,91.48625361665565,23.0,0.0,0.0,13.0,0.0,41.0,8.0,0.0,0.0,0.0
IL,2021-01-02,-0.8412,-3.1128,1.4304,9.822695035460994,93.84171048855232,27.0,3.0,0.0,12.0,0.0,26.0,8.0,0.0,0.0,0.0
IL,2021-01-03,-1.5826612903225807,-3.5975806451612904,0.4336,2.388448275862069,92.50849951187908,37.0,8.0,0.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0
IL,2021-01-04,-2.127868852459016,-5.402439024390244,1.104032258064516,0.0699831365935919,93.94424224034316,58.0,13.0,0.0,1.0,0.0,10.0,4.0,0.0,0.0,0.0
IL,2021-01-05,-0.9288,-4.533600000000001,2.65952380952381,0.0644480519480519,91.34251687448464,51.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
IL,2021-01-06,-0.542741935483871,-4.034677419354839,2.999206349206349,0.0130645161290322,91.27592629786729,48.0,5.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
IL,2021-01-07,-0.2745967741935484,-2.936,2.3824,0.0063517915309446,84.83653405737401,25.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
IL,2021-01-08,-0.232520325203252,-1.933064516129032,1.4580645161290324,0.0050570962479608,81.33538262111698,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IL,2021-01-09,-1.2088709677419356,-2.933870967741936,0.5161290322580645,0.0235679214402618,79.16394786450051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2021-01-10,-2.6040983606557377,-4.2631147540983605,-0.9450819672131148,0.0003262642740619,79.44885394247872,10.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
IL,2021-01-11,-3.683467741935484,-5.705645161290323,-1.6612903225806452,0.0060064935064935,82.7066246492938,17.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0
IL,2021-01-12,-1.89233870967742,-5.3104,1.5384,0.0,82.75271231000298,14.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
IL,2021-01-13,0.8944000000000001,-3.7984,5.5872,0.0,80.18120810401159,10.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2021-01-14,2.6268,-1.2936,6.579365079365079,0.150655737704918,82.19088529566429,16.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2021-01-15,2.0337301587301586,-0.9547619047619048,5.022222222222222,3.2764214046822744,87.37734781302555,22.0,2.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0
IL,2021-01-16,0.0711382113821138,-2.2379032258064515,2.396774193548387,2.0414335664335663,92.3844952026388,24.0,2.0,0.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0
IL,2021-01-17,-0.4889344262295081,-2.605691056910569,1.6357723577235772,0.9153710247349824,88.09770266689755,22.0,0.0,0.0,3.0,0.0,5.0,7.0,0.0,0.0,0.0
IL,2021-01-18,-1.4737903225806452,-3.9944,1.0701612903225808,0.4846551724137931,82.31837306208062,9.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0
IL,2021-01-19,-1.9452380952380952,-6.615873015873016,2.725396825396825,0.1369565217391304,80.16818849919717,13.0,6.0,1.0,2.0,0.0,1.0,7.0,1.0,0.0,0.0
IL,2021-01-20,-3.3244,-9.8176,3.1484126984126983,0.5043189368770764,71.80936318989903,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2021-01-21,-1.0684,-7.204,5.0672,0.0542009884678747,65.95177030118641,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IL,2021-01-22,-1.4307999999999998,-8.2088,5.3309523809523816,0.0008130081300813,61.97359991385123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2021-01-23,-7.2636,-12.676,-1.8512,0.0292763157894736,61.46870518598261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2021-01-24,-3.3678861788617884,-8.383739837398375,1.6488,0.7891447368421053,70.48360021216232,12.0,0.0,0.0,2.0,0.0,6.0,4.0,0.0,0.0,0.0
IL,2021-01-25,0.0016,-2.3288,2.357936507936508,3.45,87.03923535518892,20.0,1.0,3.0,1.0,0.0,7.0,8.0,0.0,0.0,0.0
IL,2021-01-26,-0.4916,-2.649206349206349,1.6608,8.376988155668359,91.2623354903438,29.0,4.0,0.0,3.0,0.0,11.0,5.0,1.0,0.0,1.0
IL,2021-01-27,-4.084274193548387,-7.736,-0.3879032258064516,1.025085910652921,84.1361133708722,12.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2021-01-28,-8.519444444444444,-14.06984126984127,-2.969047619047619,1.1415824915824917,74.83116829981076,6.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0
IL,2021-01-29,-7.2264,-12.9328,-1.5126984126984129,0.0036974789915966,73.8246255521254,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IL,2021-01-30,-2.261904761904762,-6.438095238095238,1.914285714285714,1.239629005059022,75.72452725794848,19.0,1.0,0.0,3.0,0.0,4.0,5.0,1.0,0.0,0.0
IL,2021-01-31,1.0092,-1.0768,3.1015873015873017,20.73741379310345,93.74853120834692,26.0,1.0,0.0,6.0,0.0,3.0,7.0,0.0,0.0,1.0
IL,2021-02-01,-1.0275999999999998,-3.4288000000000003,1.3736,2.457948717948718,83.23606629354396,13.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0
IL,2021-02-02,-2.992063492063492,-6.765873015873016,0.7817460317460317,0.0096721311475409,80.16413863550524,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IL,2021-02-03,-4.154435483870968,-9.245967741935484,0.9317460317460318,0.0375609756097561,82.04434269620158,29.0,1.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
IL,2021-02-04,-2.0583333333333336,-7.366666666666667,3.25,0.7277591973244147,82.05565448735194,24.0,5.0,1.0,3.0,0.0,3.0,3.0,6.0,0.0,1.0
