STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
KY,2021-01-01,6.015068493150685,1.26,10.697260273972605,15.599065420560748,91.09758517397768,17.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
KY,2021-01-02,8.23116883116883,2.7662337662337664,13.696103896103894,7.569523809523809,82.45321403193003,13.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
KY,2021-01-03,4.302631578947368,1.6376623376623376,6.946052631578947,1.2863849765258215,88.97245906381856,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KY,2021-01-04,2.969078947368421,-1.736363636363636,7.646052631578947,0.3553990610328638,83.11590020038206,13.0,3.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
KY,2021-01-05,3.744230769230769,-1.051282051282051,8.53974358974359,0.1859649122807017,85.20782262188564,10.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
KY,2021-01-06,2.01948051948052,-1.2538461538461538,5.258441558441558,0.2586363636363636,81.5510541777676,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
KY,2021-01-07,1.5608108108108107,-0.9733333333333334,4.048648648648649,0.0488479262672811,77.010602840276,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2021-01-08,1.2227272727272729,-0.7909090909090909,3.2363636363636363,0.3689497716894977,80.12559428631002,8.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
KY,2021-01-09,-0.2078947368421052,-1.793421052631579,1.3776315789473683,0.0553488372093023,75.1332169556553,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
KY,2021-01-10,-1.6682432432432432,-4.755405405405405,1.4189189189189189,0.0014150943396226,74.59700545633623,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
KY,2021-01-11,-1.572077922077922,-5.108974358974359,1.9948051948051948,0.0046296296296296,80.63573436442593,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
KY,2021-01-12,-1.3486842105263157,-5.430769230769231,2.693421052631579,0.0442922374429223,79.74936297167865,6.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
KY,2021-01-13,0.6006410256410256,-5.226923076923077,6.428205128205128,0.0,73.71001881316408,9.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
KY,2021-01-14,3.4863636363636363,-2.964935064935065,9.93766233766234,0.0317757009345794,69.8157901847752,4.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
KY,2021-01-15,4.531168831168831,-1.2935064935064935,10.355844155844157,1.696875,67.86459492037736,9.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
KY,2021-01-16,2.3326666666666664,-1.0,5.665333333333333,1.6824644549763033,84.96310556706005,12.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
KY,2021-01-17,1.4493055555555554,-0.3666666666666667,3.265277777777777,1.24126213592233,83.83078619250985,9.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
KY,2021-01-18,1.6446666666666665,-1.252,4.541333333333333,1.03252427184466,78.75921274771827,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
KY,2021-01-19,3.276,-0.7026315789473684,7.22,0.2128571428571428,68.72377233967765,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KY,2021-01-20,3.286538461538462,-1.851282051282052,8.424358974358976,0.0878504672897196,62.015676183784414,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2021-01-21,2.9402597402597404,-1.1792207792207792,7.061538461538461,2.409954751131222,74.91235606788463,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
KY,2021-01-22,2.527922077922078,-2.344155844155844,7.399999999999999,0.0348837209302325,73.47223745972452,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KY,2021-01-23,-0.604,-7.1078947368421055,5.890666666666667,0.0061320754716981,54.71129048128077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2021-01-24,0.2546666666666666,-4.242666666666667,4.752,0.5455813953488372,61.344601295775234,12.0,3.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0
KY,2021-01-25,3.495454545454545,0.6805194805194805,6.31038961038961,14.795890410958904,95.91120383956964,19.0,4.0,11.0,2.0,1.0,2.0,1.0,0.0,0.0
KY,2021-01-26,6.794871794871795,2.7256410256410257,10.864102564102565,40.84439461883408,83.06220978712422,21.0,3.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0
KY,2021-01-27,4.56923076923077,-0.4679487179487179,9.606410256410255,0.3466666666666667,77.36661373711368,13.0,5.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
KY,2021-01-28,-1.734615384615385,-5.796153846153847,2.326923076923077,2.941981132075471,79.03799526850419,7.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
KY,2021-01-29,-3.295512820512821,-8.060256410256411,1.4692307692307691,0.09,70.70932540772823,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
KY,2021-01-30,-0.6873333333333332,-5.776315789473684,4.426666666666667,0.9733009708737864,66.47427011427811,10.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
KY,2021-01-31,3.376,-1.3853333333333333,8.137333333333332,14.001923076923076,90.5195928793634,13.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0
KY,2021-02-01,2.2413333333333334,-1.488157894736842,6.116883116883117,4.179024390243902,87.48370281328279,12.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
KY,2021-02-02,-1.3711538461538462,-4.485897435897436,1.7435897435897436,0.9504807692307692,74.57302643743793,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
KY,2021-02-03,-1.01474358974359,-5.4192307692307695,3.389743589743589,0.0635514018691588,67.45116359781149,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
KY,2021-02-04,0.3551282051282051,-5.035897435897436,5.746153846153846,0.7533333333333333,70.48824256033005,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
KY,2021-02-05,1.63974358974359,-3.585897435897436,6.865384615384615,5.713488372093024,70.55263691555058,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2021-02-06,1.305263157894737,-3.59078947368421,6.201315789473685,0.2086294416243655,64.74982520042954,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KY,2021-02-07,-0.9671052631578948,-6.206493506493506,4.25921052631579,1.1102439024390245,71.70081293164371,9.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
KY,2021-02-08,-2.9131578947368424,-8.514473684210527,2.6881578947368423,0.0626213592233009,69.86037774452268,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
KY,2021-02-09,-0.1072368421052632,-4.985526315789474,4.771052631578947,1.3106796116504855,84.80556456336554,12.0,1.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0
KY,2021-02-10,0.606578947368421,-1.9921052631578948,3.205263157894737,1.7951456310679612,88.72255207626917,14.0,0.0,0.0,9.0,0.0,11.0,5.0,1.0,0.0
KY,2021-02-11,-1.240441176470588,-3.669565217391304,1.1691176470588236,14.484615384615385,91.17556120437406,17.0,0.0,0.0,10.0,0.0,20.0,5.0,0.0,0.0
KY,2021-02-12,-3.345833333333333,-5.120833333333334,-1.5708333333333333,1.1814432989690722,87.7258669969604,11.0,0.0,0.0,6.0,0.0,5.0,6.0,0.0,0.0
KY,2021-02-13,-3.6417808219178087,-5.17972972972973,-2.1486486486486487,0.1815384615384615,91.03627437953163,14.0,1.0,0.0,2.0,0.0,12.0,7.0,0.0,0.0
KY,2021-02-14,-4.725352112676056,-6.558333333333334,-2.987323943661972,0.1145077720207254,88.60840452920863,11.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0
KY,2021-02-15,-5.788970588235294,-7.91159420289855,-3.7455882352941177,3.863243243243243,90.24540928419252,11.0,1.0,0.0,8.0,0.0,12.0,6.0,1.0,0.0
KY,2021-02-16,-8.30955882352941,-12.098529411764709,-4.520588235294118,12.169364161849712,85.07092349183337,9.0,0.0,0.0,7.0,0.0,5.0,3.0,2.0,0.0
KY,2021-02-17,-9.304861111111112,-12.926388888888887,-5.683333333333334,0.5299435028248587,82.54498558694682,9.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
KY,2021-02-18,-5.478082191780822,-8.875342465753425,-2.0808219178082195,5.334594594594594,89.9351040131856,12.0,1.0,0.0,3.0,1.0,8.0,5.0,0.0,0.0
KY,2021-02-19,-5.343835616438357,-9.86027397260274,-0.8273972602739725,0.6796875,83.76340320123815,14.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0
KY,2021-02-20,-6.690277777777777,-13.29861111111111,-0.0808219178082191,0.0703703703703703,71.9413568637012,8.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
KY,2021-02-21,-2.207236842105264,-10.012987012987011,5.569736842105264,0.0518324607329842,63.89102066536018,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
KY,2021-02-22,3.074324324324324,-3.15,9.331578947368422,3.2152284263959388,69.03883234107086,12.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
KY,2021-02-23,6.28,0.6302631578947369,11.822368421052632,0.4211822660098522,58.94730510916688,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
KY,2021-02-24,9.676923076923076,1.734615384615385,17.619230769230768,0.1117924528301887,52.72984395863825,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KY,2021-02-25,8.095512820512822,-0.6153846153846154,16.806410256410256,0.2913875598086124,64.31118746564468,9.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
KY,2021-02-26,5.495394736842105,0.6223684210526316,10.36842105263158,0.3673170731707317,68.34627276614702,11.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
KY,2021-02-27,7.809090909090909,3.893506493506494,11.73076923076923,10.77450980392157,92.84883575019876,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
KY,2021-02-28,13.251315789473685,9.49342105263158,17.00921052631579,31.11642512077295,92.76304404787103,18.0,2.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0
KY,2021-03-01,10.02364864864865,3.791891891891892,16.325,53.23578431372549,79.42319766690812,10.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
