STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
MN,2021-01-01,-8.501142857142858,-12.198857142857143,-4.803428571428571,0.0162551440329218,87.52536651840315,20.0,3.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0
MN,2021-01-02,-7.130285714285714,-10.916,-3.3445714285714283,0.0022680412371134,89.78841540758127,27.0,9.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
MN,2021-01-03,-5.3031428571428565,-10.182285714285715,-0.424,0.0020325203252032,86.64992622934547,25.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
MN,2021-01-04,-3.4554285714285715,-8.393142857142857,1.4897727272727272,0.0169072164948453,86.34577491492634,34.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
MN,2021-01-05,-5.008333333333334,-12.045977011494251,2.021142857142857,0.047808764940239,86.3978666239127,20.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
MN,2021-01-06,-4.708959537572254,-9.977456647398844,0.5691428571428571,0.061010101010101,84.36906399271132,28.0,2.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
MN,2021-01-07,-4.662931034482758,-9.158045977011492,-0.1605714285714286,0.0404,90.05488288128073,39.0,9.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
MN,2021-01-08,-6.706,-10.453142857142858,-2.9454545454545453,0.0241308793456032,91.32905770334284,49.0,6.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
MN,2021-01-09,-7.225287356321839,-10.090229885057472,-4.360344827586207,0.0216768916155419,91.56642124073282,50.0,8.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
MN,2021-01-10,-5.665142857142857,-8.928977272727273,-2.42,0.0098159509202453,89.6002486897038,34.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0
MN,2021-01-11,-3.394886363636364,-6.453977272727273,-0.3357954545454545,0.0012121212121212,84.40295505666099,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
MN,2021-01-12,-2.997457627118644,-7.1451977401129945,1.150282485875706,0.0032128514056224,86.10378695352095,15.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MN,2021-01-13,-2.648011363636364,-8.711363636363636,3.4153409090909093,0.0078787878787878,83.02186897874572,9.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
