STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
NE,2021-01-01,-4.779310344827586,-11.992413793103449,2.433793103448276,0.0014869888475836,81.01646124425214,19.0,10.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0
NE,2021-01-02,-3.6625,-10.977931034482758,3.625,0.0014842300556586,81.52742586780415,19.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
NE,2021-01-03,-2.048251748251748,-9.32027972027972,5.223776223776224,0.000558659217877,78.66627176345668,18.0,7.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
NE,2021-01-04,0.4559027777777778,-6.122222222222223,7.034027777777777,0.0085185185185185,73.0174118499217,14.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
NE,2021-01-05,1.2216783216783218,-5.599305555555556,8.034965034965035,0.0311567164179104,74.36318672900575,6.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
NE,2021-01-06,1.4314685314685314,-3.552083333333333,6.404895104895105,1.1556377079482438,77.62884402379613,23.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
NE,2021-01-07,-0.3083916083916084,-3.933333333333333,3.33986013986014,1.263071297989031,86.80961520480369,42.0,7.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0
NE,2021-01-08,-1.2305555555555554,-4.208333333333333,1.7472222222222222,0.047752808988764,87.22870580189267,46.0,1.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0
NE,2021-01-09,-0.9144827586206896,-3.246896551724138,1.4179310344827585,0.0541198501872659,88.2642861676224,49.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0
NE,2021-01-10,-0.8744755244755245,-3.692307692307693,1.9433566433566432,0.0522471910112359,85.55333439678473,27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
NE,2021-01-11,-0.7603448275862069,-6.642068965517241,5.121379310344828,0.0020522388059701,73.11337065470916,7.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
