STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
TN,2021-01-01,10.2,4.865185185185185,15.534814814814814,12.978657074340529,86.86744187239611,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
TN,2021-01-02,10.854074074074074,4.805185185185185,16.902962962962963,4.082063882063882,79.52420359750619,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2021-01-03,6.14891304347826,1.1268115942028984,11.171014492753622,1.1827250608272506,77.85898931253335,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2021-01-04,3.685611510791367,-2.3728571428571428,9.733093525179855,0.1620689655172413,79.70620845158199,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2021-01-05,4.749645390070922,-1.3375886524822695,10.836879432624114,0.1436585365853658,76.05250814743715,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
TN,2021-01-06,2.719858156028369,-3.0290780141843974,8.468794326241134,0.1980487804878049,74.39341400676501,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2021-01-07,2.5552816901408453,-2.1169014084507043,7.227464788732394,0.262227602905569,75.5901603373938,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TN,2021-01-08,1.9189285714285715,-0.4064285714285714,4.244285714285715,5.123866348448687,83.78933950756034,9.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0
TN,2021-01-09,0.3599264705882353,-1.223529411764706,1.9433823529411764,0.5133165829145728,74.64404010745407,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
TN,2021-01-10,-0.1901459854014598,-2.4635036496350367,2.083211678832117,0.0282878411910669,70.48677092537353,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
TN,2021-01-11,0.1903571428571428,-2.571428571428572,2.9521428571428574,0.6596534653465347,83.26716746995021,10.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0
TN,2021-01-12,-0.5107913669064749,-3.775,2.7683453237410074,1.904228855721393,83.86555276304682,15.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
TN,2021-01-13,-0.085,-6.281428571428571,6.111428571428571,0.0358722358722358,79.83459071159301,11.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
TN,2021-01-14,2.597463768115942,-4.435507246376812,9.630434782608695,0.0241293532338308,73.81847388586539,8.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
TN,2021-01-15,4.961151079136691,-1.4115107913669065,11.333812949640288,1.0664268585131895,62.61476709515936,7.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
TN,2021-01-16,2.938235294117648,-0.9345588235294118,6.811029411764706,0.84,71.3068280024565,6.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0
TN,2021-01-17,2.702611940298507,-0.0664179104477612,5.471641791044776,0.2835858585858585,62.8958380071974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
