STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
IL,2022-01-01,3.902822580645161,-0.9936,8.708870967741936,3.939869281045752,94.3295752614084,40.0,7.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0
IL,2022-01-02,-4.256198347107438,-9.295121951219512,0.740983606557377,9.38050847457627,87.28415144314155,23.0,0.0,0.0,5.0,0.0,9.0,3.0,0.0,0.0
IL,2022-01-03,-9.724180327868853,-14.216,-5.30655737704918,0.0102941176470588,75.36401733586283,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
IL,2022-01-04,-6.79959349593496,-11.908064516129032,-1.7390243902439024,0.0,79.88413399545874,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2022-01-05,-3.725619834710744,-9.075206611570248,1.6422764227642277,0.01184,70.6999921952184,8.0,0.0,0.0,0.0,0.0,0.0,8.0,10.0,3.0
IL,2022-01-06,-10.438655462184874,-14.587704918032788,-6.376666666666667,0.0416801292407108,68.48081544899705,6.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0
IL,2022-01-07,-14.277459016393443,-18.61393442622951,-9.959349593495936,0.1029126213592233,68.5014743715136,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
IL,2022-01-08,-10.208196721311475,-16.089344262295082,-4.386991869918699,0.1098228663446054,74.52002619554133,21.0,1.0,1.0,0.0,0.0,18.0,8.0,0.0,0.0
IL,2022-01-09,-3.271074380165289,-9.532231404958678,3.067479674796748,3.963934426229508,79.54769953479578,23.0,0.0,0.0,5.0,0.0,27.0,4.0,0.0,1.0
IL,2022-01-10,-7.2823529411764705,-12.278333333333334,-2.2764705882352945,0.0691176470588235,63.38750304635798,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
IL,2022-01-11,-7.445081967213114,-13.495121951219511,-1.4073770491803277,0.0061688311688311,64.18244952578753,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
IL,2022-01-12,-1.7447154471544717,-8.766666666666666,5.277235772357724,0.0009646302250803,69.32265472020968,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IL,2022-01-13,2.677083333333333,-2.1545454545454543,7.476229508196721,0.0004807692307692,80.89578287703017,25.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
IL,2022-01-14,1.2016129032258065,-2.9798387096774195,5.383064516129032,0.0588045234248788,90.45058208558416,50.0,9.0,0.0,0.0,0.0,3.0,11.0,0.0,0.0
IL,2022-01-15,-2.35375,-5.74344262295082,1.0758333333333332,2.437758620689655,85.87245737800498,24.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0
IL,2022-01-16,-6.661382113821138,-11.889430894308944,-1.4669354838709678,0.1943781942078364,77.87533922452916,13.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
IL,2022-01-17,-5.455785123966942,-10.010743801652891,-0.9419354838709676,0.1205342237061769,78.03731959722603,7.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
IL,2022-01-18,-2.6557377049180326,-7.559016393442623,2.2113821138211383,0.0004862236628849,79.10691931230023,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IL,2022-01-19,-0.7873983739837398,-8.168292682926829,6.580645161290323,0.0239095315024232,73.37249622620854,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IL,2022-01-20,-9.585245901639343,-15.124390243902438,-4.079674796747968,0.0741100323624595,66.01415818232935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL,2022-01-21,-11.57314049586777,-16.350806451612904,-6.835537190082645,0.0,68.6089363371419,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IL,2022-01-22,-8.528455284552846,-14.619354838709675,-2.445528455284553,0.0140961857379767,67.11143970358172,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
IL,2022-01-23,-3.838524590163935,-9.716393442622952,2.029032258064516,2.184280936454849,68.09751447470235,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
IL,2022-01-24,-4.507627118644067,-9.845081967213114,0.6915966386554622,1.310217755443886,74.35391489622393,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
IL,2022-01-25,-8.160975609756099,-15.331707317073173,-0.9902439024390244,0.2059800664451827,66.85937417425082,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IL,2022-01-26,-13.660743801652892,-19.62049180327869,-7.722950819672132,0.0,60.3986362124093,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
IL,2022-01-27,-8.99710743801653,-16.102459016393443,-1.9950819672131148,0.0794361525704809,63.29699855207125,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IL,2022-01-28,-4.682916666666667,-10.035,0.6622950819672131,0.478391959798995,73.40487115842983,12.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0
IL,2022-01-29,-9.441735537190082,-15.275609756097564,-3.626446280991736,0.2324915824915824,65.63102080334747,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
IL,2022-01-30,-6.375609756097561,-12.36341463414634,-0.3878048780487805,0.0139303482587064,66.37473692571807,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IL,2022-01-31,-4.381818181818182,-10.195041322314047,1.4081300813008129,0.0,69.94135747382022,13.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0
IL,2022-02-01,0.18130081300813,-6.548780487804878,6.911382113821138,0.2520259319286872,67.12911602929768,15.0,1.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0
IL,2022-02-02,0.1827868852459016,-6.7317073170731705,7.079508196721312,12.715111940298508,85.62370112545149,24.0,5.0,0.0,8.0,0.0,15.0,7.0,0.0,1.0
IL,2022-02-03,-7.310087719298246,-10.153719008264462,-4.495614035087719,7.965692007797271,79.94035245387457,12.0,2.0,0.0,9.0,0.0,9.0,6.0,0.0,1.0
IL,2022-02-04,-9.871610169491523,-13.641176470588237,-6.126050420168068,1.831985294117647,74.63372728732257,9.0,0.0,0.0,4.0,0.0,1.0,7.0,0.0,1.0
IL,2022-02-05,-11.330578512396697,-17.49834710743802,-5.162809917355372,0.0890756302521008,71.13985754722846,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IL,2022-02-06,-8.683196721311475,-14.6672131147541,-2.6991803278688526,0.0005050505050505,71.09558552808929,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IL,2022-02-07,-4.474793388429752,-10.627868852459017,1.6611570247933884,0.0014802631578947,72.2866472237262,7.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0
IL,2022-02-08,-4.414049586776859,-9.792682926829269,0.965289256198347,0.0,71.71911534608343,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
IL,2022-02-09,1.2336065573770492,-4.780327868852459,7.224390243902439,0.0486885245901639,72.88974487046994,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
IL,2022-02-10,1.4371900826446282,-3.064754098360656,5.937190082644628,0.0749180327868852,73.86520542107179,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
IL,2022-02-11,1.362295081967213,-3.377049180327869,6.101639344262295,2.700168918918919,78.9005433751418,13.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0
IL,2022-02-12,-2.7780487804878047,-9.726016260162602,4.169918699186992,1.444633730834753,70.88893164958003,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0
IL,2022-02-13,-8.672950819672131,-11.796747967479677,-5.561475409836065,0.109322033898305,70.92568177437569,9.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0
IL,2022-02-14,-7.37172131147541,-11.633333333333336,-3.1196721311475413,0.2003350083752094,66.64116122033737,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
IL,2022-02-15,-2.688842975206612,-9.011475409836066,3.611570247933885,0.0014778325123152,68.28433561905918,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
