STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
PA,2022-01-01,9.108536585365853,6.334146341463415,11.882926829268293,3.999747474747475,93.0129063967808,46.0,12.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
PA,2022-01-02,7.479752066115702,3.200826446280992,11.78032786885246,16.2440097799511,91.67738910334695,53.0,4.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
PA,2022-01-03,-0.4256198347107438,-5.688524590163935,4.831147540983606,0.2042713567839195,68.53704841836655,14.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
PA,2022-01-04,-4.654878048780487,-8.508064516129032,-0.7999999999999999,0.0690072639225181,64.03961030942587,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PA,2022-01-05,-1.477016129032258,-6.8512,3.9344,0.0074698795180722,65.9780707096815,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
PA,2022-01-06,-0.4153543307086614,-5.58503937007874,4.754330708661417,0.2676328502415458,63.400947655832766,14.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
PA,2022-01-07,-4.831451612903226,-7.380952380952381,-2.292741935483871,5.512,74.81449299905438,14.0,1.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
PA,2022-01-08,-7.944354838709677,-12.254032258064516,-3.634677419354839,0.2564432989690721,62.10099931481411,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
PA,2022-01-09,-4.074390243902439,-9.995934959349594,1.847154471544716,4.702313624678664,75.49310422712934,22.0,0.0,0.0,30.0,0.0,58.0,4.0,0.0,0.0
PA,2022-01-10,-2.6451612903225805,-7.928225806451613,2.637903225806452,4.074554707379135,61.906679798568085,7.0,1.0,0.0,3.0,0.0,35.0,7.0,2.0,0.0
PA,2022-01-11,-8.241463414634147,-12.014634146341464,-4.46829268292683,0.3911111111111111,58.23859911786102,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0
PA,2022-01-12,-6.468650793650793,-11.617460317460315,-1.31984126984127,0.0215686274509803,57.99635960403614,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA,2022-01-13,-0.0223999999999999,-5.0216,4.9768,0.1182266009852216,69.33380956072666,11.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
PA,2022-01-14,0.8599206349206349,-3.545238095238095,5.265079365079365,0.6535626535626535,77.36863536998501,21.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PA,2022-01-15,-6.810655737704918,-12.7172131147541,-0.9040983606557376,0.0129113924050632,55.181845755429535,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PA,2022-01-16,-9.9688,-15.195200000000002,-4.6682539682539685,1.269674185463659,58.68923065236078,28.0,3.0,0.0,13.0,0.0,9.0,4.0,0.0,1.0
PA,2022-01-17,-4.817741935483871,-10.89516129032258,1.2596774193548386,23.50941475826972,84.65381477206465,23.0,4.0,0.0,24.0,0.0,28.0,9.0,1.0,4.0
PA,2022-01-18,-2.554,-5.0008,-0.1072,1.6021052631578947,67.76035009220895,11.0,0.0,0.0,5.0,0.0,0.0,6.0,1.0,1.0
PA,2022-01-19,-1.9507936507936507,-6.523809523809524,2.6222222222222222,0.0894472361809045,66.61158303975354,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
PA,2022-01-20,-0.7603174603174604,-6.93095238095238,5.44453125,2.712280701754386,69.09510036746069,12.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
PA,2022-01-21,-9.4464,-14.93095238095238,-3.976,0.6221662468513854,57.85297227064344,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
PA,2022-01-22,-12.386974789915966,-19.30672268907563,-5.467226890756303,0.0068601583113456,57.04897777256985,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PA,2022-01-23,-9.474166666666669,-16.258333333333333,-2.69,0.1448548812664907,65.86154097974355,13.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
PA,2022-01-24,-6.4888,-11.6856,-1.292,1.598473282442748,75.58505890814358,10.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
PA,2022-01-25,-5.597600000000001,-10.7272,-0.4317460317460317,1.4557544757033247,72.09922532205202,13.0,0.0,0.0,1.0,0.0,4.0,8.0,0.0,0.0
PA,2022-01-26,-8.349200000000002,-14.1515873015873,-2.5447999999999995,0.2411311053984575,61.98054193549813,7.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0
PA,2022-01-27,-11.631349206349206,-18.902362204724408,-4.324603174603174,0.0529562982005141,62.822742728693584,5.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
PA,2022-01-28,-8.2712,-15.3864,-1.156,0.7278514588859416,76.3719732527063,17.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0
PA,2022-01-29,-8.258467741935483,-13.63790322580645,-2.879032258064516,2.961344537815126,65.77366165831036,8.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0
PA,2022-01-30,-11.980081300813008,-17.479674796747968,-6.480487804878049,0.3095505617977528,59.34061349736557,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
PA,2022-01-31,-9.896311475409837,-16.267213114754096,-3.525409836065574,0.0421487603305785,65.26020702502598,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
PA,2022-02-01,-6.434,-14.1768,1.3088,0.0077519379844961,62.82581606148519,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
PA,2022-02-02,-2.4407258064516126,-9.673387096774194,4.791935483870968,0.1888888888888888,71.95798245280862,16.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
PA,2022-02-03,1.798046875,-2.96796875,6.5640625,8.898048780487805,91.82816426240468,40.0,11.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0
PA,2022-02-04,0.1168032786885245,-4.159836065573771,4.39344262295082,31.03665835411472,90.1354349672508,36.0,1.0,0.0,36.0,0.0,46.0,6.0,0.0,0.0
PA,2022-02-05,-6.700826446280991,-10.728688524590163,-2.671900826446281,4.891315789473684,71.9404963591555,12.0,0.0,0.0,12.0,0.0,12.0,9.0,1.0,0.0
PA,2022-02-06,-8.794628099173554,-14.184297520661156,-3.4049586776859506,0.1021563342318059,68.3881743032607,5.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
PA,2022-02-07,-4.939430894308943,-11.377235772357723,1.5024193548387097,0.0843342036553524,73.46707616653615,8.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
PA,2022-02-08,-1.8508064516129032,-7.513709677419355,3.812096774193548,0.2146835443037974,74.6560508355828,12.0,2.0,0.0,2.0,0.0,2.0,10.0,0.0,0.0
PA,2022-02-09,-2.1907258064516126,-7.723387096774194,3.341935483870968,0.0832911392405063,60.2151327745395,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
PA,2022-02-10,2.1868852459016392,-4.985245901639344,9.359016393442625,0.1528061224489796,63.78807822129588,7.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
PA,2022-02-11,1.743548387096774,-5.103225806451612,8.59032258064516,0.1835443037974683,57.75006607846014,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
PA,2022-02-12,4.272983870967742,-3.1451612903225805,11.691129032258065,0.751937984496124,62.46181787055006,8.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
PA,2022-02-13,-1.3859504132231404,-6.422314049586777,3.650413223140496,1.980053191489361,67.70944516984514,11.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
PA,2022-02-14,-7.719047619047619,-12.48968253968254,-2.9484126984126986,0.6134615384615385,60.60040276004994,8.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
PA,2022-02-15,-9.04404761904762,-14.495238095238095,-3.592857142857143,0.0193384223918575,55.37094216025118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
PA,2022-02-16,-4.107539682539683,-11.487301587301587,3.272222222222222,0.0,56.54692372858998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
