STATE,DATE,TAVG,TMIN,TMAX,PRCP,RH,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
WI,2022-01-01,-8.805337078651684,-13.626404494382022,-3.9842696629213488,0.343723849372385,77.99920238522036,4.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0
WI,2022-01-02,-14.382102272727272,-18.57175141242938,-10.227683615819208,1.2545833333333332,72.50655939011229,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
WI,2022-01-03,-14.773428571428571,-20.65310734463277,-8.857714285714286,0.0058091286307053,71.62323484143742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WI,2022-01-04,-10.637215909090909,-16.39604519774011,-4.892655367231638,0.0152577319587628,77.57676516261095,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
WI,2022-01-05,-6.516384180790961,-11.53314606741573,-1.5005649717514125,2.1544329896907213,81.60823808180328,20.0,3.0,0.0,0.0,0.0,4.0,13.0,8.0,1.0
WI,2022-01-06,-11.942941176470589,-15.785465116279068,-8.064705882352941,2.267653276955602,76.6592519619307,6.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0
WI,2022-01-07,-16.800887573964495,-22.361764705882354,-11.263157894736842,0.2297297297297297,72.61637917110622,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
WI,2022-01-08,-13.70436046511628,-20.03139534883721,-7.377325581395349,0.0457202505219206,69.5788033535728,19.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0
WI,2022-01-09,-9.640350877192985,-15.60877192982456,-3.669767441860465,0.0156057494866529,71.38832273728154,12.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0
WI,2022-01-10,-16.957530120481927,-21.99411764705882,-11.982738095238094,0.0038934426229508,59.57485525642665,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
WI,2022-01-11,-16.744478527607363,-22.2828402366864,-11.117791411042946,0.0006160164271047,62.15937552175449,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
WI,2022-01-12,-6.828823529411765,-13.899411764705883,0.2162790697674418,0.0052419354838709,79.13093312284076,6.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
WI,2022-01-13,-1.4843023255813954,-5.27093023255814,2.302325581395349,0.0692307692307692,86.46504198502834,18.0,1.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0
WI,2022-01-14,-4.7444444444444445,-10.064912280701751,0.588953488372093,0.0881390593047034,76.69646404474166,11.0,0.0,0.0,1.0,0.0,5.0,6.0,1.0,0.0
WI,2022-01-15,-11.7,-16.002906976744185,-7.381286549707602,0.6993788819875777,72.23855413406392,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
WI,2022-01-16,-12.768343195266272,-18.354705882352945,-7.1751479289940825,0.0827659574468085,79.83772646470548,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
WI,2022-01-17,-8.139349112426036,-11.989940828402366,-4.297076023391813,0.1568228105906313,76.33494599871187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WI,2022-01-18,-4.062280701754386,-7.1795321637426905,-0.9395348837209302,0.1298538622129436,79.27222515872045,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
WI,2022-01-19,-6.142196531791907,-13.73063583815029,1.446242774566474,0.2936213991769547,69.09223710843321,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
WI,2022-01-20,-16.199411764705882,-21.59470588235294,-10.81686046511628,0.0422997946611909,65.6319031640536,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
WI,2022-01-21,-18.28224852071006,-24.72325581395349,-11.727810650887577,0.0161825726141078,65.92401647770865,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
WI,2022-01-22,-13.50672514619883,-20.59298245614035,-6.437790697674418,0.5846652267818574,67.90474302933599,17.0,0.0,0.0,0.0,0.0,2.0,13.0,1.0,0.0
WI,2022-01-23,-13.251169590643274,-19.20877192982456,-7.283720930232558,2.4762711864406777,71.68572107223193,11.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0
WI,2022-01-24,-14.82514792899408,-19.019883040935675,-10.599408284023667,2.1396588486140726,73.23779781112302,17.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0
WI,2022-01-25,-17.21374269005848,-23.797076023391813,-10.6364161849711,0.2364583333333333,68.33616719456427,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
WI,2022-01-26,-20.987724550898204,-28.695930232558137,-13.288622754491016,0.0053497942386831,66.60218404851835,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
WI,2022-01-27,-14.263372093023255,-24.237790697674416,-4.305780346820809,0.0232848232848232,66.54045107834092,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
WI,2022-01-28,-12.522222222222224,-21.67543859649123,-3.372093023255814,0.0188796680497925,65.01784347806687,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
WI,2022-01-29,-13.45602409638554,-19.37470588235294,-7.479518072289156,0.0022916666666666,66.46324584333853,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
