STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11
CO,2023-01-01,2.3068555758683726,76.3068303581413,-4.142817679558012,4.123545706371191,-0.0116343490304709,21.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
CO,2023-01-02,3.934995625546807,88.19070393691706,-7.474792243767313,0.758611111111111,-3.3506944444444446,46.0,14.0,0.0,0.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0
CO,2023-01-03,2.281391304347826,85.03749291088577,-10.565745856353592,-3.142896935933148,-6.846100278551532,33.0,4.0,0.0,2.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0
CO,2023-01-04,0.4410142348754448,73.05664607095044,-13.037465564738293,-3.269060773480663,-8.134116022099448,18.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0
CO,2023-01-05,0.2646636771300448,68.27451894318395,-13.628729281767956,1.060387811634349,-6.285734072022161,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0
CO,2023-01-06,0.8376565295169947,68.75205858609189,-9.40524861878453,0.9033240997229918,-4.242520775623269,14.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0
CO,2023-01-07,0.5573333333333333,76.33524130533839,-10.849307479224375,1.9169444444444448,-4.454166666666667,17.0,7.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CO,2023-01-08,0.098348623853211,64.34644522561481,-11.113850415512465,3.3827777777777777,-3.850835654596101,6.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
CO,2023-01-09,0.3310626702997275,57.92053683074932,-8.918732782369146,3.9392265193370166,-2.4802486187845303,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
CO,2023-01-10,1.3407308377896612,65.92870517761193,-4.876584022038568,5.1350828729281774,0.130524861878453,8.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0
CO,2023-01-11,1.3342477876106196,70.95459027697633,-7.433608815426997,3.142541436464088,-2.131767955801105,21.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0
CO,2023-01-12,0.9878895814781832,75.25851361989513,-11.52032967032967,1.9727272727272729,-4.77038567493113,15.0,8.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0
CO,2023-01-13,0.1211280214861235,64.35504942511425,-9.336187845303868,5.392286501377411,-1.9694751381215472,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,2023-01-14,0.1642661804922515,61.03379205425057,-6.5522099447513815,6.512154696132597,-0.0200276243093922,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
CO,2023-01-15,1.811433756805808,67.52133739350224,-6.041322314049586,3.725895316804408,-1.1577134986225894,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
CO,2023-01-16,1.8584938704028025,73.70529676555108,-7.587534626038781,1.5486111111111112,-3.0238888888888886,22.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0
CO,2023-01-17,2.6327417923691216,79.12455801223979,-9.031955922865013,1.47707182320442,-3.759806629834254,33.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
CO,2023-01-18,7.683234042553191,85.577792263328,-11.685714285714289,-2.5865013774104684,-7.131267217630854,38.0,6.0,1.0,0.0,0.0,5.0,0.0,4.0,2.0,0.0,0.0
CO,2023-01-19,1.9524575513851647,69.94625945579742,-15.811878453038672,-2.0814917127071824,-8.94847645429363,12.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
CO,2023-01-20,0.2145737855178735,70.40235756730465,-14.91542699724518,-2.785082872928177,-8.847237569060773,19.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
CO,2023-01-21,1.3212938005390835,79.18837043899387,-15.054419889502762,-4.235082872928176,-9.646260387811637,20.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0
CO,2023-01-22,0.4186471663619744,73.42064296241931,-14.794198895027623,-1.7897506925207758,-8.297783933518005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
