STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
MN,2023-01-01,0.3010771992818671,90.255803475583,-8.179881656804735,-0.9266272189349112,-4.553254437869822,24.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0
MN,2023-01-02,0.0142605633802816,91.52397620264269,-9.213450292397662,-3.2076023391812867,-6.2105263157894735,30.0,3.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0
MN,2023-01-03,2.038344594594595,90.64491928568012,-10.697687861271676,-4.755813953488372,-7.714244186046511,30.0,10.0,0.0,3.0,0.0,10.0,7.0,1.0,0.0,0.0
MN,2023-01-04,14.380172413793105,90.6908072302741,-8.915606936416186,-3.552601156069364,-6.234104046242774,23.0,3.0,1.0,1.0,0.0,3.0,2.0,1.0,0.0,0.0
MN,2023-01-05,4.6474956822107085,87.10740022265723,-12.763953488372094,-4.234302325581395,-8.499127906976744,25.0,0.0,0.0,1.0,0.0,4.0,9.0,0.0,0.0,0.0
MN,2023-01-06,0.0765432098765432,83.99684006299135,-18.72906976744186,-6.278235294117647,-12.504411764705882,31.0,4.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0
MN,2023-01-07,0.0144112478031634,83.27778327328994,-20.22514619883041,-7.011834319526627,-13.618047337278105,31.0,8.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0
MN,2023-01-08,0.0028368794326241,82.29168111241258,-17.65872093023256,-5.351461988304094,-11.49327485380117,26.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
MN,2023-01-09,0.0493827160493827,87.62010917867042,-15.982183908045975,-3.630635838150289,-9.797976878612715,33.0,11.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
MN,2023-01-10,0.0067357512953367,92.00425594521876,-10.84327485380117,-1.6761627906976744,-6.258187134502925,42.0,10.0,0.0,1.0,0.0,6.0,4.0,0.0,0.0,0.0
MN,2023-01-11,0.681195079086116,93.11945054980052,-6.323837209302326,-1.5540697674418604,-3.938953488372093,34.0,10.0,0.0,2.0,0.0,14.0,12.0,0.0,0.0,0.0
MN,2023-01-12,0.4236749116607773,87.33622971303627,-9.227058823529411,-2.59364161849711,-5.933235294117647,24.0,2.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0
MN,2023-01-13,0.0393053016453382,86.47471246320063,-13.057558139534883,-6.721965317919076,-9.93157894736842,27.0,7.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
MN,2023-01-14,0.0279707495429616,85.21559740044084,-12.385882352941175,-4.967251461988304,-8.66,19.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
MN,2023-01-15,0.0005535055350553,81.38621553315546,-6.715789473684211,0.4633720930232558,-3.1216374269005844,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MN,2023-01-16,1.0100538599640934,90.5557634718216,-2.9670588235294115,1.860115606936416,-0.5632352941176471,26.0,4.0,0.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0
MN,2023-01-17,8.48657487091222,92.18454260496796,-3.743604651162791,0.6502890173410405,-1.5497093023255817,25.0,0.0,0.0,2.0,0.0,5.0,7.0,0.0,0.0,0.0
MN,2023-01-18,0.1495559502664298,88.20820553762888,-5.860233918128655,-1.6719298245614034,-3.766081871345029,18.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0
MN,2023-01-19,3.676731793960923,90.26942401861662,-5.885798816568047,-2.154705882352941,-4.028402366863905,23.0,0.0,0.0,1.0,0.0,4.0,8.0,1.0,0.0,0.0
MN,2023-01-20,1.5238970588235294,86.58801479082479,-8.372941176470588,-3.1411764705882352,-5.7570588235294125,20.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0
MN,2023-01-21,0.0274725274725274,91.3122546356291,-9.846198830409357,-4.0286549707602335,-6.937426900584796,26.0,7.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0
MN,2023-01-22,0.0064981949458483,90.45344832617356,-12.181395348837208,-4.83953488372093,-8.51046511627907,39.0,13.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
MN,2023-01-23,0.1157798165137614,89.36924927539359,-12.91627906976744,-3.83546511627907,-8.375872093023256,30.0,2.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0
MN,2023-01-24,0.2260714285714285,87.43002071812698,-12.049418604651162,-1.892485549132948,-6.973255813953489,29.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0
MN,2023-01-25,0.6581687612208259,87.35633307300942,-13.45906432748538,-3.737209302325581,-8.599415204678362,28.0,4.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0
MN,2023-01-26,0.7645454545454545,78.49895623383746,-19.09360465116279,-6.229479768786128,-12.679651162790698,16.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0
MN,2023-01-27,2.23683241252302,80.39422582972631,-18.28698224852071,-3.142941176470588,-10.720535714285711,21.0,0.0,0.0,3.0,0.0,5.0,12.0,3.0,0.0,0.0
MN,2023-01-28,0.155045871559633,72.2790212382596,-22.30116279069768,-9.17235294117647,-15.758529411764703,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0
MN,2023-01-29,0.0220802919708029,69.16352383922812,-26.386627906976745,-16.096511627906978,-21.284795321637425,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
MN,2023-01-30,0.0118279569892473,69.31837749659735,-27.82586206896552,-16.79186046511628,-22.32209302325581,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2023-01-31,0.0,68.82573226384113,-27.47117647058824,-16.14502923976608,-21.805,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2023-02-01,0.0126736111111111,71.901523257349,-25.3921686746988,-11.629341317365268,-18.512349397590363,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
MN,2023-02-02,0.0849912739965096,68.32336661884797,-24.71566265060241,-9.921686746987952,-17.31867469879518,1.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0
MN,2023-02-03,0.0089947089947089,63.3368196266438,-29.60059880239521,-15.615662650602408,-22.61355421686747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MN,2023-02-04,0.0280071813285457,68.51420727166875,-23.090797546012272,-9.232926829268292,-16.18006134969325,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
MN,2023-02-05,0.0468581687612208,78.41678125616195,-14.973780487804875,-3.05,-9.01189024390244,11.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0
MN,2023-02-06,0.1409893992932862,82.18463334286868,-13.816463414634146,-1.035757575757576,-7.427439024390243,13.0,1.0,3.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0
MN,2023-02-07,1.7262975778546712,79.08090901307837,-7.884756097560975,1.817469879518072,-3.032926829268293,4.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0
MN,2023-02-08,0.0145390070921985,78.81968662930224,-7.680000000000001,3.52289156626506,-2.0730303030303032,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
MN,2023-02-09,0.0,81.50738553799253,-9.522289156626506,3.7790419161676647,-2.866867469879518,20.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
MN,2023-02-10,0.0040780141843971,67.12750902705606,-16.993939393939392,0.2345454545454545,-8.386890243902439,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
MN,2023-02-11,0.0,69.87189838979914,-12.077575757575758,1.7193939393939393,-5.202134146341463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MN,2023-02-12,0.0,78.88377702844149,-7.47065868263473,5.011377245508982,-1.2296407185628742,12.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
