STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
ND,2023-01-01,0.0025641025641025,92.75001927194496,-14.2125,-5.49,-9.85125,14.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ND,2023-01-02,0.0,90.92264329680664,-16.459493670886076,-5.926582278481012,-11.193037974683543,10.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2023-01-03,0.0152542372881355,91.14922535381132,-18.135443037974685,-7.372151898734176,-12.75379746835443,18.0,8.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
ND,2023-01-04,0.011864406779661,89.84554815410074,-18.08987341772152,-9.548717948717949,-13.810897435897436,20.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2023-01-05,0.0495798319327731,90.3435413155424,-17.605128205128207,-8.223076923076922,-12.914102564102564,10.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
ND,2023-01-06,0.0296610169491525,91.2844286552893,-18.1974358974359,-8.86794871794872,-13.532692307692306,19.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2023-01-07,0.127433628318584,89.34320967286489,-18.624675324675323,-8.527272727272727,-13.575974025974023,14.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
ND,2023-01-08,0.0045454545454545,90.24351380020016,-15.492307692307694,-5.292307692307692,-10.392307692307693,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ND,2023-01-09,0.0,90.21626364517428,-13.792405063291138,-2.978481012658228,-8.385443037974683,7.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ND,2023-01-10,0.0,91.55796475183672,-11.955696202531646,-2.115189873417721,-7.035443037974683,8.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
ND,2023-01-11,0.0161016949152542,93.97121984922616,-11.634177215189874,-3.6256410256410256,-7.622435897435897,20.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
ND,2023-01-12,0.0136752136752136,92.15165195244906,-14.511392405063292,-7.249367088607595,-10.880379746835445,19.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
