STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
OH,2023-01-01,2.1971360381861578,92.77446610944894,2.403225806451613,10.943010752688172,6.673118279569893,34.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
OH,2023-01-02,0.5768496420047733,92.91789231866154,5.237634408602151,11.4,8.318817204301075,35.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
OH,2023-01-03,15.139414414414414,94.0367144538322,8.458064516129033,14.6,11.529032258064516,27.0,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
OH,2023-01-04,9.397104677060137,87.56812534107674,7.75,15.81808510638298,11.78404255319149,22.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
OH,2023-01-05,5.077477477477478,73.74991722888974,0.8617021276595744,12.110638297872342,6.486170212765958,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
OH,2023-01-06,0.7120649651972157,82.3341069714195,-0.15,5.698936170212766,2.774468085106383,14.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
OH,2023-01-07,0.0980952380952381,80.14293386861576,-2.616304347826087,3.057446808510638,0.1483695652173912,13.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
OH,2023-01-08,0.0660332541567696,76.5154919077598,-3.44468085106383,3.495789473684211,0.0234042553191489,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
OH,2023-01-09,0.050835322195704,78.78197072203805,-3.103191489361702,3.4157894736842107,0.177659574468085,15.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
OH,2023-01-10,0.0084905660377358,80.05523483434301,-3.1694736842105264,4.460416666666666,0.6689473684210526,11.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
OH,2023-01-11,0.1501187648456057,82.64971930657367,-1.912903225806452,7.461290322580645,2.774193548387097,20.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
