STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
IA,2024-01-01,0.0149253731343283,82.21114959822904,-5.914166666666668,-0.7132231404958678,-3.32125,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
IA,2024-01-02,0.0023952095808383,88.1511695988893,-6.541463414634147,0.3040983606557377,-3.1159836065573767,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2024-01-03,0.0008720930232558,89.00509373830523,-5.247154471544715,2.437903225806452,-1.417479674796748,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,2024-01-04,0.0,75.16582541880865,-4.76,0.7016,-2.0292,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IA,2024-01-05,0.0191860465116279,86.74816836443716,-5.7512,0.7192,-2.516,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2024-01-06,0.4111782477341389,92.8088433052886,-4.154918032786885,1.1409836065573773,-1.506967213114754,26.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0
IA,2024-01-07,0.2302941176470588,87.38991112305254,-6.073170731707317,-0.5536585365853658,-3.313414634146341,18.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
IA,2024-01-08,0.7235649546827795,90.35774786464192,-6.1048,-1.0824,-3.5936,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
IA,2024-01-09,11.819003115264795,95.34576412119632,-4.533333333333334,0.492063492063492,-2.020634920634921,22.0,10.0,0.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
IA,2024-01-10,5.6835443037974684,89.9188676170897,-9.106349206349208,-1.8833333333333333,-5.49484126984127,19.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
IA,2024-01-11,1.585230769230769,89.4134887048181,-10.70952380952381,-3.2784,-7.0012,20.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0
IA,2024-01-12,6.75548172757475,88.75460668210576,-12.268,-6.3552,-9.3116,19.0,14.0,0.0,1.0,0.0,3.0,6.0,10.0,0.0,0.0
IA,2024-01-13,7.510000000000001,81.40667817139921,-19.027642276422764,-9.508130081300813,-14.267886178861788,16.0,2.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0
IA,2024-01-14,0.4728476821192053,68.16307198621762,-27.550819672131148,-17.536585365853657,-22.567622950819672,2.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,0.0
IA,2024-01-15,0.0065420560747663,71.23055914646129,-27.383333333333336,-20.62903225806452,-24.00282258064516,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
IA,2024-01-16,0.0396341463414634,65.67256800173143,-24.687301587301587,-17.64,-21.1512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IA,2024-01-17,0.0,66.63127435962554,-21.556,-12.173387096774194,-16.85524193548387,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IA,2024-01-18,0.2598765432098766,78.65934338403237,-15.70952380952381,-7.253174603174603,-11.481349206349208,14.0,2.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0
IA,2024-01-19,3.015434083601286,76.60344839930278,-20.486507936507937,-9.76031746031746,-15.123412698412698,8.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0
IA,2024-01-20,0.0335365853658536,74.96245392431608,-25.34416666666667,-14.619491525423728,-19.99872881355932,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
IA,2024-01-21,0.0,73.30447344731857,-24.405084745762714,-10.82542372881356,-17.615254237288134,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
