STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11
KS,2024-01-01,0.0004360465116279,80.42541062074619,-5.523188405797102,1.4277372262773722,-2.0518248175182485,15.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KS,2024-01-02,0.0033189033189033,80.21265836744466,-6.211888111888111,4.295138888888889,-0.9548951048951048,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
KS,2024-01-03,0.0015602836879432,78.6836433997917,-6.035416666666666,7.618620689655173,0.7833333333333334,34.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
KS,2024-01-04,0.0167142857142857,85.14640948952233,-5.1454545454545455,7.343055555555556,1.081818181818182,42.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0
KS,2024-01-05,2.4774590163934427,90.58303508364236,-2.9804195804195803,2.665277777777778,-0.1716783216783216,34.0,8.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0
KS,2024-01-06,3.448331108144192,87.3910067988028,-3.1723404255319148,1.524822695035461,-0.823758865248227,30.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0
KS,2024-01-07,0.0655834564254062,79.15017880093514,-7.186861313868613,3.681294964028777,-1.7624087591240876,8.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KS,2024-01-08,5.790838709677419,82.54613144588718,-5.193525179856115,4.379710144927536,-0.4076086956521739,26.0,12.0,15.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
KS,2024-01-09,17.15671052631579,83.31127582656987,-6.664285714285715,1.7892857142857144,-2.4375,23.0,1.0,4.0,5.0,0.0,2.0,0.0,13.0,5.0,0.0,4.0
KS,2024-01-10,0.3966917293233082,73.15515355889725,-9.781159420289857,0.4589928057553956,-4.659420289855072,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
KS,2024-01-11,0.0690582959641255,75.47867056997626,-9.25,4.635971223021582,-2.2964028776978416,18.0,3.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
KS,2024-01-12,0.5077151335311573,74.91723115872519,-13.936170212765957,0.5617021276595745,-6.687234042553191,17.0,1.0,1.0,1.0,0.0,3.0,0.0,16.0,5.0,0.0,1.0
KS,2024-01-13,0.1938556067588325,69.72033901578317,-19.57536231884058,-9.278260869565218,-14.4268115942029,3.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0
KS,2024-01-14,0.0827639751552795,56.53975102921106,-22.28905109489051,-15.232846715328469,-18.76094890510949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2024-01-15,0.1356037151702786,66.5821257648947,-21.93259259259259,-15.717037037037038,-18.82481481481481,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,0.0
KS,2024-01-16,0.8682634730538922,59.85712959496247,-23.09264705882353,-13.067407407407408,-18.06259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
KS,2024-01-17,0.0004643962848297,59.121431283146606,-19.88296296296296,-4.539705882352941,-12.194776119402984,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
KS,2024-01-18,0.0031866464339908,66.62699347719115,-12.471014492753625,2.226618705035971,-5.124275362318841,6.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0
KS,2024-01-19,0.0290322580645161,63.94822132927963,-16.628985507246377,-0.1891304347826087,-8.409057971014493,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0
KS,2024-01-20,0.0,67.95065067080965,-18.133333333333333,-8.447014925373136,-13.29141791044776,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2024-01-21,0.0057632398753894,61.108607113628985,-15.568656716417909,-4.2875000000000005,-9.93507462686567,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
KS,2024-01-22,0.4546827794561933,81.0913085084805,-7.311594202898551,1.3402877697841726,-2.978623188405797,31.0,8.0,0.0,1.0,0.0,32.0,0.0,5.0,0.0,0.0,0.0
KS,2024-01-23,3.913157894736842,95.66814936725622,-2.238848920863309,2.4129496402877697,0.0870503597122301,69.0,14.0,0.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,0.0
KS,2024-01-24,0.6474320241691843,95.67771455101402,-0.4928057553956834,2.4385714285714286,0.9737410071942446,76.0,19.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0
KS,2024-01-25,1.306140350877193,93.30812326265352,-0.4326086956521738,3.902158273381295,1.738768115942029,68.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
KS,2024-01-26,1.928698224852071,93.11519846986,-0.6244604316546762,4.982733812949641,2.179136690647482,68.0,11.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
KS,2024-01-27,0.3629349470499243,88.24436920813142,-2.174814814814815,4.238235294117647,1.039259259259259,46.0,7.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
KS,2024-01-28,0.0239694656488549,75.93297802860556,-3.6568181818181817,8.017293233082706,2.1981060606060603,21.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
KS,2024-01-29,0.0025487256371814,71.53844878624638,-2.902898550724638,14.215827338129497,5.663768115942029,8.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
KS,2024-01-30,0.0019461077844311,68.77281902358733,-1.1144927536231886,16.93812949640288,7.910869565217392,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2024-01-31,0.0,67.28982132563904,-1.3992857142857142,17.640425531914897,8.126071428571429,8.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
KS,2024-02-01,0.0004477611940298,61.62055378322766,0.6771428571428573,19.63049645390071,10.154642857142855,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KS,2024-02-02,0.1978461538461538,73.06010727962892,3.287142857142857,18.792142857142856,11.039642857142857,26.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
KS,2024-02-03,9.81390186915888,87.41600541825923,4.323529411764706,16.259124087591243,10.304044117647058,33.0,6.0,19.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
KS,2024-02-04,12.128771929824564,92.75196196904852,4.698540145985402,11.14160583941606,7.92007299270073,33.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
KS,2024-02-05,2.6830164765525986,84.80825799365931,0.3892857142857143,8.063571428571429,4.226428571428571,52.0,10.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
