STATE,DATE,PRCP,RH,TMIN,TMAX,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
MI,2024-01-01,0.925,83.84535328708554,-3.921212121212122,0.1709090909090909,-1.875151515151515,15.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0
MI,2024-01-02,0.0597297297297297,81.96211579107529,-3.837647058823529,-0.1171597633136094,-1.982248520710059,7.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
MI,2024-01-03,0.3631999999999999,86.92165748558261,-3.0366863905325445,0.9449704142011832,-1.0458579881656804,18.0,3.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0
MI,2024-01-04,0.4610526315789473,73.31764276275362,-6.811176470588236,-0.5317647058823529,-3.671470588235294,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
MI,2024-01-05,0.0755263157894736,77.56906767609694,-7.246511627906977,-1.9283236994219648,-4.594767441860465,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MI,2024-01-06,0.7059620596205962,85.13749272672429,-3.8006060606060608,-0.5367469879518073,-2.172121212121212,20.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0
MI,2024-01-07,1.6994520547945204,92.03958381421492,-3.111834319526627,0.4591715976331361,-1.3263313609467455,23.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0
MI,2024-01-08,0.3789189189189189,84.13447312215924,-2.724260355029586,0.7591715976331361,-0.982544378698225,12.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0
MI,2024-01-09,3.109625668449198,90.71336435907762,-1.9304093567251464,1.2099415204678363,-0.3602339181286549,30.0,5.0,0.0,2.0,0.0,4.0,8.0,0.0,2.0
MI,2024-01-10,13.888031914893617,87.32794209120303,-2.794117647058824,1.3871345029239766,-0.6994117647058823,21.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0
MI,2024-01-11,2.3024590163934424,88.31778846480815,-4.104268292682927,-0.2703030303030302,-2.1814024390243905,19.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
MI,2024-01-12,2.011764705882353,87.740649661418,-4.4905325443786985,-0.0011834319526627,-2.2458579881656804,21.0,9.0,0.0,0.0,0.0,0.0,7.0,4.0,0.0
MI,2024-01-13,14.386571428571427,86.56163687784796,-7.382530120481928,-0.977710843373494,-4.180120481927711,23.0,8.0,0.0,0.0,0.0,1.0,14.0,7.0,9.0
MI,2024-01-14,3.992307692307693,80.77434773499161,-13.89526627218935,-5.733532934131737,-9.842814371257486,20.0,5.0,0.0,0.0,0.0,0.0,13.0,8.0,3.0
MI,2024-01-15,1.2847953216374268,78.77127629245157,-17.476363636363637,-10.22969696969697,-13.853030303030303,8.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,2.0
MI,2024-01-16,0.5683139534883721,76.7743851471563,-17.910240963855422,-11.63132530120482,-14.77078313253012,12.0,1.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0
MI,2024-01-17,0.8314447592067988,75.57925567755142,-17.50941176470588,-10.834117647058823,-14.171764705882351,8.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0
MI,2024-01-18,1.0902234636871508,79.16584577308096,-14.35,-7.796449704142011,-11.075,15.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
MI,2024-01-19,1.4644699140401147,79.80716872403747,-13.563636363636364,-7.251204819277109,-10.416060606060606,19.0,1.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0
MI,2024-01-20,1.5458579881656804,79.03016247855363,-17.544578313253012,-7.448192771084338,-12.496385542168674,14.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0
